OID,OBJECTID_1,MIN,MAX,RANGE,MEAN,STD
0,TUA1-1,0.683255136,0.905751646,0.22249651,0.869665091,0.014324617
1,TUA1-2,0.829191208,0.894591689,0.065400481,0.866237389,0.01197764
2,TUA1-3,0.809699595,0.891474664,0.081775069,0.864908966,0.011947903
3,TUA1-4,0.81630373,0.892859101,0.076555371,0.863905776,0.011971902
4,TUA1-5,0.824390292,0.893202424,0.068812132,0.864203467,0.009758219
5,TUA1-6,0.838134885,0.894583642,0.056448758,0.864806805,0.009903941
6,TUA1-7,0.831303775,0.892021537,0.060717762,0.86554967,0.010001339
7,TUA1-8,0.826207697,0.892317653,0.066109955,0.866216976,0.010414966
8,TUA1-9,0.832475483,0.893298745,0.060823262,0.868120138,0.009777842
9,TUA1-10,0.832652032,0.893118501,0.060466468,0.86620709,0.010827624
10,TUA1-11,0.826211572,0.893369079,0.067157507,0.865927663,0.011368186
11,TUA1-12,0.807042539,0.89481926,0.087776721,0.866819615,0.011842875
12,TUB1-1,0.707355499,0.897984803,0.190629303,0.867099502,0.030338289
13,TUB1-2,0.642609775,0.906481504,0.263871729,0.868870276,0.031996063
14,TUB1-3,0.671788216,0.902547836,0.230759621,0.866984314,0.034998333
15,TUB1-4,0.689966857,0.899095833,0.209128976,0.868529905,0.026941122
16,TUB1-5,0.820476234,0.901426673,0.080950439,0.872633827,0.012054322
17,TUB1-6,0.790925324,0.899658501,0.108733177,0.871921782,0.014315543
18,TUB1-7,0.667616785,0.897121489,0.229504704,0.861381732,0.032878118
19,TUB1-8,0.645165145,0.902773798,0.257608652,0.855159597,0.040526094
20,TUB1-9,0.67528677,0.900297105,0.225010335,0.863810335,0.031059986
21,TUB1-10,0.684687436,0.897770941,0.213083506,0.865527653,0.028863204
22,TUB1-11,0.66715616,0.898507714,0.231351554,0.854214875,0.045510296
23,TUB1-12,0.589091122,0.902208805,0.313117683,0.859119734,0.042507254
24,TUB1-13,0.641778588,0.903730273,0.261951685,0.867851968,0.029045603
