OID,OBJECTID_1,MIN,MAX,RANGE,MEAN,STD
27,TUA2-3,0.823333442,0.873292983,0.04995954,0.856657627,0.010669549
28,TUA2-4,0.831700981,0.883976102,0.052275121,0.861135935,0.009297766
29,TUA2-5,0.838498235,0.883333802,0.044835567,0.863376477,0.009307844
30,TUA2-6,0.842901051,0.886999428,0.044098377,0.864357678,0.009329032
31,TUA2-7,0.826207697,0.891153872,0.064946175,0.863921992,0.010218679
32,TUA2-8,0.785182595,0.887310565,0.102127969,0.863726521,0.011732523
33,TUA2-9,0.737814009,0.892555058,0.154741049,0.862247695,0.01903751
34,TUA2-10,0.751077414,0.887523592,0.136446178,0.863077407,0.017510606
35,TUA2-11,0.818347931,0.892317653,0.073969722,0.865739054,0.012274286
36,TUA2-12,0.817703843,0.888619781,0.070915937,0.864899647,0.010976218
37,TUB2-1,0.852359533,0.884856343,0.03249681,0.874007665,0.006249796
38,TUB2-2,0.853995621,0.893469751,0.03947413,0.876778494,0.008073315
39,TUB2-3,0.852519214,0.892859101,0.040339887,0.873413713,0.008494573
40,TUB2-4,0.838956475,0.89362222,0.054665744,0.871890601,0.00980167
41,TUB2-5,0.792066038,0.894583642,0.102517605,0.868459899,0.011609859
42,TUB2-6,0.834071815,0.892021537,0.057949722,0.870649142,0.010822229
43,TUB2-7,0.84930402,0.88821882,0.0389148,0.866722619,0.008990999
44,TUB2-8,0.847181439,0.890078783,0.042897344,0.865608958,0.008964909
45,TUA3-1,0.826211572,0.888041675,0.061830103,0.865048372,0.012389569
46,TUA3-2,0.827106953,0.891554832,0.06444788,0.866901902,0.010808799
47,TUA3-3,0.832538009,0.89481926,0.062281251,0.867140793,0.009886912
48,TUA3-4,0.832208753,0.889756858,0.057548106,0.868234209,0.010666461
49,TUA3-5,0.825343788,0.89423728,0.068893492,0.868130829,0.010472388
50,TUA3-6,0.83486855,0.896101236,0.061232686,0.868143306,0.010182859
51,TUA3-7,0.837861061,0.896887004,0.059025943,0.866521335,0.010063078
52,TUA3-8,0.815068483,0.892820001,0.077751517,0.867309813,0.010591071
53,TUA3-9,0.834556699,0.89895612,0.064399421,0.867221845,0.01152471
54,TUA3-10,0.829766631,0.889806449,0.060039818,0.864979475,0.010298673
