OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
245,TTB3-8,52741.31413,0.852131844,0.881449461,0.029317617,0.86676621,0.007831155
246,TTB4-1,151966.4983,0.817180216,0.895297766,0.078117549,0.867089238,0.014633516
247,TTB4-2,308402.5996,0.728369296,0.899032176,0.17066288,0.860340147,0.024056653
248,TTB4-3,520261.7766,0.778671801,0.894527018,0.115855217,0.866960968,0.014858503
249,TTB4-4,307508.679,0.820950091,0.890774846,0.069824755,0.864838273,0.011415796
250,TTB4-5,318235.7259,0.837952077,0.900265813,0.062313735,0.869545157,0.009719494
251,TTB4-6,299463.3938,0.834625661,0.897774458,0.063148797,0.869131448,0.010581374
252,TTB4-7,328068.8523,0.690873265,0.898377597,0.207504332,0.859978952,0.02307922
253,TTB4-8,321811.4082,0.685506284,0.906071603,0.220565319,0.848426073,0.042540301
254,TTB4-9,328962.7729,0.81927371,0.892126977,0.072853267,0.868406676,0.010144404
255,TTB5-1,783968.3473,0.760162354,0.895954132,0.135791779,0.857269349,0.013764422
256,TTB5-2,315553.9642,0.833627403,0.889906049,0.056278646,0.864206248,0.010935072
257,TTB5-3,319129.6465,0.81869936,0.89555794,0.07685858,0.866206415,0.010706644
258,TTB5-4,293205.9497,0.814212322,0.89463675,0.080424428,0.86385235,0.0127164
259,TTB5-5,308402.5996,0.822423518,0.890443504,0.068019986,0.859315662,0.015394387
260,TTB5-6,292312.0291,0.815329611,0.89795804,0.082628429,0.86963785,0.018449581
261,TTB5-7,320917.4877,0.815184534,0.899996102,0.084811568,0.871459018,0.021859966
262,TTB5-8,326281.0111,0.75981313,0.899448574,0.139635444,0.874337178,0.01892757
263,TTB5-9,329856.6934,0.722388089,0.910165489,0.1877774,0.878565497,0.016825951
264,TTB5-10,298569.4732,0.697521925,0.918375552,0.220853627,0.872758221,0.02665395
265,TTB6-1,307508.679,0.719411671,0.89380461,0.174392939,0.859087409,0.020045143
266,TTB6-2,326281.0111,0.676292658,0.901235402,0.224942744,0.85494665,0.038521854
267,TTB6-3,324493.17,0.516737163,0.893504918,0.376767755,0.848311429,0.057836725
268,TTB6-4,320023.5671,0.536529183,0.891569257,0.355040073,0.849709252,0.046156397
269,TTB6-5,336114.1375,0.829508841,0.893097937,0.063589096,0.861423623,0.011145395
270,TTB6-6,327174.9317,0.544519186,0.896754324,0.352235138,0.847318197,0.045247407
271,TTB6-7,320023.5671,0.746376872,0.882858157,0.136481285,0.855221406,0.016919826
272,TTB6-8,321811.4082,0.833701074,0.897062123,0.063361049,0.865777277,0.011134722
273,TTB6-9,317341.8053,0.613499165,0.892809689,0.279310524,0.860142477,0.031519849
274,TTB7-1,788437.9502,0.598324478,0.891743064,0.293418586,0.855785309,0.026905778
275,TTB7-2,319129.6465,0.821216702,0.889963746,0.068747044,0.856341825,0.011821606
276,TTB7-3,318235.7259,0.833126307,0.890116036,0.056989729,0.858602173,0.00989128
277,TTB7-4,319129.6465,0.8347435,0.894804478,0.060060978,0.868882833,0.010204414
278,TTB7-5,310190.4407,0.801441789,0.896061838,0.094620049,0.86633621,0.011307967
279,TTB7-6,310190.4407,0.813303113,0.893975854,0.080672741,0.865965564,0.011567457
280,TTB7-7,310190.4407,0.640152991,0.891165495,0.251012504,0.862304755,0.029851461
281,TTB7-8,313766.123,0.606536865,0.903192818,0.296655953,0.857837288,0.04262566
282,TTB7-9,297675.5526,0.658726096,0.895925343,0.237199247,0.859650994,0.027556984
283,TTB8-1,589987.5818,0.812193274,0.896062136,0.083868861,0.872194966,0.011072898
284,TTB8-2,307508.679,0.831854045,0.896986783,0.065132737,0.872776876,0.011107621
285,TTB8-3,304826.9172,0.837253988,0.907119334,0.069865346,0.873404612,0.012301585
286,TTB8-4,225267.9858,0.84451139,0.902182341,0.057670951,0.874769593,0.010338545
287,TTB8-5,282478.9028,0.837453485,0.893339872,0.055886388,0.869583824,0.009872031
288,TTB8-6,310190.4407,0.831189215,0.895003319,0.063814104,0.86992469,0.0113341
