OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
0,TUA1-1,33075.0614,0.844584644,0.887397528,0.042812884,0.869174798,0.008580748
1,TUA1-2,14302.72925,0.860999286,0.88005352,0.019054234,0.869761407,0.005247598
2,TUA1-3,19666.25273,0.861302733,0.88864249,0.027339756,0.874611204,0.007400202
3,TUA1-4,18772.33215,0.865231037,0.888048112,0.022817075,0.878285297,0.00640232
4,TUA1-5,21454.09388,0.849487126,0.89126581,0.041778684,0.868387421,0.011161863
5,TUA1-6,21454.09388,0.853767872,0.894007981,0.040240109,0.872856495,0.010797901
6,TUA1-7,17878.41157,0.842166483,0.878574252,0.036407769,0.866237956,0.009489318
7,TUA1-8,18772.33215,0.847895265,0.873595357,0.025700092,0.862755869,0.007220936
8,TUA1-9,19666.25273,0.841953993,0.878083646,0.036129653,0.863547477,0.007819132
9,TUA1-10,20560.1733,0.855755031,0.885552764,0.029797733,0.868611367,0.008541297
10,TUA1-11,18772.33215,0.829925597,0.882505298,0.052579701,0.857907182,0.0117042
11,TUA1-12,21454.09388,0.84006989,0.88121599,0.0411461,0.862506534,0.007540098
12,TUB1-1,1787.841157,0.84457773,0.854936659,0.01035893,0.849757195,0.005179465
13,TUB1-2,27711.53793,0.823231101,0.879812062,0.056580961,0.862078961,0.012977175
14,TUB1-3,17878.41157,0.853619695,0.884527206,0.030907512,0.868907374,0.008411195
15,TUB1-4,20560.1733,0.850414574,0.885537863,0.035123289,0.867702583,0.009409867
16,TUB1-5,18772.33215,0.85158354,0.893669605,0.042086065,0.869993951,0.010075426
17,TUB1-6,17878.41157,0.849958777,0.891617358,0.04165858,0.873353961,0.010414561
18,TUB1-7,16984.49099,0.866025507,0.891524434,0.025498927,0.876755498,0.00637135
19,TUB1-8,21454.09388,0.843147933,0.893783391,0.050635457,0.871083863,0.012115498
20,TUB1-9,19666.25273,0.835178673,0.896182358,0.061003685,0.872333543,0.014111367
21,TUB1-10,17878.41157,0.846378326,0.892815411,0.046437085,0.872351149,0.012848276
22,TUB1-11,18772.33215,0.771689713,0.887095988,0.115406275,0.860774276,0.027137073
23,TUB1-12,20560.1733,0.802058876,0.890425682,0.088366807,0.870050651,0.020861105
24,TUB1-13,19666.25273,0.762278318,0.877420187,0.115141869,0.843840881,0.033948406
25,TUA2-1,25029.7762,0.860837698,0.888626516,0.027788818,0.873875716,0.008403064
26,TUA2-2,16984.49099,0.850418687,0.877892137,0.02747345,0.866493514,0.006826109
27,TUA2-3,18772.33215,0.858252704,0.875451505,0.017198801,0.866424705,0.004788195
28,TUA2-4,18772.33215,0.830774248,0.878587186,0.047812939,0.866034621,0.011810888
29,TUA2-5,21454.09388,0.846076608,0.87355119,0.027474582,0.861265269,0.006589844
30,TUA2-6,18772.33215,0.839352429,0.871060729,0.0317083,0.855722535,0.008914614
31,TUA2-7,17878.41157,0.84250766,0.864841223,0.022333562,0.854725307,0.006658234
32,TUA2-8,19666.25273,0.840878606,0.871884704,0.031006098,0.859640661,0.007704203
33,TUA2-9,20560.1733,0.852128029,0.88015455,0.028026521,0.868951725,0.007230902
34,TUA2-10,18772.33215,0.853142798,0.884311795,0.031168997,0.872692383,0.00686949
35,TUA2-11,18772.33215,0.845232189,0.881018221,0.035786033,0.867390488,0.010098963
36,TUA2-12,19666.25273,0.849142253,0.88097024,0.031827986,0.86549877,0.006994371
37,TUB2-1,11620.96752,0.846840978,0.878341854,0.031500876,0.869886302,0.00838714
38,TUB2-2,20560.1733,0.843859792,0.884432673,0.040572882,0.871098487,0.010405019
39,TUB2-3,19666.25273,0.85820061,0.8891536,0.03095299,0.872412752,0.007977242
40,TUB2-4,19666.25273,0.8354882,0.88026762,0.04477942,0.87019686,0.008729052
41,TUB2-5,19666.25273,0.858650565,0.881051898,0.022401333,0.869840015,0.006683415
42,TUB2-6,17878.41157,0.850413382,0.888461649,0.038048267,0.874245629,0.008491716
43,TUB2-7,18772.33215,0.849354267,0.88091749,0.031563222,0.870451462,0.007683264
44,TUB2-8,19666.25273,0.845660806,0.888247728,0.042586923,0.87149868,0.009576472
45,TUA3-1,20560.1733,0.846158504,0.879355252,0.033196747,0.864201478,0.008029236
46,TUA3-2,22348.01446,0.85063529,0.889947534,0.039312243,0.867691119,0.008649472
47,TUA3-3,21454.09388,0.858870268,0.874047279,0.015177011,0.866378215,0.004887897
48,TUA3-4,17878.41157,0.851689517,0.886129379,0.034439862,0.866681126,0.0063094
49,TUA3-5,21454.09388,0.852197647,0.882118464,0.029920816,0.86785913,0.007463518
50,TUA3-6,19666.25273,0.848017633,0.881453633,0.033436,0.86653193,0.008100752
51,TUA3-7,20560.1733,0.842965126,0.888453901,0.045488775,0.870148692,0.011224969
52,TUA3-8,20560.1733,0.844011486,0.881086648,0.037075162,0.863511482,0.008631757
53,TUA3-9,20560.1733,0.833673775,0.888351142,0.054677367,0.859095436,0.01536349
54,TUA3-10,19666.25273,0.826211572,0.885857821,0.059646249,0.857622312,0.018365261
55,TUA3-11,20560.1733,0.847598016,0.882336617,0.0347386,0.865474932,0.008163404
56,TUB3-1,20560.1733,0.848137975,0.88261199,0.034474015,0.866106798,0.006864459
57,TUB3-2,17878.41157,0.847003639,0.881293893,0.034290254,0.864556542,0.009303074
58,TUB3-3,22348.01446,0.846320987,0.880447805,0.034126818,0.864258604,0.009750802
59,TUB3-4,18772.33215,0.847656667,0.882153571,0.034496903,0.868265708,0.010181619
60,TUB3-5,19666.25273,0.847751617,0.883423507,0.03567189,0.864335109,0.010044637
61,TUB3-6,18772.33215,0.831901908,0.890165687,0.058263779,0.862895983,0.01205627
62,TUB3-7,18772.33215,0.853370547,0.893202424,0.039831877,0.87157814,0.009017893
63,TUB3-8,22348.01446,0.843060613,0.87754941,0.034488797,0.863939428,0.008933135
64,TUB3-9,17878.41157,0.844169855,0.889523745,0.045353889,0.870605493,0.01186474
65,TUB3-10,19666.25273,0.849132299,0.88399148,0.03485918,0.865914161,0.00996472
66,TUB3-11,18772.33215,0.834973693,0.882156968,0.047183275,0.863544773,0.012772085
67,TUB3-12,19666.25273,0.834345162,0.878711581,0.044366419,0.864412232,0.011400687
68,TDA1-1,31287.22024,0.856300831,0.890502214,0.034201384,0.874457681,0.009198278
69,TDA1-2,18772.33215,0.851631761,0.890397131,0.038765371,0.874004049,0.009344491
70,TDA1-3,16984.49099,0.854326725,0.885866106,0.031539381,0.871225332,0.007708018
71,TDA1-4,18772.33215,0.863689601,0.883676827,0.019987226,0.871413943,0.006155055
72,TDA1-5,22348.01446,0.854752362,0.884974897,0.030222535,0.875236123,0.007560054
73,TDA1-6,18772.33215,0.864635766,0.89572382,0.031088054,0.873389857,0.006573137
74,TDA1-7,19666.25273,0.859894633,0.897889256,0.037994623,0.874194671,0.008021865
75,TDA1-8,19666.25273,0.856625259,0.90131104,0.044685781,0.878781124,0.012103427
76,TDA1-9,18772.33215,0.860335171,0.900399566,0.040064394,0.88030214,0.010615101
77,TDA1-10,16090.57041,0.849188745,0.900502443,0.051313698,0.875720034,0.010843961
78,TDA1-11,21454.09388,0.856178761,0.884674966,0.028496206,0.873010611,0.008321774
79,TDB1-1,31287.22024,0.854760289,0.884115696,0.029355407,0.873142982,0.00705803
80,TDB1-2,20560.1733,0.827611864,0.884940326,0.057328463,0.865076202,0.01401539
81,TDB1-3,20560.1733,0.799695432,0.884996653,0.08530122,0.859258553,0.017685297
82,TDB1-4,18772.33215,0.85857302,0.88147223,0.02289921,0.868853597,0.005517051
83,TDB1-5,18772.33215,0.860999882,0.881458759,0.020458877,0.872594217,0.005618992
84,TDB1-6,19666.25273,0.860476553,0.894064605,0.033588052,0.871039835,0.007970731
85,TDB1-7,20560.1733,0.853855371,0.890795588,0.036940217,0.867887183,0.009008009
86,TDB1-8,19666.25273,0.853304327,0.879672766,0.026368439,0.86524198,0.006856717
87,TDB1-9,22348.01446,0.858243942,0.877483249,0.019239306,0.868072054,0.005551068
88,TDB1-10,18772.33215,0.843731582,0.879818499,0.036086917,0.863764388,0.009880162
89,TDA2-1,20560.1733,0.849812567,0.888759792,0.038947225,0.871248546,0.009113431
90,TDA2-2,20560.1733,0.84539783,0.884621024,0.039223194,0.865899705,0.008818637
91,TDA2-3,19666.25273,0.848474503,0.879369855,0.030895352,0.8589646,0.007405876
92,TDA2-4,18772.33215,0.835904241,0.876251221,0.04034698,0.856894814,0.009407517
93,TDA2-5,21454.09388,0.841860533,0.893852115,0.051991582,0.865285931,0.012671042
94,TDA2-6,19666.25273,0.843674004,0.884385526,0.040711522,0.866790969,0.011285114
95,TDA2-7,22348.01446,0.842492938,0.890308917,0.047815979,0.863645899,0.013016939
96,TDA2-8,19666.25273,0.800237179,0.877736747,0.077499568,0.85559946,0.017462868
97,TDA2-9,13408.80868,0.849628627,0.878020704,0.028392076,0.862510991,0.008722074
98,TDA2-10,16984.49099,0.832086027,0.871726215,0.039640188,0.84965896,0.010681101
99,TDB2-1,32181.14082,0.850348771,0.887411118,0.037062347,0.868024482,0.008431473
100,TDB2-2,18772.33215,0.843704581,0.891055465,0.047350883,0.870359461,0.013598118
101,TDB2-3,22348.01446,0.859265566,0.893466294,0.034200728,0.878342578,0.011344741
102,TDB2-4,18772.33215,0.867961228,0.897634685,0.029673457,0.881091924,0.006920733
103,TDB2-5,20560.1733,0.862538755,0.895511329,0.032972574,0.880213131,0.008824213
104,TDB2-6,20560.1733,0.856415689,0.889281034,0.032865345,0.871575,0.007945196
105,TDB2-7,21454.09388,0.84999311,0.878511369,0.02851826,0.868034067,0.006979838
106,TDB2-8,16984.49099,0.856098056,0.889279306,0.03318125,0.867444154,0.007612602
107,TDB2-9,21454.09388,0.856732428,0.885175347,0.028442919,0.870941507,0.008498437
108,TDB2-10,20560.1733,0.822730124,0.897450209,0.074720085,0.873810439,0.015551863
109,TDA3-1,16984.49099,0.703405201,0.871926904,0.168521702,0.827927872,0.049266292
110,TDA3-2,15196.64983,0.824122369,0.888641775,0.064519405,0.855080769,0.021014475
111,TDA3-3,22348.01446,0.842095196,0.887898386,0.045803189,0.870007322,0.011820229
112,TDA3-4,18772.33215,0.858552158,0.883011043,0.024458885,0.869083583,0.006110862
113,TDA3-5,19666.25273,0.851421297,0.885786593,0.034365296,0.865621475,0.008760014
114,TDA3-6,19666.25273,0.856408238,0.879132271,0.022724032,0.870543634,0.005746004
115,TDA3-7,19666.25273,0.864268661,0.882977486,0.018708825,0.873137891,0.005436673
116,TDA3-8,18772.33215,0.851802289,0.893274307,0.041472018,0.875840156,0.009651962
117,TDA3-9,16984.49099,0.868115664,0.892952085,0.024836421,0.881675504,0.006301359
118,TSA1-1,32181.14082,0.854225278,0.886362493,0.032137215,0.871195101,0.008292881
119,TSA1-2,18772.33215,0.852103055,0.90106672,0.048963666,0.873336196,0.012071978
120,TSA1-3,19666.25273,0.848987103,0.889327168,0.040340066,0.875567834,0.009354098
121,TSA1-4,21454.09388,0.856570363,0.893570244,0.036999881,0.876351215,0.009588919
122,TSA1-5,18772.33215,0.834909439,0.892718315,0.057808876,0.867104993,0.013355452
123,TSA1-6,17878.41157,0.854308426,0.893133402,0.038824975,0.874864385,0.010448483
124,TSA1-7,20560.1733,0.828259468,0.890563905,0.062304437,0.869953176,0.015763761
125,TSA1-8,21454.09388,0.858086407,0.890205383,0.032118976,0.876112324,0.010745295
126,TSA1-9,20560.1733,0.873385012,0.892166674,0.018781662,0.884310694,0.004151342
127,TSA1-10,18772.33215,0.867577791,0.898196101,0.03061831,0.880250108,0.008348767
128,TSA1-11,16984.49099,0.866588414,0.895192802,0.028604388,0.881738688,0.007905882
129,TSA1-12,17878.41157,0.857135892,0.894016147,0.036880255,0.877396396,0.010883727
130,TSB1-1,33075.0614,0.829603136,0.890439272,0.060836136,0.876066593,0.011725449
131,TSB1-2,19666.25273,0.85283798,0.900454998,0.047617018,0.878265538,0.011975409
132,TSB1-3,19666.25273,0.853112698,0.890069962,0.036957264,0.877757687,0.010003477
133,TSB1-4,18772.33215,0.86769712,0.891937792,0.024240673,0.879857427,0.005812237
134,TSB1-5,18772.33215,0.857697308,0.897737205,0.040039897,0.882312289,0.011168779
135,TSB1-6,21454.09388,0.862404585,0.902677178,0.040272593,0.884355115,0.008381722
136,TSB1-7,20560.1733,0.878498673,0.902764201,0.024265528,0.890127275,0.005668572
137,TSB1-8,18772.33215,0.878007948,0.903125405,0.025117457,0.893322244,0.007015255
138,TSB1-9,17878.41157,0.879720628,0.901618898,0.02189827,0.890440956,0.005660829
139,TSB1-10,21454.09388,0.87453109,0.900515676,0.025984585,0.889801741,0.006468949
140,TSB1-11,18772.33215,0.879471123,0.902538061,0.023066938,0.890812482,0.0052283
141,TSB1-12,18772.33215,0.867806435,0.904584885,0.03677845,0.888131278,0.008940824
142,TSB1-13,18772.33215,0.761717439,0.910598159,0.14888072,0.873391322,0.036005397
143,TSB1-14,17878.41157,0.652618885,0.845080614,0.192461729,0.754989293,0.047966682
144,TSB1-15,20560.1733,0.619805515,0.860227585,0.24042207,0.785307804,0.063276532
145,TSA2-1,24135.85562,0.840382278,0.902460635,0.062078357,0.885014044,0.012175101
146,TSA2-2,21454.09388,0.859321058,0.901586235,0.042265177,0.883782215,0.010042162
147,TSA2-3,20560.1733,0.870658338,0.889476955,0.018818617,0.881671307,0.005652092
148,TSA2-4,21454.09388,0.869841278,0.898131132,0.028289855,0.885098316,0.007948943
149,TSA2-5,19666.25273,0.858192801,0.899257362,0.04106456,0.88277098,0.010075312
150,TSA2-6,20560.1733,0.845451832,0.893719852,0.04826802,0.878029502,0.011222533
151,TSA2-7,19666.25273,0.830488563,0.899174452,0.068685889,0.877101755,0.015046586
152,TSA2-8,18772.33215,0.86225903,0.889011443,0.026752412,0.875214054,0.007373313
153,TSA2-9,20560.1733,0.854467332,0.88840729,0.033939958,0.875026065,0.007700809
154,TSA2-10,19666.25273,0.864856184,0.896824896,0.031968713,0.880082686,0.008234685
155,TSB2-1,30393.29967,0.848237336,0.888953507,0.040716171,0.870641167,0.009725268
