OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA,PERCENTAGE
1,TD5-1,Intact forest 2016,7.068576973,100
2,TD5-10,Intact forest 2016,7.06857684,100
3,TD5-11,Intact forest 2016,7.068578356,100
4,TD5-12,Intact forest 2016,7.068577045,100
5,TD5-13,Intact forest 2016,7.068577193,100
6,TD5-2,Intact forest 2016,7.068577657,100
7,TD5-3,Intact forest 2016,7.068577471,100
8,TD5-4,Intact forest 2016,7.068576957,100
9,TD5-5,Intact forest 2016,7.068578631,100
10,TD5-6,Intact forest 2016,7.068576785,100
11,TD5-7,Intact forest 2016,7.068577772,100
12,TD5-8,Intact forest 2016,7.068577725,100
13,TD5-9,Intact forest 2016,7.068577778,100
14,TD6-1,Intact forest 2016,7.068578501,100
15,TD6-10,Intact forest 2016,7.068577222,100
16,TD6-2,Intact forest 2016,7.068578134,100
17,TD6-3,Intact forest 2016,7.068577004,100
18,TD6-4,Intact forest 2016,7.068576606,100
19,TD6-5,Intact forest 2016,7.068578466,100
20,TD6-6,Intact forest 2016,7.068577298,100
21,TD6-7,Intact forest 2016,7.06857829,100
22,TD6-8,Intact forest 2016,7.068577856,100
23,TD6-9,Intact forest 2016,7.06857784,100
24,TDA1-1,Intact forest 2016,7.068577133,100
25,TDA1-10,Intact forest 2016,7.068576189,100
26,TDA1-11,Intact forest 2016,7.068576348,100
27,TDA1-2,Intact forest 2016,7.068577879,100
28,TDA1-3,Intact forest 2016,7.068577176,100
29,TDA1-4,Intact forest 2016,7.068577386,100
30,TDA1-5,Intact forest 2016,7.068578087,100
31,TDA1-6,Intact forest 2016,7.068576648,100
32,TDA1-7,Intact forest 2016,7.068577545,100
33,TDA1-8,Intact forest 2016,7.068577249,100
34,TDA1-9,Intact forest 2016,7.068578506,100
35,TDA2-1,Intact forest 2016,7.068577547,100
36,TDA2-10,Intact forest 2016,7.068579532,100
37,TDA2-2,Intact forest 2016,7.068576525,100
38,TDA2-3,Intact forest 2016,7.068576299,100
39,TDA2-4,Intact forest 2016,7.068577083,100
40,TDA2-5,Intact forest 2016,7.068578469,100
41,TDA2-6,Intact forest 2016,7.06857795,100
