OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Square Kilometers),PERCENTAGE
156,TSB2-5,Intact forest 2016,0.031374937,100
157,TSB2-6,Intact forest 2016,0.031374937,100
158,TSB2-7,Intact forest 2016,0.031374937,100
159,TSB2-8,Intact forest 2016,0.031374937,100
160,TSB2-9,Intact forest 2016,0.031374937,100
161,TSB3-1,Intact forest 2016,0.031374937,100
162,TSB3-10,Intact forest 2016,0.031374937,100
163,TSB3-2,Intact forest 2016,0.031374937,100
164,TSB3-3,Intact forest 2016,0.031374937,100
165,TSB3-4,Intact forest 2016,0.031374937,100
166,TSB3-5,Intact forest 2016,0.031374937,100
167,TSB3-6,Intact forest 2016,0.031374937,100
168,TSB3-7,Intact forest 2016,0.031374937,100
169,TSB3-8,Intact forest 2016,0.031374937,100
170,TSB3-9,Intact forest 2016,0.031374937,100
171,TTA1-1,Intact forest 2016,0.031374937,100
172,TTA1-2,Intact forest 2016,0.031374937,100
173,TTA1-3,Intact forest 2016,0.031374937,100
174,TTA1-4,Intact forest 2016,0.031374937,100
175,TTA1-5,Intact forest 2016,0.031374937,100
176,TTA1-6,Intact forest 2016,0.031374937,100
177,TTA1-7,Intact forest 2016,0.031374937,100
178,TTA2-1,Intact forest 2016,0.031374937,100
179,TTA2-2,Intact forest 2016,0.031374937,100
180,TTA2-3,Intact forest 2016,0.01636483,52.15892555
181,TTA2-3,Regrowth 1973-2016,0.015010107,47.84107445
182,TTA2-4,Intact forest 2016,0.022920473,73.05344772
183,TTA2-4,Regrowth 1973-2016,0.008454464,26.94655228
184,TTA2-5,Intact forest 2016,0.012237708,39.00472603
185,TTA2-5,Regrowth 1973-2016,0.019137229,60.99527397
186,TTA2-6,Intact forest 2016,0.031374937,100
187,TTA3-1,Intact forest 2016,0.031374937,100
188,TTA3-2,Intact forest 2016,0.031374937,100
189,TTA3-3,Intact forest 2016,0.031374937,100
190,TTA3-4,Intact forest 2016,0.031374937,100
191,TTA3-5,Intact forest 2016,0.031374937,100
192,TTA3-6,Intact forest 2016,0.031374937,100
193,TTA3-7,Intact forest 2016,0.031374937,100
194,TTA5-1,Intact forest 2016,0.031374937,100
195,TTA5-2,Intact forest 2016,0.031374937,100
196,TTA5-3,Intact forest 2016,0.031374937,100
197,TTA5-4,Intact forest 2016,0.031374937,100
198,TTA5-5,Intact forest 2016,0.031374937,100
199,TTA5-6,Regrowth 1973-2016,0.031374937,100
200,TTA5-7,Intact forest 2016,0.01863322,59.38886719
201,TTA5-7,Regrowth 1973-2016,0.012741717,40.61113281
202,TTA5-8,Intact forest 2016,0.031374937,100
203,TTA6-1,Intact forest 2016,0.031374937,100
204,TTA6-10,Intact forest 2016,0.031374937,100
205,TTA6-2,Intact forest 2016,0.031374937,100
206,TTA6-3,Intact forest 2016,0.031374937,100
207,TTA6-4,Intact forest 2016,0.031374937,100
208,TTA6-5,Intact forest 2016,0.031374937,100
209,TTA6-6,Intact forest 2016,0.031374937,100
210,TTA6-7,Intact forest 2016,0.031374937,100
211,TTA6-8,Intact forest 2016,0.031374937,100
212,TTA6-9,Intact forest 2016,0.031374937,100
213,TTA7-1,Intact forest 2016,0.010036479,31.98884047
214,TTA7-1,Non-forest,0.021338459,68.01115953
215,TTA7-10,Intact forest 2016,0.031374937,100
216,TTA7-2,Intact forest 2016,0.006901722,21.99756585
217,TTA7-2,Non-forest,0.024473215,78.00243415
218,TTA7-3,Intact forest 2016,0.028563043,91.03776812
219,TTA7-3,Non-forest,0.002811895,8.962231878
220,TTA7-4,Intact forest 2016,0.02215963,70.62844554
221,TTA7-4,Non-forest,0.009215307,29.37155446
222,TTA7-5,Intact forest 2016,0.031374937,100
223,TTA7-6,Intact forest 2016,0.031374937,100
224,TTA7-7,Intact forest 2016,0.031374937,100
225,TTA7-8,Intact forest 2016,0.031374937,100
226,TTA7-9,Intact forest 2016,0.031374937,100
227,TTB1-1,Intact forest 2016,0.031374937,100
228,TTB1-2,Intact forest 2016,0.028959976,92.30289592
229,TTB1-2,Regrowth 1973-2016,0.002414962,7.697104078
230,TTB1-3,Intact forest 2016,6.01E-05,0.191401246
231,TTB1-3,Regrowth 1973-2016,0.031314885,99.80859875
232,TTB1-4,Intact forest 2016,0.014377162,45.82371669
233,TTB1-4,Regrowth 1973-2016,0.016997775,54.17628331
234,TTB1-5,Regrowth 1973-2016,0.031374937,100
235,TTB2-1,Intact forest 2016,0.031374937,100
236,TTB2-2,Intact forest 2016,0.031374937,100
237,TTB2-3,Intact forest 2016,0.031374937,100
238,TTB2-4,Intact forest 2016,0.031374937,100
239,TTB2-5,Intact forest 2016,0.031374937,100
240,TTB2-6,Intact forest 2016,0.031374937,100
241,TTB2-7,Intact forest 2016,0.026681341,85.04029968
