Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(disturb500 P forest1500 P height100 P distRoad),10.86,0.0016,7,13,5.63,1
p(cloudCover)psi(forest1500 P ele P height100 P distRoad),10.86,0.0016,7,13,2.88,1
p(cloudCover)psi(forest1500 P ndvi500 P ele),10.94,0.0016,6,15.21,0,1
p(cloudCover)psi(forest1500 P ndvi500 P height100),10.94,0.0016,6,15.21,3.21,1
p(cloudCover)psi(und P height100 P distRoad),10.94,0.0016,6,15.21,2.95,1
p(cloudCover)psi(forest1500 P ndvi500 P water),11.06,0.0015,6,15.33,5.74,1
p(cloudCover)psi(forest1500 P water P ele P height100),11.06,0.0015,7,13.21,2.05,1
p(cloudCover)psi(forest1500 P und P ele P distRoad),11.06,0.0015,7,13.21,5.79,1
p(cloudCover)psi(forest1500 P water P ele P distRoad),11.06,0.0015,7,13.21,0,1
p(cloudCover)psi(forest1500 P water P height100 P distRoad),11.06,0.0015,7,13.21,4.33,1
p(start P cloudCover)psi(water P ele),11.08,0.0015,6,15.35,5.19,1
p(start P cloudCover)psi(ndvi500 P water P distRoad),11.16,0.0014,7,13.31,3.76,1
p(start P cloudCover)psi(ele P height100 P distRoad),11.22,0.0014,7,13.36,3.29,1
p(start P cloudCover)psi(forest1500 P height100 P distRoad),11.25,0.0013,7,13.4,0,0
p(cloudCover)psi(disturb500 P forest1500 P und P distRoad),11.26,0.0013,7,13.4,5.65,1
p(cloudCover)psi(forest1500 P ndvi500 P water P distRoad),11.26,0.0013,7,13.4,2.63,1
p(cloudCover)psi(disturb500 P forest1500 P ele P distRoad),11.26,0.0013,7,13.4,0,1
p(cloudCover)psi(forest1500 P ndvi500 P ele P distRoad),11.26,0.0013,7,13.4,4.99,1
p(start P cloudCover)psi(ndvi500 P water P ele),11.27,0.0013,7,13.41,3.71,0
p(cloudCover)psi(forest1500 P und P water),11.29,0.0013,6,15.56,0.8,1
p(cloudCover)psi(forest1500 P und P height100),11.29,0.0013,6,15.56,5.6,0
p(start P cloudCover)psi(und P water P ele),11.33,0.0013,7,13.48,0.79,1
p(start P cloudCover)psi(forest1500 P ndvi500 P und P ele P distRoad),11.39,0.0012,9,9.23,4.56,1
p(start P cloudCover)psi(forest1500 P und P distRoad),11.4,0.0012,7,13.54,5.24,1
p(cloudCover)psi(ndvi500 P height100 P distRoad),11.4,0.0012,6,15.67,1.28,0
p(start P cloudCover)psi(disturb500),11.45,0.0012,5,17.82,0,0
p(cloudCover)psi(forest1500 P ndvi500 P water P ele),11.45,0.0012,7,13.59,4.03,0
p(cloudCover)psi(forest1500 P und P water P ele),11.45,0.0012,7,13.59,0.61,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P distRoad),11.45,0.0012,7,13.59,3.34,1
p(cloudCover)psi(forest1500 P und P water P distRoad),11.45,0.0012,7,13.59,5.69,1
p(cloudCover)psi(forest1500 P ndvi500 P height100 P distRoad),11.45,0.0012,7,13.59,3.87,1
p(cloudCover)psi(forest1500 P und P height100 P distRoad),11.45,0.0012,7,13.59,1.98,1
p(cloudCover)psi(water P ele P height100 P distRoad),11.45,0.0012,7,13.59,4.44,1
p(start P cloudCover)psi(ndvi500 P height100),11.46,0.0012,6,15.72,4.42,1
p(cloudCover)psi(disturb500 P forest1500 P height100),11.51,0.0012,6,15.78,5.53,1
p(cloudCover)psi(disturb500 P ndvi500 P height100),11.51,0.0012,6,15.78,0,0
p(cloudCover)psi(und P ele P height100),11.51,0.0012,6,15.78,0,1
p(start P cloudCover)psi(disturb500 P forest1500 P distRoad),11.51,0.0012,7,13.66,4.21,1
p(start P cloudCover)psi(forest1500 P water P ele),11.54,0.0012,7,13.68,0.98,1
p(start P cloudCover)psi(forest1500 P ndvi500 P distRoad),11.56,0.0011,7,13.71,4.67,1
p(cloudCover)psi(forest1500 P water P height100),11.61,0.0011,6,15.88,5.39,1
p(cloudCover)psi(ndvi500 P ele P height100),11.61,0.0011,6,15.88,0,1
p(cloudCover)psi(ndvi500 P und P distRoad),11.61,0.0011,6,15.88,0,0
p(cloudCover)psi(disturb500 P forest1500),11.67,0.0011,5,18.05,0,0
p(cloudCover)psi(disturb500 P ndvi500),11.67,0.0011,5,18.05,0,1
p(cloudCover)psi(disturb500 P und),11.67,0.0011,5,18.05,0,0
p(cloudCover)psi(disturb500 P water),11.67,0.0011,5,18.05,0,1
p(cloudCover)psi(disturb500 P ele),11.67,0.0011,5,18.05,0,1
p(cloudCover)psi(disturb500 P height100),11.67,0.0011,5,18.05,0,1
p(cloudCover)psi(disturb500 P distRoad),11.67,0.0011,5,18.05,3.42,0
