Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start)psi(disturb500 P forest1000 P ndvi500 P und P distRoad),7.12,0.0031,10,209.15,0,1
p(observer1 P start)psi(ele P height100),7.12,0.0031,7,215.64,0,0
p(start)psi(disturb500 P forest1000 P und P height100),7.13,0.0031,7,215.65,4.75,1
p(start)psi(disturb500 P forest1000 P und P ele P height100),7.22,0.0029,8,213.6,0.76,1
p(observer1 P start)psi(water P ele),7.29,0.0028,7,215.81,0,0
p(observer1 P start)psi(forest1000 P ndvi500 P height100),7.29,0.0028,8,213.67,5.93,1
p(start)psi(ele),7.3,0.0028,4,222.13,0,0
p(observer1 P start)psi(ndvi500 P ele),7.3,0.0028,7,215.82,0,0
p(start)psi(disturb500 P ndvi500 P water P height100),7.4,0.0027,7,215.92,1.57,1
p(observer1 P start)psi(ndvi500 P und P ele P height100),7.42,0.0026,9,211.63,5.36,1
p(observer1 P start)psi(und P ele),7.42,0.0026,7,215.94,0,0
p(observer1 P start)psi(forest1000 P ele),7.43,0.0026,7,215.95,0,0
p(start)psi(disturb500 P forest1000 P und P height100 P distRoad),7.58,0.0024,8,213.96,-1.69,0
p(observer1 P start)psi(disturb500 P forest1000 P ndvi500 P water P ele P height100 P distRoad),7.59,0.0024,12,205.2,2.29,1
p(start)psi(forest1000 P ndvi500 P height100),7.63,0.0024,6,218.27,0,0
p(start)psi(disturb500 P forest1000 P height100 P distRoad),7.63,0.0024,7,216.15,4.65,0
p(start)psi(disturb500 P forest1000 P ele P height100),7.65,0.0024,7,216.17,2.13,0
p(start)psi(forest1000 P ndvi500 P und P water P ele P height100 P distRoad),7.65,0.0024,10,209.68,0,1
p(start)psi(ndvi500 P height100),7.66,0.0024,5,220.41,0,0
p(observer1 P start)psi(disturb500 P ele P distRoad),7.67,0.0023,8,214.05,0,0
p(start)psi(forest1000 P ndvi500 P und P water P height100),7.69,0.0023,8,214.07,5.97,1
p(observer1 P start)psi(disturb500 P forest1000 P und P water P distRoad),7.72,0.0023,10,209.75,0.84,1
p(start)psi(disturb500 P forest1000 P ndvi500 P und P distRoad),7.86,0.0021,8,214.23,0,1
p(start)psi(disturb500 P forest1000 P und P ele P distRoad),7.86,0.0021,8,214.24,-0.18,0
p(observer1 P start)psi(disturb500 P ndvi500 P und P water P ele),7.87,0.0021,10,209.91,0.37,1
p(observer1 P start)psi(disturb500 P ndvi500 P und P water P distRoad),7.87,0.0021,10,209.91,-0.18,1
p(observer1 P start)psi(ele P height100 P distRoad),7.9,0.0021,8,214.27,5.8,0
p(start)psi(forest1000 P ndvi500 P und),7.93,0.0021,6,218.57,-1.38,0
p(start)psi(disturb500 P forest1000 P water P distRoad),7.98,0.002,7,216.5,1.48,1
p(observer1 P start)psi(forest1000 P ele P distRoad),8,0.002,8,214.37,0,0
p(start)psi(ele P distRoad),8.01,0.002,5,220.77,0,0
p(observer1 P start)psi(water P ele P distRoad),8.04,0.0019,8,214.42,5.85,0
p(observer1 P start)psi(ndvi500 P ele P distRoad),8.06,0.0019,8,214.44,5.42,0
p(observer1 P start)psi(disturb500 P forest1000 P ndvi500 P distRoad),8.08,0.0019,9,212.29,0,1
p(observer1 P start)psi(und P ele P distRoad),8.12,0.0019,8,214.5,0,0
p(observer1 P start)psi(ndvi500 P und P height100 P distRoad),8.17,0.0018,9,212.38,0,1
p(observer1 P start)psi(ndvi500 P und P ele P height100 P distRoad),8.21,0.0018,10,210.24,0,1
