observer1,start,cloudCover
Indah,0,0.4
Indah,0.115384615384615,0
Indah,0.25,0
Indah,0.453846153846154,0
Indah,0.596153846153846,0
Indah,0.730769230769231,0
Indah,0.873076923076923,0
Indah,0,0.6
Indah,0.211538461538462,0.3
Indah,0.411538461538462,0.3
Indah,0.634615384615385,0.3
Indah,0.838461538461538,0.2
Indah,1,0.1
Indah,0.153846153846154,0
Indah,0.288461538461538,0.2
Indah,0.403846153846154,0.2
Indah,0.538461538461538,0.2
Indah,0.692307692307692,0.2
Indah,0.853846153846154,0.1
Indah,0.992307692307692,0.1
Indah,0,0.2
Indah,0.103846153846154,0.1
Indah,0.219230769230769,0.1
Indah,0.319230769230769,0.1
Indah,0.442307692307692,0
Indah,0.615384615384615,0
Indah,0.769230769230769,0
Indah,0.923076923076923,0
Indah,0,0.8
Indah,0.961538461538461,0
Indah,0.173076923076923,0.8
Indah,0.265384615384615,0.8
Indah,0.365384615384615,0.8
Indah,0.473076923076923,0.6
Indah,0.565384615384615,0.35
Indah,0.673076923076923,0.2
Indah,0.776923076923077,0.1
Indah,0.865384615384615,0.1
Indah,0,0.9
Indah,0.923076923076923,0.4
Indah,0.115384615384615,0.6
Indah,0.219230769230769,0.25
Indah,0.315384615384615,0.1
Indah,0.423076923076923,0.4
Indah,0.519230769230769,0.2
Indah,0.626923076923077,0.2
Indah,0.719230769230769,0
Indah,0.826923076923077,0.4
Katie,0.0884615384615383,0.7
Katie,0.288461538461538,0.5
Katie,0.569230769230769,0.2
Katie,0.838461538461538,0.2
,,
Katie,0.00769230769230766,0
Katie,0.169230769230769,0.95
Katie,0.326923076923077,1
Katie,0.476923076923077,0.9
Katie,0.588461538461539,1
Katie,0.707692307692308,1
Katie,0.803846153846154,0.7
Katie,0.934615384615385,0.8
Katie,0.107692307692308,1
Katie,0.230769230769231,1
Katie,0.384615384615385,1
Katie,0.526923076923077,0.8
Katie,0.684615384615385,0.5
Katie,0.803846153846154,0.3
Katie,0.957692307692308,0.1
,,
Katie,0.253846153846154,1
Katie,0.361538461538461,1
Katie,0.573076923076923,1
Katie,0.673076923076923,1
Katie,0.773076923076923,1
Katie,0.869230769230769,1
Katie,0.973076923076923,1
,,
,,
Katie,0,0.5
Katie,0.934615384615385,0.5
Katie,0.0923076923076924,0.5
Katie,0.188461538461538,0.3
Katie,0.288461538461538,0.3
Katie,0.388461538461538,0.6
Katie,0.488461538461539,0.8
Katie,0.584615384615385,0.2
Katie,0.696153846153846,0.1
Katie,0.803846153846154,0.1
Katie,0.00384615384615383,1
Katie,0.180769230769231,1
Katie,0.307692307692308,1
Katie,0.457692307692308,1
Katie,0.569230769230769,0.6
Katie,0.661538461538462,1
Katie,0.761538461538462,1
Katie,0.861538461538461,1
Katie,0.965384615384615,0.9
Katie,0.0769230769230769,1
Katie,0.176923076923077,1
Katie,0.303846153846154,0.5
Katie,0.434615384615385,0.6
Katie,0.557692307692308,0.95
Katie,0.665384615384615,1
Katie,0.765384615384615,1
Katie,0.869230769230769,1
Katie,0.988461538461538,1
Katie,0.0961538461538462,1
Katie,0.25,0.9
Katie,0.392307692307692,0.9
Katie,0.496153846153846,0.7
Katie,0.6,0.5
Katie,0.707692307692308,0.5
Katie,0.826923076923077,0.7
Katie,0.930769230769231,0.4
,,
Indah,0,0.5
Katie,0.138461538461538,0.4
Katie,0.265384615384615,0.2
Katie,0.392307692307692,0.7
Indah,0.519230769230769,0.7
Indah,0.653846153846154,0.5
Indah,0.796153846153846,0.3
Indah,0.230769230769231,0.3
Indah,0.15,0.3
Indah,0.307692307692308,0.2
Indah,0.442307692307692,0.2
Indah,0.619230769230769,0.4
Indah,0.826923076923077,0.2
Indah,0,0.2
Indah,0.130769230769231,0.2
Indah,0.242307692307692,0.1
Indah,0.384615384615385,0.1
Indah,0.5,0
Indah,0.692307692307692,0
Indah,0.826923076923077,0
Indah,0,0.4
Indah,0.134615384615385,0.1
Indah,0.242307692307692,0.1
Indah,0.346153846153846,0.1
Indah,0.480769230769231,0.7
Indah,0.615384615384615,0.1
Indah,0.738461538461538,0.4
Indah,0.865384615384615,0.4
Indah,0,0.8
Indah,0.903846153846154,0
Indah,0.103846153846154,0.4
Indah,0.211538461538462,0.2
Indah,0.315384615384615,0.1
Indah,0.423076923076923,0.2
Indah,0.519230769230769,0.1
Indah,0.615384615384615,0.1
Indah,0.711538461538462,0
Indah,0.807692307692308,0
