observer1,date,start,cloudCover,occasion
Katie,2018-02-14,8.53333333333333,20,5
Katie,2018-02-14,9.06666666666667,0,5
Katie,2018-02-17,5.5,100,5
Katie,2018-02-17,6.03333333333333,100,5
Katie,2018-02-17,6.56666666666667,0,5
Katie,2018-02-17,6.96666666666667,0,5
,,,,
Katie,2018-02-17,7.86666666666667,0,5
Katie,2018-02-17,8.3,0,5
Katie,2018-02-17,8.71666666666667,0,5
Katie,2018-02-17,9.11666666666667,0,5
Katie,2018-02-21,5.5,0,5
Katie,2018-02-21,9.21666666666667,100,5
Katie,2018-02-21,5.88333333333333,0,5
Katie,2018-02-21,6.28333333333333,20,5
Katie,2018-02-21,6.7,90,5
Katie,2018-02-21,7.1,100,5
Katie,2018-02-21,7.48333333333333,100,5
Katie,2018-02-21,7.88333333333333,100,5
Katie,2018-02-21,8.31666666666667,100,5
Katie,2018-02-21,8.7,100,5
Katie,2018-02-22,5.61666666666667,70,5
Katie,2018-02-22,6.06666666666667,60,5
Katie,2018-02-22,6.68333333333333,50,5
Katie,2018-02-22,7.18333333333333,50,5
Katie,2018-02-22,7.61666666666667,0,5
Katie,2018-02-22,8.13333333333333,10,5
Katie,2018-02-22,8.5,80,5
Katie,2018-02-22,8.91666666666667,60,5
Katie,2018-02-22,9.31666666666667,60,5
Katie,2018-02-19,5.53333333333333,100,5
Katie,2018-02-19,5.96666666666667,100,5
Katie,2018-02-19,6.35,100,5
Katie,2018-02-19,6.8,100,5
Katie,2018-02-19,7.21666666666667,100,5
,,,,
Katie,2018-02-19,8.1,100,5
Katie,2018-02-19,8.53333333333333,100,5
Katie,2018-02-19,8.93333333333333,100,5
Katie,2018-02-20,5.5,30,5
Katie,2018-02-20,5.96666666666667,30,5
Katie,2018-02-20,6.46666666666667,40,5
Katie,2018-02-20,6.88333333333333,20,5
Katie,2018-02-20,7.31666666666667,20,5
Katie,2018-02-20,7.75,20,5
Katie,2018-02-20,8.16666666666667,20,5
Katie,2018-02-20,8.58333333333333,40,5
Katie,2018-02-20,8.96666666666667,80,5
