covnames,sum.wgt,ER
und,1.2991,-4.34336342360415
water,0.762,3.20168067226891
ele,1.2946,-4.39443312966735
height100,1.0774,-13.9198966408269
height500,0,0
disturb100,0,0
disturb500,1.5404,-2.85048112509252
distRoad,0.9606,24.3807106598985
forest100,0,0
forest1500,0.989,89.9090909090908
forest500,0,0
forest1000,0,0
ndvi100,1.755,-2.32450331125828
ndvi500,0,0
