Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele P height500 P distRoad),0,0.9985,17,656.54,-0.03,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele P height100 P distRoad),12.96,0.0015,17,669.5,4.65,0
