OBJECTID,OBJECTID_1,Latitude,Longitude,OCCUPIED,TOTAL,Elevation_100mMEAN,Elevation_100mSTD,Elevation_1500mMEAN,Elevation_1500mSTD,Elevation_500mMEAN,Elevation_500mSTD,slope_pc_rise_1000mMEAN,slope_pc_rise_1000mSTD,slope_pc_rise_100mMEAN,slope_pc_rise_100mSTD,slope_pc_rise_1500mMEAN,slope_pc_rise_1500mSTD,slope_pc_rise_500mMEAN,slope_pc_rise_500mSTD,Canopy_Height_1000_mMEAN,Canopy_Height_1000_mSTD,Canopy_Height_100mMEAN,Canopy_Height_100mSTD,Canopy_Height_1500_mMEAN,Canopy_Height_1500_mSTD,Canopy_Height_500mMEAN,Canopy_Height_500mSTD,Disturbed_Canopy_100mPercent,Disturbed_Canopy_1500mPercent,Disturbed_Canopy_500mPercent,Disturbed_Canopy1_1000mPercent,Eucdist_Roads_km_100MEAN,Eucdist_Roads_km_100STD,Eucdist_Roads_km_1000MEAN,Eucdist_Roads_km_1000STD,Eucdist_Roads_km_1500MEAN,Eucdist_Roads_km_1500STD,Eucdist_Roads_km_500MEAN,Eucdist_Roads_km_500STD,PTCT_1000m_Kernal_DensityMEAN,PTCT_1000m_Kernal_DensitySTD,PTCT_100m_Kernal_DensityMEAN,PTCT_100m_Kernal_DensitySTD,PTCT_1500m_Kernal_DensityMEAN,PTCT_1500m_Kernal_DensitySTD,PTCT_500mb_Kernal_DensityMEAN,PTCT_500mb_Kernal_DensitySTD,PercentIntactforest20161000m,PercentNonforest1000m,PercentRegrowth197320161000m,PercentIntactforest2016100m,PercentNonforest100m,PercentRegrowth19732016100m,PercentIntactforest20161500m,PercentNonforest1500m,PercentRegrowth197320161500m,PercentIntactforest2016500m,PercentNonforest500m,PercentRegrowth19732016500m,Zonal_Stats1000mMEAN,Zonal_Stats1000mSTD,Zonal_Stats100mMEAN,Zonal_Stats100mSTD,Zonal_Stats1500mMEAN,Zonal_Stats1500mSTD,Zonal_Stats500mMEAN,Zonal_Stats500mSTD,PTCT_1000m_5m_TreeCover_PercentMEAN,PTCT_1000m_5m_TreeCover_PercentSTD,PTCT_100m_5m_TreeCover_PercentMEAN,PTCT_100m_5m_TreeCover_PercentSTD,PTCT_1500m_5m_TreeCover_PercentMEAN,PTCT_1500m_5m_TreeCover_PercentSTD,PTCT_500m_5m_TreeCover_PercentMEAN,PTCT_500m_5m_TreeCover_PercentSTD
1,TUA1-1,1.083663991,109.889377,0,0,574.774193548387,8.85259093628171,550.183926865875,49.0564819177349,568.723716381418,29.6324584124825,,,14.7252764932571,9.40544825839556,22.0763246269193,15.7732072334397,19.871135731271,12.5659205112876,28.6701674709055,17.1712479305616,0,0,34.205488113303,12.7452525294892,23.9680729760547,18.898308734526,0,0.1896745,0,0.1138044,3.45051533467061,0.051078630841807,3.49139771395147,0.498630773779114,3.53445915289194,0.742661212029962,3.44140843392501,0.250776752535043,0.065,0.0082,0.0679,9e-04,0.0617,0.0116,0.0669,0.0043,97.8889025,2.11096571,0,100,0,0,93.53227988,6.467630732,0,100,0,0,0.870838014,0.011266161,0.870795645,0.010668251,0.869665091,0.014324617,0.869174798,0.008580748,73.0181524808391,4.80495672950263,,,71.6847431735727,6.23688252600805,72.9693053311793,5.43910581380648
2,TUA1-2,1.083037024,109.889703,0,0,589.6,7.40090084606655,588.559670781893,37.6001206532987,592.217948717949,26.0761446320038,,,18.4755345344543,7.40891615294788,24.3102093758407,13.8157081288446,23.0187348708128,14.84125374443,36.905325443787,8.24207893257354,9.176470588,16.54311762,38.3946360153257,0.594845323986941,25.7159090909091,18.4950539233628,0,0.012645,0,0.0284511,3.55701734125614,0.035231391912973,4.17122487881604,0.342565998568307,4.55598840530102,0.476505414498703,3.79445191594057,0.190774781694592,0.0748,0.0062,0.07,5e-04,0.0722,0.0097,0.0732,0.0029,98.35552153,1.644337406,0,100,0,0,93.80307592,6.196818124,0,100,0,0,0.867375808,0.010337906,0.871580642,0.008843657,0.866237389,0.01197764,0.869761407,0.005247598,71.6626506024096,4.52110741427527,75.1,1.97230829233164,71.0342857142857,6.47359219586524,73.5384615384615,2.02353022122555
3,TUA1-3,1.082427995,109.890404,0,0,596.619047619048,8.53829575097208,598.610759493671,31.0758119244685,594.466019417476,20.3096493083645,,,19.2422324362255,7.18909770805969,26.1447769377051,14.6367335721509,19.7459560152396,12.5063032053376,38.5150214592275,0.608231888001888,30.52173913,16.08636897,38.2456140350877,0.430450671803024,33.6173913043478,13.5162270325231,0,0,0,0,3.64533670382066,0.037916430104145,4.37825237620961,0.212445145201876,4.79720464944839,0.305699073919644,3.93742994640185,0.121924924103843,0.0763,0.0048,0.0714,6e-04,0.0736,0.008,0.0748,0.0023,99.03948799,0.960374704,0,100,0,0,94.75022272,5.249692708,0,100,0,0,0.865457535,0.009963216,0.871652356,0.0086379,0.864908966,0.011947903,0.874611204,0.007400202,70.7631578947368,6.91654846431947,74.55,2.3124662159694,70.9257641921397,8.0781494030784,73.1747572815534,3.11409942557239
4,TUA1-4,1.081963973,109.891165,0,0,602.947368421053,8.74476495552923,606.358064516129,30.8858070984855,598.5,16.9920796028847,,,24.6039533113179,9.34639823149467,24.161348597465,13.9354989954714,17.5347965657711,9.48406203379251,38.351598173516,0.588810970586849,39,0,38.2222222222222,0.415739709641549,36.9272727272727,8.87254098165088,0,0.012645,0,0,3.75075269880749,0.031855692948551,4.4971100628913,0.187758573471479,4.93653107129611,0.242620146665407,4.04593244386376,0.108458454712846,0.0765,0.0054,0.0729,5e-04,0.073,0.0082,0.0756,0.0025,99.51095312,0.488908155,0,100,0,0,95.67561579,4.324296675,0,100,0,0,0.863620582,0.011455654,0.87046066,0.009699391,0.863905776,0.011971902,0.878285297,0.00640232,71.4238410596027,5.83031252907239,74.0555555555556,3.04543779414789,71.0248756218905,6.83817045950792,73.4395604395605,3.18032685862098
5,TUA1-5,1.08143298,109.892043,0,0,620.142857142857,10.5029960092388,612.698591549296,31.0749547854485,602.957264957265,18.8608911892081,,,28.1625264939808,13.3306392740495,24.0037356670474,12.5626429775053,18.3485156175418,12.2877294370329,38.1960784313726,0.469443051032066,39,0,38.2087628865979,0.406424585596504,38.7142857142857,3.46606483525293,0,0,0,0,3.85981061061223,0.034229567209368,4.59438460455166,0.198657431983781,5.0210436675215,0.269755211870916,4.15273857675493,0.109498180798561,0.0766,0.0054,0.0744,5e-04,0.0724,0.0085,0.0768,0.0024,99.95532798,0.044529081,0,100,0,0,96.86621454,3.133694894,0,100,0,0,0.865677231,0.010318948,0.867428985,0.009431012,0.864203467,0.009758219,0.868387421,0.011161863,72.3240223463687,3.72760104075705,74.4166666666667,2.79756838859894,72.7869565217391,5.70528392372226,74.0194174757282,2.9028963859662
6,TUA1-6,1.080887988,109.892869,1,2,627.52380952381,5.68723757212616,622.56432748538,31.7393480218455,600.827586206897,16.8631795699427,,,20.6342515491304,14.5491738659368,24.3661762653736,13.5802120102583,19.5186660937194,13.4776087842917,38.119341563786,0.336644631048732,39,0,38.1544715447155,0.361400175136278,39.0079365079365,0.088732856250322,0,0,0,0,3.97191902001699,0.035488059431862,4.70180784625772,0.199897255719635,5.13454770529142,0.26770338561335,4.26492102562435,0.109245418122301,0.0771,0.0051,0.0758,5e-04,0.0723,0.0079,0.0778,0.0023,100,0,0,100,0,0,97.95728311,2.042625826,0,100,0,0,0.864620386,0.011862256,0.867114347,0.010770187,0.864806805,0.009903941,0.872856495,0.010797901,69.4022988505747,7.31705576445292,73.8333333333333,2.68741924943293,73.3364928909953,4.15750848462309,71.6574074074074,5.42996152540258
7,TUA1-7,1.080506025,109.893698,1,1,617.052631578947,4.17352160033416,629.272435897436,32.000593090894,590.320388349515,14.2469302380679,,,12.3073084856334,9.20078391158526,25.5795684120594,13.8847733723029,15.5726303573951,11.9347977821069,38.1255411255411,0.368448880189752,39,0,38.1627218934911,0.36911174306683,38.9464285714286,0.225170003802281,0,0,0,0,4.07617523670197,0.032183278125663,4.81369736505591,0.189182942087574,5.24108949969797,0.267254029293824,4.37435413500585,0.102671245535457,0.0766,0.0056,0.0769,5e-04,0.0707,0.0086,0.0783,0.0025,100,0,0,100,0,0,98.94813791,1.051772081,0,100,0,0,0.862317093,0.013411107,0.863213827,0.010558737,0.86554967,0.010001339,0.866237956,0.009489318,69.8343195266272,5.90725206029167,73,2.72554057547699,73.3969072164948,4.59966277581142,70.9270833333333,6.4795267182917
8,TUA1-8,1.080143005,109.894495,0,0,621.619047619048,6.69382224411657,637.96357615894,32.9839715909569,590.028571428571,15.8519682676683,,,15.360113915943,6.18325427591192,25.3562952724119,13.290633581556,11.9979955253147,10.4286170362249,38.1050228310502,0.306582837106686,39,0,38.1727272727273,0.378011325205288,38.6880733944954,0.463280043044219,0,0,0,0.0284511,4.16783328283401,0.033282996661629,4.91212978972692,0.191858036190991,5.33412911164437,0.272174189240056,4.46711696160806,0.10787542863588,0.0761,0.0057,0.0777,5e-04,0.0697,0.0089,0.0786,0.0027,100,0,0,100,0,0,99.51754841,0.482363848,0,100,0,0,0.860865475,0.01466956,0.862704293,0.00869495,0.866216976,0.010414966,0.862755869,0.007220936,70.8133333333333,6.22402513562476,72.7142857142857,2.02702825274229,72.6931216931217,7.65741369098771,71.5869565217391,4.80749454297335
9,TUA1-9,1.079332978,109.894873,0,0,620.65,11.4336127273945,643.311643835617,37.6733727598954,600.765957446809,15.9303173639852,,,19.8135926485062,11.7836267362031,25.6541474392153,13.1579572496091,16.9329008903909,10.9757591242998,38.0338164251208,0.180756395496262,39,0,38.0886075949367,0.295102360173796,38.2110091743119,0.408024879962124,0,0.012645,0,0,4.24319503524087,0.038173575777802,4.90074991609491,0.29016329523406,5.30639558743051,0.392155632350926,4.49689485829905,0.168337739423371,0.0786,0.0029,0.0788,3e-04,0.0729,0.0048,0.0803,0.0014,100,0,0,100,0,0,99.77054826,0.229369337,0,100,0,0,0.865547732,0.010224666,0.866357093,0.009746436,0.868120138,0.009777842,0.863547477,0.007819132,68.4409448818898,9.43160505483282,76.4545454545455,2.79166409686982,70.5028901734104,11.5446478240352,70.3619047619048,8.22206532913986
10,TUA1-10,1.078785975,109.895624,0,0,617.944444444445,9.69233501405458,655.114006514658,33.0679396270635,601.224299065421,23.8297341987971,,,27.6985242366791,10.5588042928755,28.5326473380921,14.9921316302956,16.5318263797002,14.3219873165604,38.0044843049327,0.066814638678791,39,0,38.1586826347305,0.411619484327453,38.0088495575221,0.093654913666186,0,0,0,0,4.34949080840401,0.035408071028642,5.09422371074625,0.189377512377061,5.52276475169314,0.267076609019977,4.64926616136018,0.107577040483858,0.0774,0.004,0.0796,4e-04,0.0705,0.0062,0.0802,0.0018,99.99987161,0,0,100,0,0,99.97055761,0.029347022,0,100,0,0,0.865572893,0.009332272,0.861269142,0.010649305,0.86620709,0.010827624,0.868611367,0.008541297,71.3652173913043,7.07393308567222,72.2608695652174,3.50425072688872,70.4325842696629,10.4116645398365,72.3411764705882,5.350212620682
