species,Indah,Katie
Dryocopus pulverulentus,0,2
Ducula aenea,1,0
Enicrurus frontalis,0,5
Enicrurus ruficapillus,3,0
Erpornis zantholeuca,5,12
Erythropitta granatina,0,1
Eudynamys scolopaceus,0,1
Eupetes macrocerus,9,2
Eurylaimus javanicus,14,22
Eurylaimus ochromalus,65,92
Ficedula dumetoria,2,0
Geokichla interpres,1,0
Gerygone sulphurea,0,1
Gracula religiosa,0,1
Harpactes diardii,17,15
Harpactes duvaucelii,2,8
Harpactes kasumba,12,6
Hemicircus concretus,0,2
Hemiprocne longipennis,0,4
Hemipus hirundinaceus,1,8
Hemipus picatus,0,9
Hierococcyx fugax,2,7
Hydrornis baudii,0,2
Hydrornis schwaneri,0,1
Hypothymis azurea,1,39
Indicator archipelagicus,0,1
Iole charlottae,4,30
Irena puella,11,53
Ixos malaccensis,11,12
Kenopia striata,2,0
Lacedo pulchella,4,12
Lalage fimbriata,8,16
Leptocoma brasiliana,3,0
Leptocoma calcostetha,1,3
Lonchura fuscans,3,0
Loriculus galgulus,0,83
Macronus ptilosus,8,19
Macropygia ruficeps,0,5
Macropygia tenuirostris,0,2
Malacopteron affine,31,40
Malacopteron albogulare,10,1
Malacopteron cinereum,35,27
Malacopteron magnirostre,40,85
Malacopteron magnum,14,20
Meiglyptes tristis,0,1
Meiglyptes tukki,0,4
Merops viridis,0,1
Micropternus brachyurus,6,12
Microtarsus atriceps,33,33
Microtarsus eutilotus,0,15
Microtarsus melanoleucos,1,1
Mixornis gularis,12,1
Motacilla cinerea,0,1
Nisaetus alboniger,3,0
Nisaetus limnaeetus,0,3
Nyctyornis amictus,0,25
Oriolus xanthonotus,42,47
Orthotomus atrogularis,5,12
Orthotomus ruficeps,15,35
Orthotomus sericeus,20,28
Otus lempiji,0,1
Pachyglossa chrysorrhea,0,3
Pachyglossa everetti,0,6
Pelargopsis capensis,0,2
Pellorneum bicolor,29,20
Pellorneum capistratum,2,3
Pellorneum magnirostre,0,1
Pellorneum malaccense,19,4
Pellorneum rostratum,1,6
Pericrocotus flammeus,0,1
Pericrocotus igneus,1,4
Pernis ptilorhynchus,0,1
Phaenicophaeus curvirostris,6,1
Phaenicophaeus diardi,0,1
Phaenicophaeus javanicus,3,2
Philentoma pyrhoptera,11,10
Philentoma velata,2,4
Picoides canicapillus,1,2
Picoides moluccensis,0,1
Picus puniceus,2,1
Platylophus galericulatus,1,1
Platysmurus aterrimus,1,11
Pomatorhinus bornensis,69,93
Prinia flaviventris,9,5
Prionochilus maculatus,0,19
Prionochilus percussus,1,21
Prionochilus thoracicus,1,18
Prionochilus xanthopygius,2,24
Psilopogon australis,143,198
Psilopogon chrysopogon,125,194
Psilopogon eximius,1,1
Psilopogon henricii,75,71
Psilopogon mystacophanos,95,153
Psilopogon rafflesii,5,0
Psittacula longicauda,0,1
Pteruthius aeralatus,0,1
Ptilocichla leucogrammica,2,4
Pycnonotus analis,1,2
Pycnonotus brunneus,19,24
Pycnonotus cyaniventris,2,9
Pycnonotus erythropthalmos,64,149
Pycnonotus eutilotus,1,1
Pycnonotus plumosus,4,8
Pycnonotus simplex,1,18
Pycnonotus squamatus,0,1
Rhaphidura leucopygialis,1,0
Rhinoplax vigil,37,37
Rhinortha chlorophaea,5,27
Rhipidura javanica,1,0
Rhipidura perlata,22,41
Rhyticeros undulatus,18,18
Rollulus rouloul,0,2
Sasia abnormis,0,1
Seicercus borealis,0,1
Sitta frontalis,0,2
Spilornis cheela,6,14
Spilornis kinabaluensis,1,0
Stachyris leucotis,3,1
Stachyris maculata,21,72
Stachyris nigriceps,3,6
Stachyris nigricollis,0,7
Stachyris poliocephala,3,2
Staphida everetti,1,10
Surniculus lugubris,7,18
Tephrodornis virgatus,2,2
Terpsiphone affinis,11,20
Treron capellei,0,1
Treron curvirostra,20,15
Treron olax,1,0
Treron vernans,0,1
Tricholestes criniger,0,3
Turdinus abbotti,3,0
Turdinus sepiarius,38,28
unk,95,291
Zosterops auriventer,0,6
