covnames,sum.wgt,ER
und,1.0003,-3334.3333333337
water,1.0003,-3334.3333333337
ele,1.0003,-3334.3333333337
height100,0,0
height500,0,0
disturb100,0.4763,0.909490166125644
disturb500,0.524,1.10084033613445
distRoad,0,0
forest100,0.5368,1.15889464594128
forest1500,0.1483,0.174122343548198
forest500,0.3152,0.460280373831776
forest1000,0.284,0.396648044692737
ndvi100,0.4379,0.779042874933286
ndvi500,0.5624,1.28519195612431
