und,water,ele,height100,height500,disturb100,disturb500,distRoad,forest100,forest1500,forest500,forest1000,ndvi100,ndvi500
0.666666666666667,0.166666666666667,0.488807275491943,1,0.98771296684851,0,0,0.579147381334939,0.75728081401948,1,0.699251126337395,0.9834758525,0.99671721121659,0.675592859111924
0.666666666666667,0,0.528289019195286,1,0.986132859232185,0.21739130793102,0,0.626771275247227,0.730278636434214,1,0.617383403800082,0.9016686577,0.776721807735545,0.156612762250547
0.666666666666667,0.166666666666667,0.622697179205125,0.974358974358974,0.957202947727398,0.0434782621966742,0.0800000009370312,0.672944045441131,0.612504536751984,1,0.520787916546745,0.7797605987,0.731893889427783,0.56343917419039
0.666666666666667,0,0.696379712958467,0.974358974358974,0.928751543757838,0,0.133333334895052,0.694586737934871,0.694138806806772,1,0.55762638611269,0.914086553,0.453142651540479,0.743843094245167
0.666666666666667,0,0.680724770746481,1,0.934249051611189,0,0.0400000004685156,0.688022815750118,0.88468293459507,1,0.690809894081679,1,0.709137040666778,0.689931589409015
0.666666666666667,0,0.545615167294133,1,0.936359469317925,0,0,0.662250543328376,0.955244972108786,1,0.790518286819306,1,0,0.873438647675337
0.666666666666667,0,0.418962148700002,0.964835164871795,0.936359469317925,0,0,0.658450217490607,0.999965954444789,1,0.891433020541397,1,0.14544992324277,0.84784006488626
1,0,0.535710000770388,1,0.962036218083218,0.347826091468692,0,0.542683591186896,0.688314351752984,1,0.679022724970372,0.9292580637,0.770579673629462,0.545660318260166
0.666666666666667,0,0.721447460931352,0.974358974358974,0.962036218083218,0.521739137203039,0,0.542460930775793,0.564920176150867,1,0.599584285263728,0.6006635312,0.824077262394024,0.304561920897675
0.666666666666667,0.166666666666667,0.777662289769376,0.974358974358974,0.962036218083218,0,0.0133333334895052,0.490368361081993,0.605918233435074,0.5215892555,0.640408697978786,0.5733482858,0.816075045778924,0.58827975515627
0.666666666666667,0,0.698107750732816,0.974358974358974,0.969618613691761,0,0,0.445950193900587,0.71713982241925,0.7305344772,0.708102080861549,0.6170668267,0.933581666153397,0.295045022966255
0.666666666666667,0,0.648681689649903,0.988278388205128,0.98771296684851,0,0,0.423520168559385,0.794355760862164,0.3900472603,0.767958237746644,0.761586874,0.924806748727578,0.66380778611409
0.666666666666667,0,0.462158592960339,1,,0,,0.417220113607361,0.847287565898103,1,0.82564140132857,0.879897506,,0.792904316324552
1,0.166666666666667,0.376319036535326,0.948717948717949,0.936359469317925,0,0,0.694627601217183,0.999999320511972,1,0.975763652104916,1,0.505276849364683,0.842775114590151
0.666666666666667,0.5,0.35054306217175,0.948717948717949,0.943771314322339,0,0.173333335363568,0.748989419739865,0.999999567137293,1,0.997772409834456,1,0.618109897282055,0.700496408432115
0.666666666666667,0.166666666666667,0.329776499130472,0.964835164871795,0.979474437832909,0,0.066666667447526,0.803324904462512,0.998726260649986,1,0.994069599010049,1,0.818129706681861,0.854560039357395
1,0,0.337684972007138,1,0.98619761774105,0.0434782621966742,0.106666667916042,0.860007019710576,0.999047429557488,1,0.997225520186439,1,0.876961336293182,0.735326209278982
0.666666666666667,0.333333333333333,0.284712677686236,1,1,0,0.146666656671667,0.915645116631257,0.99904697800917,1,0.997408499822708,1,0.894781140563714,0.763200833237741
0.666666666666667,0,0.241433186155967,1,0.985536971190435,0,0,0.945212420802887,0.995802158355174,1,0.995723920810107,1,0.979735470540012,0.859996168931011
0.666666666666667,0,0.197524908153355,1,0.987791972229327,0,0.0133333334895052,1,0.999327341129998,1,0.996170400174126,1,0.976514338284715,0.821988758824562
0.666666666666667,0,0.20465036391352,0.974358974358974,0.962036218083218,0,0,0.429974880877424,0.96087179699927,1,0.890060691034585,1,0.851828892389394,0.730464927812494
0.666666666666667,0,0.240332216634583,0.926282051282051,0.807975725491462,0,0,0.481107783233177,0.996149626085138,1,0.862409405766932,1,1,0.781262503250203
0.666666666666667,0,0.285699753808856,0.82051282051282,0.838543283545382,0,0,0.529040153626385,0.959064649276488,1,0.820662657362945,1,0.957114136498189,0.862311708611707
0.666666666666667,0,0.347668440242533,0.82051282051282,0.542960554901806,0,0,0.572295995274129,0.849434210514511,1,0.676298415278045,0.9877938797,0.978422952908132,0.909216313966143
0.666666666666667,0,0.468683735597853,0.753984754102564,0.0349704468731789,0,0,0.607780255403075,0.696856415647442,1,0.518511705910599,0.7970078114,0.936236503978921,0.847098911940041
