ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,0.855313959,110.087282,440.367493,2017-09-27T22:15:43Z,,,TTA1-1,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-27T22:15:43Z
2,0.85784303,110.086427,473.091644,2017-09-27T22:52:39Z,,,TTA1-2,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-27T22:52:39Z
3,0.860539991,110.085967,527.051514,2017-09-27T23:28:59Z,,,TTA1-3,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-27T23:28:59Z
4,0.860454999,110.084601,557.719055,2017-09-28T00:20:31Z,,,TTA1-4,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-28T00:20:31Z
5,0.858204961,110.083065,564.990479,2017-09-28T00:59:35Z,,,TTA1-5,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-28T00:59:35Z
6,0.855592992,110.082755,511.336456,2017-09-28T01:36:10Z,,,TTA1-6,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-28T01:36:10Z
7,0.853640009,110.081706,451.706543,2017-09-28T02:11:47Z,,,TTA1-7,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-28T02:11:47Z
8,0.855318988,110.089445,467.468445,2017-09-28T22:19:05Z,,,TTA2-1,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-28T22:19:05Z
9,0.857423013,110.091258,607.148376,2017-09-28T23:19:17Z,,,TTA2-2,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-28T23:19:17Z
10,0.85643596,110.093628,706.059631,2017-09-29T00:11:29Z,,,TTA2-3,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-29T00:11:29Z
11,0.853803037,110.094057,700.034302,2017-09-29T01:09:21Z,,,TTA2-4,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-29T01:09:21Z
12,0.85121898,110.093265,582.102905,2017-09-29T02:03:33Z,,,TTA2-5,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-29T02:03:33Z
13,0.848912029,110.091974,448.519684,2017-09-29T02:44:51Z,,,TTA2-6,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-29T02:44:51Z
14,0.852628984,110.079176,335.703064,2017-09-29T23:03:03Z,,,TTA3-1,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-29T23:03:03Z
15,0.853151008,110.076572,321.08255,2017-09-29T23:37:49Z,,,TTA3-2,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-29T23:37:49Z
16,0.853672028,110.073854,315.407623,2017-09-30T00:10:02Z,,,TTA3-3,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-30T00:10:02Z
17,0.855341032,110.071821,311.601013,2017-09-30T00:43:48Z,,,TTA3-4,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-30T00:43:48Z
18,0.856093979,110.069173,280.662384,2017-09-30T01:26:29Z,,,TTA3-5,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-30T01:26:29Z
19,0.854894025,110.066775,268.863861,2017-09-30T02:06:18Z,,,TTA3-6,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-30T02:06:18Z
20,0.855630962,110.06417,238.126816,2017-09-30T02:41:28Z,,,TTA3-7,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-09-30T02:41:28Z
21,0.874576997,110.109938,272.484436,2017-10-02T22:24:09Z,,,TTA5-1,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-10-02T22:24:09Z
22,0.874840021,110.10717,290.028442,2017-10-02T22:52:04Z,,,TTA5-2,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-10-02T22:52:04Z
23,0.874743965,110.104452,342.948059,2017-10-02T23:20:49Z,,,TTA5-3,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-10-02T23:20:49Z
24,0.874224035,110.101751,383.394775,2017-10-02T23:48:09Z,,,TTA5-4,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-10-02T23:48:09Z
25,0.873079989,110.09928,435.442596,2017-10-03T00:16:34Z,,,TTA5-5,,,,Upland Game,user,,,,,,,,,,,SymbolAndName,,,2017-10-03T00:16:34Z
