OBJECTID,OBJECTID_1,Undisturbed_Pixel_area,Disturbed_Area_sq_m,Area_disturbed_km,Percent_disturbed (km)
60,TUB3-6,75974.69821,0,0,0
61,TUB3-7,33965.1592,0,0,0
62,TUB3-8,126028.617,0,0,0
63,TUB3-9,94744.91777,0,0,0
64,TUB3-10,149267.9365,0,0,0
65,TUB3-11,111727.4974,0,0,0
66,TUB3-12,124240.9771,0,0,0
67,TDA1-1,7062965.474,6256.739853,0.0062567,0.0885148
68,TDA1-2,311049.3527,0,0,0
69,TDA1-3,292279.1331,893.819979,0.0008938,0.012645
70,TDA1-4,279765.6534,0,0,0
71,TDA1-5,337863.9521,1787.639958,0.0017876,0.0252899
72,TDA1-6,311943.1727,0,0,0
73,TDA1-7,300323.5129,0,0,0
74,TDA1-8,304792.6128,893.819979,0.0008938,0.012645
75,TDA1-9,256526.334,0,0,0
76,TDA1-10,278871.8334,0,0,0
77,TDA1-11,307474.0728,1787.639958,0.0017876,0.0252899
78,TDB1-1,1116381.154,13407.29968,0.0134073,0.1896745
79,TDB1-2,313730.8126,2681.459937,0.0026815,0.0379349
80,TDB1-3,287810.0332,27708.41935,0.0277084,0.391994
81,TDB1-4,289597.6732,16088.75962,0.0160888,0.2276094
82,TDB1-5,175188.7159,1787.639958,0.0017876,0.0252899
83,TDB1-6,126922.437,0,0,0
84,TDB1-7,152843.2164,0,0,0
85,TDB1-8,36646.61914,0,0,0
86,TDB1-9,77762.33817,0,0,0
87,TDB1-10,126922.437,0,0,0
88,TDA2-1,299429.693,0,0,0
89,TDA2-2,286022.3933,1787.639958,0.0017876,0.0252899
90,TDA2-3,283340.9333,0,0,0
91,TDA2-4,252057.2341,0,0,0
92,TDA2-5,301217.3329,2681.459937,0.0026815,0.0379349
93,TDA2-6,312836.9926,0,0,0
94,TDA2-7,320881.3725,1787.639958,0.0017876,0.0252899
95,TDA2-8,287810.0332,0,0,0
96,TDA2-9,117984.2372,0,0,0
97,TDA2-10,207366.2351,0,0,0
98,TDB2-1,423670.67,0,0,0
99,TDB2-2,190383.6555,0,0,0
100,TDB2-3,143011.1966,893.819979,0.0008938,0.012645
101,TDB2-4,179657.8158,0,0,0
102,TDB2-5,263676.8938,0,0,0
103,TDB2-6,274402.7335,0,0,0
104,TDB2-7,311943.1727,0,0,0
105,TDB2-8,298535.873,0,0,0
106,TDB2-9,281553.2934,0,0,0
107,TDB2-10,294066.7731,0,0,0
108,TDA3-1,138542.0967,0,0,0
109,TDA3-2,195746.5754,893.819979,0.0008938,0.012645
110,TDA3-3,218092.0749,8938.19979,0.0089382,0.1264497
111,TDA3-4,187702.1956,29496.05931,0.0294961,0.4172839
112,TDA3-5,202897.1352,35752.79916,0.0357528,0.5057986
113,TDA3-6,247588.1342,29496.05931,0.0294961,0.4172839
114,TDA3-7,260101.6139,30389.87929,0.0303899,0.4299288
115,TDA3-8,256526.334,37540.43912,0.0375404,0.5310886
116,TDA3-9,211835.335,25026.95941,0.025027,0.3540591
117,TSA1-1,7064753.114,3575.279916,0.0035753,0.0505799
118,TSA1-2,309261.7127,893.819979,0.0008938,0.012645
119,TSA1-3,305686.4328,2681.459937,0.0026815,0.0379349
120,TSA1-4,301217.3329,893.819979,0.0008938,0.012645
121,TSA1-5,302111.1529,1787.639958,0.0017876,0.0252899
122,TSA1-6,277978.0135,6256.739853,0.0062567,0.0885148
123,TSA1-7,319093.7325,893.819979,0.0008938,0.012645
124,TSA1-8,335182.4921,893.819979,0.0008938,0.012645
125,TSA1-9,292279.1331,2681.459937,0.0026815,0.0379349
126,TSA1-10,292279.1331,0,0,0
127,TSA1-11,279765.6534,893.819979,0.0008938,0.012645
128,TSA1-12,303004.9729,0,0,0
129,TSB1-1,1318384.469,25920.77939,0.0259208,0.366704
130,TSB1-2,274402.7335,16088.75962,0.0160888,0.2276094
131,TSB1-3,302111.1529,6256.739853,0.0062567,0.0885148
132,TSB1-4,292279.1331,3575.279916,0.0035753,0.0505799
133,TSB1-5,286022.3933,15194.93964,0.0151949,0.2149644
134,TSB1-6,299429.693,16088.75962,0.0160888,0.2276094
135,TSB1-7,284234.7533,16088.75962,0.0160888,0.2276094
136,TSB1-8,286022.3933,24133.13943,0.0241331,0.3414141
137,TSB1-9,262783.0738,17876.39958,0.0178764,0.2528993
138,TSB1-10,286916.2133,10725.83975,0.0107258,0.1517396
139,TSB1-11,294960.5931,8044.379811,0.0080444,0.1138047
140,TSB1-12,269933.6337,33071.33922,0.0330713,0.4678637
141,TSB1-13,269933.6337,30389.87929,0.0303899,0.4299288
142,TSB1-14,276190.3735,30389.87929,0.0303899,0.4299288
143,TSB1-15,284234.7533,22345.49947,0.0223455,0.3161242
144,TSA2-1,366466.1914,893.819979,0.0008938,0.012645
145,TSA2-2,319093.7325,0,0,0
146,TSA2-3,300323.5129,0,0,0
147,TSA2-4,306580.2528,0,0,0
148,TSA2-5,303898.7929,893.819979,0.0008938,0.012645
149,TSA2-6,285128.5733,3575.279916,0.0035753,0.0505799
150,TSA2-7,306580.2528,1787.639958,0.0017876,0.0252899
151,TSA2-8,333394.8522,893.819979,0.0008938,0.012645
152,TSA2-9,280659.4734,5362.919874,0.0053629,0.0758698
153,TSA2-10,289597.6732,0,0,0
154,TSB2-1,592602.6461,2681.459937,0.0026815,0.0379349
155,TSB2-2,223454.9947,893.819979,0.0008938,0.012645
156,TSB2-3,252951.0541,0,0,0
157,TSB2-4,202897.1352,0,0,0
158,TSB2-5,262783.0738,0,0,0
159,TSB2-6,213622.975,8044.379811,0.0080444,0.1138047
160,TSB2-7,244012.8543,32177.51924,0.0321775,0.4552188
161,TSB2-8,246694.3142,31283.69926,0.0312837,0.4425738
162,TSB2-9,284234.7533,9832.019769,0.009832,0.1390946
163,TSA3-1,30389.87929,0,0,0
164,TSA3-2,50053.91882,0,0,0
165,TSA3-3,51841.55878,0,0,0
166,TSA3-4,75974.69821,0,0,0
167,TSA3-5,106364.5775,893.819979,0.0008938,0.012645
168,TSA3-6,133179.1769,893.819979,0.0008938,0.012645
169,TSA3-7,143011.1966,893.819979,0.0008938,0.012645
170,TSB3-1,19664.03954,0,0,0
171,TSB3-2,58992.11861,0,0,0
172,TSB3-3,65248.85847,0,0,0
173,TSB3-4,16088.75962,0,0,0
174,TSB3-5,49160.09884,0,0,0
175,TSB3-6,150161.7565,1787.639958,0.0017876,0.0252899
176,TSB3-7,150161.7565,2681.459937,0.0026815,0.0379349
177,TSB3-8,118878.0572,2681.459937,0.0026815,0.0379349
178,TSB3-9,101001.6576,0,0,0
179,TSB3-10,142117.3767,0,0,0
180,TDB4-7,1692001.22,0,0,0
181,TDB4-6,4469.099895,0,0,0
182,TDB4-5,3575.279916,0,0,0
183,TDB4-4,893.819979,0,0,0
184,TDB4-3,3575.279916,0,0,0
185,TDB4-2,893.819979,0,0,0
186,TDA4-11,2837878.433,0,0,0
187,TDA4-12,289597.6732,0,0,0
188,TDA4-13,286916.2133,0,0,0
189,TDA4-14,280659.4734,0,0,0
190,TDA4-15,285128.5733,0,0,0
191,TD5-1,6553488.086,38434.2591,0.0384343,0.5437335
192,TD5-2,187702.1956,0,0,0
193,TD5-3,134966.8168,0,0,0
194,TD5-4,118878.0572,1787.639958,0.0017876,0.0252899
195,TD5-5,89381.9979,893.819979,0.0008938,0.012645
196,TD5-6,79549.97813,0,0,0
197,TD5-7,75080.87823,0,0,0
198,TD5-8,65248.85847,0,0,0
199,TD5-9,50947.7388,0,0,0
200,TD5-10,53629.19874,0,0,0
201,TD5-11,67930.3184,0,0,0
202,TD5-12,42009.53901,0,0,0
203,TD5-13,34858.97918,0,0,0
204,TDA4-2,5362.919874,0,0,0
205,TDA4-3,28602.23933,0,0,0
206,TDA4-4,25026.95941,0,0,0
207,TDA4-5,58098.29863,893.819979,0.0008938,0.012645
208,TDA4-6,100107.8376,0,0,0
209,TDA4-7,1787.639958,0,0,0
210,TDA4-8,9832.019769,0,0,0
211,TDA4-9,8044.379811,0,0,0
212,TDA4-10,1787.639958,0,0,0
213,TD6-1,344120.6919,893.819979,0.0008938,0.012645
214,TD6-2,298535.873,1787.639958,0.0017876,0.0252899
215,TD6-3,303004.9729,893.819979,0.0008938,0.012645
216,TD6-4,288703.8532,1787.639958,0.0017876,0.0252899
217,TD6-5,288703.8532,1787.639958,0.0017876,0.0252899
218,TD6-6,303898.7929,2681.459937,0.0026815,0.0379349
219,TD6-7,265464.5338,0,0,0
220,TD6-8,178763.9958,0,0,0
221,TD6-9,239543.7544,0,0,0
222,TD6-10,298535.873,0,0,0
223,TTB1-1,6906546.978,157312.3163,0.1573123,2.2255137
224,TTB1-2,984095.7969,26814.59937,0.0268146,0.379349
225,TTB1-3,397749.8906,893.819979,0.0008938,0.012645
226,TTB1-4,706117.7834,0,0,0
227,TTB1-5,560425.1268,1787.639958,0.0017876,0.0252899
228,TTB2-1,2045060.112,4469.099895,0.0044691,0.0632248
229,TTB2-2,939404.7979,1787.639958,0.0017876,0.0252899
230,TTB2-3,974263.7771,12513.47971,0.0125135,0.1770295
231,TTB2-4,919740.7584,19664.03954,0.019664,0.2781893
232,TTB2-5,968007.0372,18770.21956,0.0187702,0.2655443
233,TTB2-6,1012698.036,3575.279916,0.0035753,0.0505799
234,TTB2-7,951918.2776,893.819979,0.0008938,0.012645
235,TTB2-8,769579.0019,4469.099895,0.0044691,0.0632248
236,TTB3-1,249375.7741,7150.559832,0.0071506,0.1011597
237,TTB3-2,433502.6898,8938.19979,0.0089382,0.1264497
238,TTB3-3,529141.4276,6256.739853,0.0062567,0.0885148
239,TTB3-4,401325.1706,0,0,0
240,TTB3-5,485344.2486,0,0,0
241,TTB3-6,307474.0728,0,0,0
242,TTB3-7,318199.9125,0,0,0
243,TTB3-8,20557.85952,0,0,0
244,TTB4-1,114408.9573,0,0,0
245,TTB4-2,500539.1882,0,0,0
246,TTB4-3,1258498.53,11619.65973,0.0116197,0.1643846
247,TTB4-4,820526.7407,47372.45889,0.0473725,0.6701832
248,TTB4-5,909014.9186,50947.7388,0.0509477,0.7207631
249,TTB4-6,883094.1392,36646.61914,0.0366466,0.5184436
250,TTB4-7,953705.9176,33071.33922,0.0330713,0.4678637
251,TTB4-8,940298.6179,31283.69926,0.0312837,0.4425738
252,TTB4-9,936723.338,77762.33817,0.0777623,1.1001121
253,TTB5-1,6617843.124,148374.1165,0.1483741,2.0990641
254,TTB5-2,838403.1403,0,0,0
255,TTB5-3,775835.7418,0,0,0
256,TTB5-4,841978.4202,893.819979,0.0008938,0.012645
257,TTB5-5,902758.1788,10725.83975,0.0107258,0.1517396
258,TTB5-6,795499.7813,21451.6795,0.0214517,0.3034792
259,TTB5-7,598859.3859,72399.4183,0.0723994,1.0242423
260,TTB5-8,608691.4057,18770.21956,0.0187702,0.2655443
261,TTB5-9,744552.0425,14301.11966,0.0143011,0.2023195
262,TTB5-10,834827.8604,7150.559832,0.0071506,0.1011597
263,TTB6-1,880412.6793,20557.85952,0.0205579,0.2908342
264,TTB6-2,946555.3577,20557.85952,0.0205579,0.2908342
265,TTB6-3,971582.3171,16088.75962,0.0160888,0.2276094
266,TTB6-4,962644.1174,7150.559832,0.0071506,0.1011597
267,TTB6-5,956387.3775,32177.51924,0.0321775,0.4552188
268,TTB6-6,944767.7178,49160.09884,0.0491601,0.6954731
269,TTB6-7,905439.6387,67036.49842,0.0670365,0.9483725
270,TTB6-8,876837.3994,74187.05826,0.0741871,1.0495322
271,TTB6-9,924209.8583,42009.53901,0.0420095,0.5943134
272,TTB7-1,2276559.486,0,0,0
273,TTB7-2,592602.6461,4469.099895,0.0044691,0.0632248
274,TTB7-3,831252.5805,11619.65973,0.0116197,0.1643846
275,TTB7-4,435290.3298,32177.51924,0.0321775,0.4552188
276,TTB7-5,747233.5024,44690.99895,0.044691,0.6322483
277,TTB7-6,886669.4191,23239.31945,0.0232393,0.3287691
278,TTB7-7,839296.9603,33071.33922,0.0330713,0.4678637
279,TTB7-8,580089.1664,45584.81893,0.0455848,0.6448933
280,TTB7-9,815163.8208,27708.41935,0.0277084,0.391994
281,TTB8-1,233287.0145,0,0,0
282,TTB8-2,14301.11966,0,0,0
283,TTB8-3,14301.11966,0,0,0
284,TTB8-4,188596.0156,0,0,0
285,TTB8-5,131391.5369,0,0,0
286,TTB8-6,118878.0572,0,0,0
287,TTB8-7,89381.9979,0,0,0
288,TTB8-8,100107.8376,893.819979,0.0008938,0.012645
289,TTB8-9,113515.1373,16088.75962,0.0160888,0.2276094
290,TTA1-3,100107.8376,893.819979,0.0008938,0.012645
291,TTA1-4,126028.617,0,0,0
292,TTA1-5,12513.47971,0,0,0
293,TTA3-2,69717.95836,0,0,0
294,TTA3-3,270827.4536,6256.739853,0.0062567,0.0885148
295,TTA3-4,575620.0665,4469.099895,0.0044691,0.0632248
296,TTA3-5,676621.7241,893.819979,0.0008938,0.012645
297,TTA3-6,443334.7096,2681.459937,0.0026815,0.0379349
298,TTA3-7,778517.2017,2681.459937,0.0026815,0.0379349
299,TTA6-1,311049.3527,0,0,0
300,TTA6-2,374510.5712,0,0,0
301,TTA6-3,733826.2027,0,0,0
302,TTA6-4,849128.98,0,0,0
303,TTA6-5,925997.4982,0,0,0
304,TTA6-6,870580.6595,0,0,0
305,TTA6-7,931360.4181,0,0,0
306,TTA6-8,874155.9394,0,0,0
307,TTA6-9,913484.0185,0,0,0
308,TTA6-10,954599.7375,0,0,0
309,TTA7-3,24133.13943,0,0,0
310,TTA7-4,134072.9968,0,0,0
311,TTA7-5,238649.9344,0,0,0
312,TTA7-6,277978.0135,0,0,0
313,TTA7-7,411157.1903,0,0,0
314,TTA7-8,462998.7491,0,0,0
315,TTA7-9,384342.591,0,0,0
316,TTA7-10,382554.951,0,0,0
