OBJECTID,OBJECTID_1,Undisturbed_Pixel_area,Disturbed_Area_sq_m,Area_disturbed_km,Percent_disturbed (km)
1,TUA1-1,7056708.734,13407.29968,0.0134073,0.1896745
2,TUA1-2,240437.5743,893.819979,0.0008938,0.012645
3,TUA1-3,298535.873,0,0,0
4,TUA1-4,302111.1529,893.819979,0.0008938,0.012645
5,TUA1-5,335182.4921,0,0,0
6,TUA1-6,328925.7523,0,0,0
7,TUA1-7,306580.2528,0,0,0
8,TUA1-8,289597.6732,0,0,0
9,TUA1-9,283340.9333,893.819979,0.0008938,0.012645
10,TUA1-10,299429.693,0,0,0
11,TUA1-11,299429.693,0,0,0
12,TUA1-12,319093.7325,0,0,0
13,TUB1-1,58098.29863,2681.459937,0.0026815,0.0379349
14,TUB1-2,456742.0093,20557.85952,0.0205579,0.2908342
15,TUB1-3,289597.6732,6256.739853,0.0062567,0.0885148
16,TUB1-4,260995.4339,4469.099895,0.0044691,0.0632248
17,TUB1-5,286022.3933,1787.639958,0.0017876,0.0252899
18,TUB1-6,295854.413,8044.379811,0.0080444,0.1138047
19,TUB1-7,260101.6139,22345.49947,0.0223455,0.3161242
20,TUB1-8,271721.2736,19664.03954,0.019664,0.2781893
21,TUB1-9,263676.8938,24133.13943,0.0241331,0.3414141
22,TUB1-10,269039.8137,20557.85952,0.0205579,0.2908342
23,TUB1-11,262783.0738,33965.1592,0.0339652,0.4805087
24,TUB1-12,279765.6534,22345.49947,0.0223455,0.3161242
25,TUB1-13,284234.7533,11619.65973,0.0116197,0.1643846
26,TUA2-1,172507.2559,0,0,0
27,TUA2-2,37540.43912,0,0,0
28,TUA2-3,50053.91882,0,0,0
29,TUA2-4,146586.4766,0,0,0
30,TUA2-5,150161.7565,0,0,0
31,TUA2-6,230605.5546,0,0,0
32,TUA2-7,223454.9947,0,0,0
33,TUA2-8,258313.9739,0,0,0
34,TUA2-9,235074.6545,0,0,0
35,TUA2-10,234180.8345,0,0,0
36,TUA2-11,144798.8366,0,0,0
37,TUA2-12,197534.2154,0,0,0
38,TUB2-1,23239.31945,0,0,0
39,TUB2-2,92957.27781,0,0,0
40,TUB2-3,147480.2965,0,0,0
41,TUB2-4,172507.2559,0,0,0
42,TUB2-5,198428.0353,0,0,0
43,TUB2-6,113515.1373,0,0,0
44,TUB2-7,41115.71903,0,0,0
45,TUB2-8,58098.29863,0,0,0
46,TUA3-1,193065.1155,0,0,0
47,TUA3-2,254738.694,0,0,0
48,TUA3-3,259207.7939,0,0,0
49,TUA3-4,252057.2341,0,0,0
50,TUA3-5,274402.7335,0,0,0
51,TUA3-6,319093.7325,0,0,0
52,TUA3-7,283340.9333,0,0,0
53,TUA3-8,277978.0135,0,0,0
54,TUA3-9,310155.5327,0,0,0
55,TUA3-10,308367.8927,0,0,0
56,TUA3-11,326244.2923,0,0,0
57,TUB3-3,19664.03954,0,0,0
58,TUB3-4,37540.43912,0,0,0
59,TUB3-5,73293.23828,0,0,0
