OBJECTID,OBJECTID_1,VALUE_0,VALUE_1,Area_Km,Percentage
1,TUA1-1,31283.699264250761189,0.000000000000000,0.0000000,0.0000000
2,TUA1-2,14301.119663657491401,0.000000000000000,0.0000000,0.0000000
3,TUA1-3,17876.399579571865615,0.000000000000000,0.0000000,0.0000000
4,TUA1-4,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
5,TUA1-5,22345.499474464832019,0.000000000000000,0.0000000,0.0000000
6,TUA1-6,22345.499474464832019,0.000000000000000,0.0000000,0.0000000
7,TUA1-7,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
8,TUA1-8,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
9,TUA1-9,17876.399579571865615,0.000000000000000,0.0000000,0.0000000
10,TUA1-10,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
11,TUA1-11,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
12,TUA1-12,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
13,TUB1-1,5362.919873871559503,0.000000000000000,0.0000000,0.0000000
14,TUB1-2,27708.419348336388794,0.000000000000000,0.0000000,0.0000000
15,TUB1-3,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
16,TUB1-4,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
17,TUB1-5,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
18,TUB1-6,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
19,TUB1-7,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
20,TUB1-8,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
21,TUB1-9,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
22,TUB1-10,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
23,TUB1-11,21451.679495486238011,0.000000000000000,0.0000000,0.0000000
24,TUB1-12,17876.399579571865615,893.819978978593213,0.0008938,2.8488379
25,TUB1-13,15194.939642636085409,893.819978978593213,0.0008938,2.8488379
26,TUA2-1,23239.319453443422390,0.000000000000000,0.0000000,0.0000000
27,TUA2-2,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
28,TUA2-3,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
29,TUA2-4,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
30,TUA2-5,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
31,TUA2-6,21451.679495486238011,0.000000000000000,0.0000000,0.0000000
32,TUA2-7,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
33,TUA2-8,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
34,TUA2-9,17876.399579571865615,0.000000000000000,0.0000000,0.0000000
35,TUA2-10,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
36,TUA2-11,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
37,TUA2-12,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
38,TUB2-1,10725.839747743119005,0.000000000000000,0.0000000,0.0000000
39,TUB2-2,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
40,TUB2-3,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
41,TUB2-4,16982.579600593271607,0.000000000000000,0.0000000,0.0000000
42,TUB2-5,21451.679495486238011,0.000000000000000,0.0000000,0.0000000
43,TUB2-6,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
44,TUB2-7,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
45,TUB2-8,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
46,TUA3-1,17876.399579571865615,0.000000000000000,0.0000000,0.0000000
47,TUA3-2,21451.679495486238011,0.000000000000000,0.0000000,0.0000000
48,TUA3-3,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
49,TUA3-4,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
50,TUA3-5,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
51,TUA3-6,23239.319453443422390,0.000000000000000,0.0000000,0.0000000
52,TUA3-7,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
53,TUA3-8,17876.399579571865615,893.819978978593213,0.0008938,2.8488379
54,TUA3-9,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
55,TUA3-10,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
56,TUA3-11,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
57,TUB3-1,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
58,TUB3-2,21451.679495486238011,0.000000000000000,0.0000000,0.0000000
59,TUB3-3,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
60,TUB3-4,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
61,TUB3-5,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
62,TUB3-6,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
63,TUB3-7,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
64,TUB3-8,20557.859516507644003,0.000000000000000,0.0000000,0.0000000
65,TUB3-9,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
66,TUB3-10,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
67,TUB3-11,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
68,TUB3-12,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
69,TDA1-1,33071.339222207949206,0.000000000000000,0.0000000,0.0000000
70,TDA1-2,19664.039537529049994,0.000000000000000,0.0000000,0.0000000
71,TDA1-3,18770.219558550455986,0.000000000000000,0.0000000,0.0000000
