OBJECTID,OBJECTID_1,Undisturbed_Pixel_area,Disturbed_Area_sq_m,Area_disturbed_km,Percent_disturbed (km)
327,TTA6-8,295854.413,0,0,0
328,TTA6-9,304792.6128,0,0,0
329,TTA6-10,311943.1727,0,0,0
330,TTA7-1,59885.93859,8938.19979,0.0089382,1.138347
331,TTA7-2,91169.63786,1787.639958,0.0017876,0.2276694
332,TTA7-3,226136.4547,8044.379811,0.0080444,1.0245123
333,TTA7-4,284234.7533,0,0,0
334,TTA7-5,287810.0332,0,0,0
335,TTA7-6,298535.873,0,0,0
336,TTA7-7,295854.413,0,0,0
337,TTA7-8,294066.7731,0,0,0
338,TTA7-9,304792.6128,0,0,0
339,TTA7-10,291385.3131,893.819979,0.0008938,0.1138347
