Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,5237,4681840.856915269047022,13.000000000000000,88.000000000000000,75.000000000000000,71.684743173572656,6.236882526008046,375413.000000000000000
2,TUA1-2,2,175,156448.758823786920402,37.000000000000000,87.000000000000000,50.000000000000000,71.034285714285716,6.473592195865237,12431.000000000000000
3,TUA1-3,3,229,204724.375832269754028,30.000000000000000,88.000000000000000,58.000000000000000,70.925764192139738,8.078149403078404,16242.000000000000000
4,TUA1-4,4,201,179692.574420463846764,42.000000000000000,88.000000000000000,46.000000000000000,71.024875621890544,6.838170459507924,14276.000000000000000
5,TUA1-5,5,230,205618.368739834229928,32.000000000000000,87.000000000000000,55.000000000000000,72.786956521739128,5.705283923722257,16741.000000000000000
6,TUA1-6,6,211,188632.503496108809486,53.000000000000000,86.000000000000000,33.000000000000000,73.336492890995260,4.157508484623090,15474.000000000000000
7,TUA1-7,7,194,173434.624067512369948,52.000000000000000,82.000000000000000,30.000000000000000,73.396907216494839,4.599662775811422,14239.000000000000000
8,TUA1-8,8,189,168964.659529689874034,26.000000000000000,88.000000000000000,62.000000000000000,72.693121693121697,7.657413690987712,13739.000000000000000
9,TUA1-9,9,173,154660.773008657939499,7.000000000000000,86.000000000000000,79.000000000000000,70.502890173410407,11.544647824035223,12197.000000000000000
10,TUA1-10,10,178,159130.737546480406309,24.000000000000000,87.000000000000000,63.000000000000000,70.432584269662925,10.411664539836535,12537.000000000000000
11,TUA1-11,11,152,135886.921949803509051,7.000000000000000,87.000000000000000,80.000000000000000,70.769736842105260,12.217583529453323,10757.000000000000000
12,TUA1-12,12,164,146614.836840577452676,32.000000000000000,82.000000000000000,50.000000000000000,71.865853658536579,6.731364872873494,11786.000000000000000
13,TUB1-1,13,53,47381.624100918328622,36.000000000000000,87.000000000000000,51.000000000000000,72.132075471698116,7.750928698705567,3823.000000000000000
14,TUB1-2,14,408,364749.106286314665340,15.000000000000000,87.000000000000000,72.000000000000000,69.169117647058826,10.133584581793100,28221.000000000000000
15,TUB1-3,15,261,233332.148874333652202,25.000000000000000,81.000000000000000,56.000000000000000,70.436781609195407,9.147201254557901,18384.000000000000000
16,TUB1-4,16,206,184162.538958286313573,35.000000000000000,81.000000000000000,46.000000000000000,70.830097087378647,6.929973380795542,14591.000000000000000
17,TUB1-5,17,230,205618.368739834229928,38.000000000000000,82.000000000000000,44.000000000000000,71.217391304347828,5.912819688859732,16380.000000000000000
18,TUB1-6,18,267,238696.106319720624015,30.000000000000000,83.000000000000000,53.000000000000000,70.973782771535582,6.514408254333051,18950.000000000000000
19,TUB1-7,19,221,197572.432571753772208,39.000000000000000,87.000000000000000,48.000000000000000,69.352941176470594,8.077808993583025,15327.000000000000000
20,TUB1-8,20,256,228862.184336511156289,37.000000000000000,81.000000000000000,44.000000000000000,67.617187500000000,8.840267506690267,17310.000000000000000
21,TUB1-9,21,244,218134.269445737183560,33.000000000000000,80.000000000000000,47.000000000000000,67.286885245901644,9.803796110036105,16418.000000000000000
22,TUB1-10,22,227,202936.390017140744021,29.000000000000000,86.000000000000000,57.000000000000000,67.889867841409696,9.662189967109281,15411.000000000000000
23,TUB1-11,23,230,205618.368739834229928,41.000000000000000,88.000000000000000,47.000000000000000,69.478260869565219,7.205490450177528,15980.000000000000000
24,TUB1-12,24,226,202042.397109576268122,35.000000000000000,87.000000000000000,52.000000000000000,68.690265486725664,7.888133404176369,15524.000000000000000
25,TUB1-13,25,238,212770.312000350211747,40.000000000000000,84.000000000000000,44.000000000000000,68.277310924369743,7.860575352333506,16250.000000000000000
26,TUA2-1,26,137,122477.028336336050415,50.000000000000000,83.000000000000000,33.000000000000000,72.978102189781026,4.320156717359858,9998.000000000000000
27,TUA2-2,27,35,31289.751764757384080,67.000000000000000,79.000000000000000,12.000000000000000,74.200000000000003,2.411875381760638,2597.000000000000000
28,TUA2-3,28,49,43805.652470660337713,69.000000000000000,79.000000000000000,10.000000000000000,74.551020408163268,1.830146916036323,3653.000000000000000
29,TUA2-4,29,119,106385.156000175105873,21.000000000000000,85.000000000000000,64.000000000000000,71.596638655462186,8.029692091725407,8520.000000000000000
30,TUA2-5,30,116,103703.177277481619967,38.000000000000000,87.000000000000000,49.000000000000000,72.637931034482762,5.337564586904903,8426.000000000000000
31,TUA2-6,31,132,118007.063798513569054,59.000000000000000,82.000000000000000,23.000000000000000,72.689393939393938,4.480822056203203,9595.000000000000000
32,TUA2-7,32,144,128734.978689287527231,59.000000000000000,85.000000000000000,26.000000000000000,72.951388888888886,3.967454160470198,10505.000000000000000
33,TUA2-8,33,188,168070.666622125369031,35.000000000000000,84.000000000000000,49.000000000000000,73.159574468085111,5.282051486309882,13754.000000000000000
34,TUA2-9,34,160,143038.865210319461767,43.000000000000000,83.000000000000000,40.000000000000000,73.187500000000000,4.734431724082627,11710.000000000000000
35,TUA2-10,35,88,78671.375865675712703,1.000000000000000,85.000000000000000,84.000000000000000,69.647727272727266,11.413747465155675,6129.000000000000000
36,TUA2-11,36,46,41123.673747966851806,63.000000000000000,84.000000000000000,21.000000000000000,73.130434782608702,3.721901662440395,3364.000000000000000
37,TUA2-12,37,59,52745.581546305307711,56.000000000000000,87.000000000000000,31.000000000000000,72.898305084745758,5.571400685809540,4301.000000000000000
38,TUB2-1,38,7,6257.950352951476816,38.000000000000000,84.000000000000000,46.000000000000000,68.142857142857139,14.942064988563304,477.000000000000000
39,TUB2-2,39,21,18773.851058854430448,48.000000000000000,86.000000000000000,38.000000000000000,73.238095238095241,10.460377676441084,1538.000000000000000
40,TUB2-3,40,69,61685.510621950270433,7.000000000000000,87.000000000000000,80.000000000000000,68.724637681159422,16.303181922887134,4742.000000000000000
41,TUB2-4,41,69,61685.510621950270433,7.000000000000000,85.000000000000000,78.000000000000000,68.594202898550719,11.113797196851545,4733.000000000000000
42,TUB2-5,42,49,43805.652470660337713,7.000000000000000,86.000000000000000,79.000000000000000,59.653061224489797,21.889845768569540,2923.000000000000000
43,TUB2-6,43,21,18773.851058854430448,60.000000000000000,86.000000000000000,26.000000000000000,72.666666666666671,8.374185579922603,1526.000000000000000
44,TUB2-7,44,8,7151.943260515973634,63.000000000000000,88.000000000000000,25.000000000000000,70.500000000000000,7.365459931328117,564.000000000000000
45,TUB2-8,45,13,11621.907798338457724,38.000000000000000,80.000000000000000,42.000000000000000,71.692307692307693,9.972150569573685,932.000000000000000
46,TUA3-1,46,89,79565.368773240203154,57.000000000000000,87.000000000000000,30.000000000000000,72.146067415730343,5.693581171569678,6421.000000000000000
47,TUA3-2,47,143,127840.985781723022228,30.000000000000000,87.000000000000000,57.000000000000000,72.846153846153840,5.907572114161995,10417.000000000000000
48,TUA3-3,48,125,111749.113445562092238,45.000000000000000,87.000000000000000,42.000000000000000,73.103999999999999,4.405131553086735,9138.000000000000000
49,TUA3-4,49,132,118007.063798513569054,41.000000000000000,86.000000000000000,45.000000000000000,71.196969696969703,6.172322624007860,9398.000000000000000
50,TUA3-5,50,158,141250.879395190480864,24.000000000000000,83.000000000000000,59.000000000000000,70.341772151898738,9.010382304016884,11114.000000000000000
51,TUA3-6,51,181,161812.716269173892215,36.000000000000000,82.000000000000000,46.000000000000000,70.773480662983431,7.407519215206869,12810.000000000000000
52,TUA3-7,52,144,128734.978689287527231,25.000000000000000,85.000000000000000,60.000000000000000,70.513888888888886,8.689861678280876,10154.000000000000000
53,TUA3-8,53,119,106385.156000175105873,38.000000000000000,86.000000000000000,48.000000000000000,73.487394957983199,5.563786791912197,8745.000000000000000
54,TUA3-9,54,141,126052.999966594041325,23.000000000000000,86.000000000000000,63.000000000000000,72.709219858156033,6.832898108013838,10252.000000000000000
55,TUA3-10,55,162,144826.851025448471773,7.000000000000000,86.000000000000000,79.000000000000000,72.185185185185190,6.958627491872540,11694.000000000000000
56,TUA3-11,56,196,175222.609882641350850,58.000000000000000,86.000000000000000,28.000000000000000,72.423469387755105,4.516326415337939,14195.000000000000000
57,TUB3-5,59,12,10727.914890773959996,68.000000000000000,83.000000000000000,15.000000000000000,72.333333333333329,4.606758320361795,868.000000000000000
58,TUB3-6,60,66,59003.531899256784527,61.000000000000000,87.000000000000000,26.000000000000000,73.606060606060609,5.314014598007983,4858.000000000000000
59,TUB3-7,61,11,9833.921983209464088,71.000000000000000,80.000000000000000,9.000000000000000,75.090909090909093,2.712078889122919,826.000000000000000
60,TUB3-8,62,36,32183.744672321881808,64.000000000000000,81.000000000000000,17.000000000000000,74.111111111111114,4.012326685614986,2668.000000000000000
61,TUB3-9,63,36,32183.744672321881808,62.000000000000000,84.000000000000000,22.000000000000000,72.861111111111114,4.842822740795373,2623.000000000000000
62,TUB3-10,64,109,97445.226924530143151,7.000000000000000,86.000000000000000,79.000000000000000,72.513761467889907,9.581724461156458,7904.000000000000000
63,TUB3-11,65,52,46487.631193353830895,41.000000000000000,79.000000000000000,38.000000000000000,71.750000000000000,6.512930924765688,3731.000000000000000
64,TUB3-12,66,25,22349.822689112417720,62.000000000000000,80.000000000000000,18.000000000000000,74.480000000000004,4.158076478373098,1862.000000000000000
65,TDA1-1,67,5815,5198568.757487548515201,26.000000000000000,88.000000000000000,62.000000000000000,73.455030094582980,4.798824561754899,427141.000000000000000
66,TDA1-2,68,249,222604.233983559679473,43.000000000000000,86.000000000000000,43.000000000000000,73.188755020080322,4.531074552756317,18224.000000000000000
67,TDA1-3,69,252,225286.212706253165379,47.000000000000000,84.000000000000000,37.000000000000000,73.285714285714292,3.892110748308281,18468.000000000000000
68,TDA1-4,70,241,215452.290723043697653,31.000000000000000,87.000000000000000,56.000000000000000,72.456431535269715,5.806632540201763,17462.000000000000000
69,TDA1-5,71,298,266409.886454220046289,50.000000000000000,88.000000000000000,38.000000000000000,72.721476510067120,4.747971149310287,21671.000000000000000
70,TDA1-6,72,265,236908.120504591614008,58.000000000000000,83.000000000000000,25.000000000000000,71.958490566037739,4.103630880190639,19069.000000000000000
71,TDA1-7,73,247,220816.248168430698570,56.000000000000000,83.000000000000000,27.000000000000000,71.789473684210520,3.987354825998990,17732.000000000000000
72,TDA1-8,74,211,188632.503496108809486,57.000000000000000,87.000000000000000,30.000000000000000,71.672985781990519,3.871414267561301,15123.000000000000000
73,TDA1-9,75,212,189526.496403673314489,54.000000000000000,84.000000000000000,30.000000000000000,71.740566037735846,3.883158564148268,15209.000000000000000
