covnames,sum.wgt,ER
und,0.9997,3332.3333333337
water,0.9997,3332.3333333337
ele,0.9997,3332.3333333337
height100,0,0
height500,0,0
disturb100,0.4894,0.958480219349785
disturb500,0.5103,1.04206657137023
distRoad,0,0
forest100,0.4725,0.895734597156398
forest1500,0.0442,0.0462439840970915
forest500,0.483,0.934235976789168
forest1000,0.0182,0.0185373803218578
ndvi100,0.3127,0.454968718172559
ndvi500,0.687,2.19488817891374
