lat,lon,understoryComplexity,water,grass,shrubs,treefall,Elevation_100mMEAN,Elevation_1500mMEAN,Elevation_500mMEAN,slope_pc_rise_1000mMEAN,slope_pc_rise_100mMEAN,slope_pc_rise_1500mMEAN,slope_pc_rise_500mMEAN,Canopy_Height_1000_mMEAN,Canopy_Height_100mMEAN,Canopy_Height_1500_mMEAN,Canopy_Height_500mMEAN,Disturbed_Canopy_100mPercent,Disturbed_Canopy_1500mPercent,Disturbed_Canopy_500mPercent,Disturbed_Canopy1_1000mPercent,Eucdist_Roads_km_100MEAN,Eucdist_Roads_km_1000MEAN,Eucdist_Roads_km_1500MEAN,Eucdist_Roads_km_500MEAN,PTCT_1000m_Kernal_DensityMEAN,PTCT_100m_Kernal_DensityMEAN,PTCT_1500m_Kernal_DensityMEAN,PTCT_500mb_Kernal_DensityMEAN,PercentIntactforest20161000m,PercentNonforest1000m,PercentRegrowth197320161000m,PercentIntactforest2016100m,PercentNonforest100m,PercentRegrowth19732016100m,PercentIntactforest20161500m,PercentNonforest1500m,PercentRegrowth197320161500m,PercentIntactforest2016500m,PercentNonforest500m,PercentRegrowth19732016500m,Zonal_Stats1000mMEAN,Zonal_Stats100mMEAN,Zonal_Stats1500mMEAN,Zonal_Stats500mMEAN,PTCT_1000m_5m_TreeCover_PercentMEAN,PTCT_100m_5m_TreeCover_PercentMEAN,PTCT_1500m_5m_TreeCover_PercentMEAN,PTCT_500m_5m_TreeCover_PercentMEAN
0.855313959,110.087282,2,10,0,0,10,493.9375,,530.5,,27.1774117350578,,52.608454097401,,39,,39,0,,0,,4.90718108957464,,,5.35445776352516,,0.5237,,0.5061,80.38556881,0.223822912,19.39048459,100,0,0,79.34643972,0.886518574,19.76695296,98.34758525,0,1.652414746,,0.879269728,,0.859017872,,74.125,,68.3461538461538
0.85784303,110.086427,2,0,0,0,10,525.451612903226,,675.333333333333,,41.9565327552057,,111.696855243884,36,39,,38.9384615384615,14.2441893,,0,0,5.15327423148685,6.09995460510254,,5.51367176903619,0.418,0.4776,,0.4819,78.20350009,1.988581984,19.80778775,100,0,0,73.72429312,0.886518574,25.38910465,90.16686577,0,9.833134232,0.789516628,0.850421804,,0.806500362,,74.0555555555556,,58.6595744680851
0.860539991,110.085967,2,10,0,0,0,600.807692307692,1060.03921568627,926.5375,,68.4076840327336,17.2475844084048,73.2021524906159,36.0610687022901,38,37.302752293578,37.8117647058824,2.8488379,0.012645,0.6830082,0,5.39186879304739,6.27598293744601,6.81120471419575,5.79597176080463,0.3255,0.421,0.2345,0.3865,68.68607587,1.994666791,29.31913165,100,0,0,67.09073873,0.886518574,32.022653,77.97605987,0.005537364,22.01840276,0.795384905,0.844543534,0.822908278,0.847668627,57.7685185185185,71.5454545454546,65.9479166666667,60.9591836734694
0.860454999,110.084601,2,0,0,0,0,659.620689655173,1038.62222222222,961.425196850394,,128.572149210963,26.5805954403347,79.7929029089259,36.1761006289308,38,39.2661870503597,36.7037037037037,0,0,1.138347,0,5.50370589324406,6.37472911477089,6.90888449843501,5.83709740288117,0.3219,0.4222,0.2275,0.4108,75.28301001,1.994666791,22.72220365,100,0,0,69.62056697,0.886518574,29.49283018,91.4086553,0,8.591344699,0.822824932,0.807990977,0.814614521,0.865924365,59.9652173913044,63.0416666666667,67.8547008547009,59.1066666666667
0.858204961,110.083065,2,0,0,0,0,647.125,869.846153846154,808.911764705882,,141.176952123642,82.3726093585675,81.4836710971945,36,39,42,36.9178082191781,0,0,0.3415041,0,5.46978728430612,6.40350971466456,6.94269565435556,5.75376717797641,0.3863,0.4767,0.2843,0.4829,90.68104151,0.155024275,9.163818578,100,0,0,78.76675039,0.886518574,20.34663703,100,0,0,0.854645549,0.841559436,0.830290946,0.860468861,63.28,61.15625,70.6666666666667,62.0571428571429
0.855592992,110.082755,2,0,0,20,0,539.28125,,682.8,,55.2059750556946,,82.8995269775391,,39,,37,0,,0,,5.33661086857319,,,5.80160069465637,,0.53,,0.5111,96.38321921,0,3.616644677,100,0,0,85.61407903,0.886518574,13.49931442,100,0,0,,0.748570532,,0.879038617,,69.2068965517241,,
0.853640009,110.081706,2,0,0,60,0,438.1875,,645,,77.6862201094627,,75.1590270996094,,37.62857143,,37,0,,0,,5.31697295052665,,,5.82349133491516,,0.567,,0.5158,99.99715947,0,0.002698893,100,0,0,92.54425138,0.15675253,7.298907608,100,0,0,,0.767643332,,0.876448202,,67.8,,73
0.855318988,110.089445,2.5,0,0,30,10,531.375,,671.25,,39.1923235654831,,26.8723640441895,,39,,38,22.7907028,,0,,4.71875700354576,,,4.30143801371257,,0.5177,,0.5345,74.81233089,0.539585092,24.64795765,100,0,0,77.95728372,0.886518574,21.15610562,92.92580637,0,7.074193625,,0.849616388,,0.845869519,,73.59375,,57
0.857423013,110.091258,2,0,0,0,10,679.62962962963,,670.333333333333,,80.7159675315574,,28.6898765563965,,38,,38,34.1860542,,0,,4.71760642143988,,,4.26063237871443,,0.4887,,0.534,64.8407436,1.994666791,33.16445274,100,0,0,72.50196458,0.886518574,26.61142772,60.06635312,0,39.93364688,,0.856631509,,0.821471883,,70.5,,57.1428571428572
0.85643596,110.093628,2,10,0,20,40,724.5,,570.831578947368,,36.3774802088738,,53.9213533401489,38,38,,38,0,,0.1138347,0,4.4484217098781,3.74847486711318,,4.1602604728119,0.5873,0.5133,,0.5413,68.15383115,1.173858102,30.67217811,52.15892555,0,47.84107445,75.30552166,0.886518574,23.80786763,57.33482858,0,42.66517142,0.844547759,0.855582181,,0.850182337,69.6470588235294,63,,64.6390977443609
