und,water,ele,height100,height500,disturb100,disturb500,distRoad,forest1000,forest100,forest1500,forest500,ndvi100,ndvi500
2,10,493.9375,39,39,0,0,4.90718108957464,80.38556881,100,79.34643972,98.34758525,0.879269728,0.859017872
2,0,525.451612903226,39,38.9384615384615,14.2441893,0,5.15327423148685,78.20350009,100,73.72429312,90.16686577,0.850421804,0.806500362
2,10,600.807692307692,38,37.8117647058824,2.8488379,0.6830082,5.39186879304739,68.68607587,100,67.09073873,77.97605987,0.844543534,0.847668627
2,0,659.620689655173,38,36.7037037037037,0,1.138347,5.50370589324406,75.28301001,100,69.62056697,91.4086553,0.807990977,0.865924365
2,0,647.125,39,36.9178082191781,0,0.3415041,5.46978728430612,90.68104151,100,78.76675039,100,0.841559436,0.860468861
2,0,539.28125,39,37,0,0,5.33661086857319,96.38321921,100,85.61407903,100,0.748570532,0.879038617
2,0,438.1875,37.62857143,37,0,0,5.31697295052665,99.99715947,100,92.54425138,100,0.767643332,0.876448202
2.5,0,531.375,39,38,22.7907028,0,4.71875700354576,74.81233089,100,77.95728372,92.92580637,0.849616388,0.845869519
2,0,679.62962962963,38,38,34.1860542,0,4.71760642143988,64.8407436,100,72.50196458,60.06635312,0.856631509,0.821471883
2,10,724.5,38,38,0,0.1138347,4.4484217098781,68.15383115,52.15892555,75.30552166,57.33482858,0.855582181,0.850182337
2,0,661,38,38.2953020134228,0,0,4.21889393670218,77.14174146,73.05344772,79.95426613,61.70668267,0.870990785,0.820508833
2,0,621.548387096774,38.54285714,39,0,0,4.10298834906684,83.3816265,39.00472603,84.06480052,76.1586874,0.869840133,0.857825297
2,0,472.666666666667,39,,0,,4.07043325560434,87.65909026,100,88.02610776,87.9897506,,0.870889051
2.5,10,404.15,37,37,0,0,5.50391705139824,99.99985581,100,98.33553467,100,0.814827317,0.875935661
2,30,383.575757575758,37,37.2886597938144,0,1.4798511,5.78482794761658,99.99987574,100,99.84695405,100,0.829623077,0.861537954
2,10,367,37.62857143,38.6791443850267,0,0.5691735,6.06560276576451,99.89697877,100,99.59266891,100,0.855851608,0.877128221
2.5,0,373.3125,39,38.9409836065574,2.8488379,0.9106776,6.35850363307529,99.9229327,100,99.8093972,100,0.86356618,0.86506251
2,20,331.030303030303,39,39.478527607362,0,1.2521816,6.64600960867746,99.92289621,100,99.82196306,100,0.865902885,0.867883246
2,0,296.484848484849,39,38.9152542372881,0,0,6.79879658562796,99.6606796,100,99.70627705,100,0.877042918,0.877678323
2,0,261.4375,39,39.0030769230769,0,0.1138347,7.08190757036209,99.94555259,100,99.73693837,100,0.876620532,0.873832213
2,0,267.125,38,38,0,0,4.13634262365453,96.83792767,100,92.45000865,100,0.860270571,0.864570579
2,0,295.606060606061,36.125,32,0,0,4.40056832134724,99.68875876,100,90.55109691,100,0.879700199,0.869710973
2,0,331.818181818182,32,33.1904761904762,0,0,4.64825549390581,96.69189054,100,87.68419977,100,0.87407659,0.877912641
2,0,381.28125,32,21.6787878787879,0,0,4.87177703115675,87.83256242,100,77.77019572,98.77938797,0.876870808,0.882659091
2,0,477.875,29.40540541,1.89473684210526,0,0,5.05513946430103,75.50262227,100,66.93442328,79.70078114,0.871338913,0.876373202
2,0,565.735294117647,0,3.53605015673981,0,1.138347,5.31425746749429,60.14150633,0,55.48781717,55.8532791,0.852401669,0.883925271
