OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,881,787544.0296,0.0586,0.0751,0.0165,0.0669,0.0043,58.9074
2,TUA1-2,2,86,76877.1697,0.0642,0.0762,0.0121,0.0732,0.0029,6.2944
3,TUA1-3,3,115,102800.8665,0.0684,0.0775,0.0091,0.0748,0.0023,8.5969
4,TUA1-4,4,109,97437.3430,0.0679,0.0784,0.0105,0.0756,0.0025,8.2451
5,TUA1-5,5,128,114421.8340,0.0692,0.0795,0.0103,0.0768,0.0024,9.8262
6,TUA1-6,6,126,112633.9929,0.0711,0.0804,0.0093,0.0778,0.0023,9.8021
7,TUA1-7,7,109,97437.3430,0.0711,0.0809,0.0099,0.0783,0.0025,8.5338
8,TUA1-8,8,111,99225.1842,0.0716,0.0814,0.0098,0.0786,0.0027,8.7206
9,TUA1-9,9,109,97437.3430,0.0762,0.0818,0.0056,0.0803,0.0014,8.7478
10,TUA1-10,10,111,99225.1842,0.0750,0.0820,0.0070,0.0802,0.0018,8.9018
11,TUA1-11,11,117,104588.7077,0.0766,0.0822,0.0056,0.0808,0.0014,9.4528
12,TUA1-12,12,110,98331.2636,0.0770,0.0822,0.0052,0.0809,0.0013,8.9030
13,TUB1-1,13,23,20560.1733,0.0582,0.0625,0.0043,0.0594,0.0012,1.3670
14,TUB1-2,14,180,160905.7041,0.0554,0.0636,0.0082,0.0580,0.0017,10.4396
15,TUB1-3,15,109,97437.3430,0.0536,0.0598,0.0062,0.0556,0.0014,6.0569
16,TUB1-4,16,105,93861.6607,0.0524,0.0644,0.0119,0.0558,0.0031,5.8580
17,TUB1-5,17,111,99225.1842,0.0511,0.0632,0.0121,0.0540,0.0029,5.9973
18,TUB1-6,18,116,103694.7871,0.0492,0.0594,0.0103,0.0516,0.0020,5.9832
19,TUB1-7,19,107,95649.5019,0.0479,0.0608,0.0129,0.0514,0.0032,5.4972
20,TUB1-8,20,110,98331.2636,0.0462,0.0543,0.0081,0.0483,0.0016,5.3133
21,TUB1-9,21,112,100119.1048,0.0448,0.0584,0.0136,0.0483,0.0034,5.4122
22,TUB1-10,22,110,98331.2636,0.0433,0.0510,0.0077,0.0453,0.0015,4.9825
23,TUB1-11,23,107,95649.5019,0.0418,0.0504,0.0086,0.0438,0.0018,4.6888
24,TUB1-12,24,113,101013.0254,0.0398,0.0504,0.0105,0.0423,0.0022,4.7795
25,TUB1-13,25,114,101906.9459,0.0382,0.0477,0.0095,0.0405,0.0019,4.6193
26,TUA2-1,26,101,90285.9784,0.0681,0.0759,0.0078,0.0711,0.0019,7.1830
27,TUA2-2,27,26,23241.9350,0.0710,0.0764,0.0054,0.0740,0.0015,1.9229
28,TUA2-3,28,32,28605.4585,0.0716,0.0773,0.0057,0.0747,0.0016,2.3917
29,TUA2-4,29,64,57210.9170,0.0704,0.0784,0.0080,0.0743,0.0023,4.7542
30,TUA2-5,30,77,68831.8845,0.0710,0.0799,0.0089,0.0756,0.0026,5.8178
31,TUA2-6,31,93,83134.6138,0.0707,0.0810,0.0103,0.0757,0.0030,7.0444
32,TUA2-7,32,94,84028.5344,0.0687,0.0772,0.0085,0.0710,0.0019,6.6767
33,TUA2-8,33,110,98331.2636,0.0662,0.0749,0.0087,0.0688,0.0018,7.5647
34,TUA2-9,34,103,92073.8196,0.0637,0.0726,0.0089,0.0664,0.0017,6.8436
35,TUA2-10,35,97,86710.2961,0.0629,0.0768,0.0140,0.0685,0.0040,6.6428
36,TUA2-11,36,65,58104.8376,0.0661,0.0795,0.0134,0.0738,0.0035,4.7974
37,TUA2-12,37,91,81346.7726,0.0656,0.0803,0.0147,0.0742,0.0040,6.7482
38,TUB2-1,38,20,17878.4116,0.0748,0.0787,0.0038,0.0768,0.0010,1.5363
39,TUB2-2,39,58,51847.3935,0.0739,0.0798,0.0060,0.0769,0.0017,4.4611
40,TUB2-3,40,87,77771.0903,0.0728,0.0806,0.0078,0.0766,0.0023,6.6645
41,TUB2-4,41,98,87604.2167,0.0717,0.0810,0.0093,0.0754,0.0027,7.3867
42,TUB2-5,42,108,96543.4225,0.0705,0.0810,0.0105,0.0742,0.0029,8.0186
43,TUB2-6,43,61,54529.1553,0.0738,0.0816,0.0078,0.0788,0.0021,4.8094
44,TUB2-7,44,32,28605.4585,0.0777,0.0820,0.0043,0.0805,0.0012,2.5770
45,TUB2-8,45,32,28605.4585,0.0795,0.0821,0.0026,0.0814,0.0007,2.6042
46,TUA3-1,46,98,87604.2167,0.0665,0.0811,0.0147,0.0755,0.0040,7.3951
47,TUA3-2,47,121,108164.3900,0.0663,0.0814,0.0150,0.0747,0.0044,9.0379
48,TUA3-3,48,119,106376.5488,0.0665,0.0815,0.0150,0.0747,0.0043,8.8881
49,TUA3-4,49,110,98331.2636,0.0665,0.0815,0.0150,0.0747,0.0043,8.2135
50,TUA3-5,50,114,101906.9459,0.0660,0.0804,0.0144,0.0727,0.0042,8.2824
51,TUA3-6,51,127,113527.9135,0.0656,0.0807,0.0151,0.0721,0.0042,9.1619
52,TUA3-7,52,118,105482.6283,0.0652,0.0806,0.0154,0.0725,0.0043,8.5601
53,TUA3-8,53,110,98331.2636,0.0648,0.0795,0.0147,0.0712,0.0042,7.8306
54,TUA3-9,54,119,106376.5488,0.0631,0.0770,0.0138,0.0678,0.0036,8.0652
55,TUA3-10,55,112,100119.1048,0.0619,0.0764,0.0146,0.0670,0.0039,7.5094
56,TUA3-11,56,121,108164.3900,0.0602,0.0748,0.0146,0.0653,0.0039,7.8961
57,TUB3-1,57,34,30393.2997,0.0816,0.0821,0.0005,0.0819,0.0001,2.7834
58,TUB3-2,58,50,44696.0289,0.0811,0.0819,0.0008,0.0816,0.0002,4.0795
59,TUB3-3,59,65,58104.8376,0.0808,0.0815,0.0008,0.0811,0.0002,5.2747
