OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,3522,3148388.277,0.0504,0.0806,0.0302,0.0650,0.0082,229.0248
2,TUA1-2,2,170,151966.4983,0.0567,0.0811,0.0244,0.0748,0.0062,12.7118
3,TUA1-3,3,231,206495.6536,0.0625,0.0815,0.0190,0.0763,0.0048,17.6155
4,TUA1-4,4,222,198450.3684,0.0607,0.0819,0.0212,0.0765,0.0054,16.9772
5,TUA1-5,5,254,227055.8269,0.0612,0.0821,0.0209,0.0766,0.0054,19.4680
6,TUA1-6,6,243,217222.7006,0.0621,0.0822,0.0201,0.0771,0.0051,18.7331
7,TUA1-7,7,230,205601.733,0.0616,0.0821,0.0206,0.0766,0.0056,17.6152
8,TUA1-8,8,219,195768.6067,0.0622,0.0820,0.0198,0.0761,0.0057,16.6667
9,TUA1-9,9,209,186829.4009,0.0698,0.0818,0.0120,0.0786,0.0029,16.4199
10,TUA1-10,10,221,197556.4478,0.0663,0.0815,0.0151,0.0774,0.0040,17.1084
11,TUA1-11,11,225,201132.1301,0.0678,0.0809,0.0131,0.0777,0.0030,17.4825
12,TUA1-12,12,242,216328.78,0.0679,0.0803,0.0124,0.0768,0.0032,18.5956
13,TUB1-1,13,43,38438.58487,0.0500,0.0548,0.0048,0.0511,0.0013,2.1991
14,TUB1-2,14,353,315553.9642,0.0476,0.0581,0.0105,0.0499,0.0017,17.6296
15,TUB1-3,15,232,207389.5742,0.0462,0.0539,0.0078,0.0481,0.0014,11.1511
16,TUB1-4,16,200,178784.1157,0.0448,0.0594,0.0146,0.0481,0.0035,9.6262
17,TUB1-5,17,219,195768.6067,0.0432,0.0601,0.0169,0.0465,0.0036,10.1729
18,TUB1-6,18,231,206495.6536,0.0415,0.0565,0.0150,0.0442,0.0025,10.2177
19,TUB1-7,19,213,190405.0832,0.0401,0.0608,0.0207,0.0444,0.0049,9.4473
20,TUB1-8,20,217,193980.7655,0.0382,0.0527,0.0145,0.0408,0.0022,8.8517
21,TUB1-9,21,222,198450.3684,0.0365,0.0600,0.0234,0.0411,0.0053,9.1278
22,TUB1-10,22,213,190405.0832,0.0347,0.0466,0.0119,0.0376,0.0024,8.0023
23,TUB1-11,23,220,196662.5273,0.0329,0.0488,0.0159,0.0361,0.0030,7.9391
24,TUB1-12,24,231,206495.6536,0.0307,0.0509,0.0202,0.0346,0.0039,7.9817
25,TUB1-13,25,222,198450.3684,0.0288,0.0455,0.0167,0.0322,0.0031,7.1578
26,TUA2-1,26,155,138557.6897,0.0579,0.0673,0.0094,0.0617,0.0024,9.5673
27,TUA2-2,27,32,28605.45851,0.0603,0.0681,0.0078,0.0645,0.0023,2.0636
28,TUA2-3,28,44,39332.50545,0.0606,0.0699,0.0093,0.0654,0.0026,2.8778
29,TUA2-4,29,113,101013.0254,0.0592,0.0724,0.0132,0.0649,0.0037,7.3375
30,TUA2-5,30,120,107270.4694,0.0592,0.0763,0.0171,0.0671,0.0047,8.0531
31,TUA2-6,31,171,152860.4189,0.0585,0.0777,0.0192,0.0675,0.0058,11.5468
32,TUA2-7,32,174,155542.1806,0.0557,0.0738,0.0181,0.0600,0.0039,10.4477
33,TUA2-8,33,204,182359.798,0.0526,0.0716,0.0190,0.0572,0.0038,11.6708
34,TUA2-9,34,184,164481.3864,0.0497,0.0650,0.0153,0.0539,0.0029,9.9161
35,TUA2-10,35,177,158223.9424,0.0484,0.0739,0.0256,0.0579,0.0074,10.2466
36,TUA2-11,36,121,108164.39,0.0522,0.0777,0.0255,0.0674,0.0066,8.1533
37,TUA2-12,37,158,141239.4514,0.0516,0.0787,0.0271,0.0678,0.0075,10.7191
38,TUB2-1,38,26,23241.93504,0.0681,0.0735,0.0053,0.0712,0.0014,1.8500
39,TUB2-2,39,83,74195.40801,0.0658,0.0753,0.0095,0.0704,0.0024,5.8472
40,TUB2-3,40,131,117103.5958,0.0639,0.0770,0.0130,0.0701,0.0035,9.1795
41,TUB2-4,41,167,149284.7366,0.0618,0.0778,0.0160,0.0681,0.0045,11.3657
42,TUB2-5,42,179,160011.7835,0.0598,0.0783,0.0185,0.0665,0.0052,11.9123
43,TUB2-6,43,87,77771.09032,0.0644,0.0788,0.0144,0.0737,0.0039,6.4123
44,TUB2-7,44,42,37544.66429,0.0718,0.0794,0.0077,0.0768,0.0022,3.2235
45,TUB2-8,45,48,42908.18776,0.0743,0.0795,0.0051,0.0779,0.0014,3.7377
46,TUA3-1,46,165,147496.8954,0.0524,0.0791,0.0267,0.0683,0.0075,11.2739
47,TUA3-2,47,203,181465.8774,0.0522,0.0792,0.0269,0.0678,0.0077,13.7631
48,TUA3-3,48,209,186829.4009,0.0523,0.0789,0.0266,0.0674,0.0076,14.0818
49,TUA3-4,49,204,182359.798,0.0524,0.0787,0.0263,0.0673,0.0074,13.7384
50,TUA3-5,50,219,195768.6067,0.0519,0.0786,0.0267,0.0650,0.0078,14.2449
51,TUA3-6,51,248,221692.3034,0.0513,0.0784,0.0271,0.0645,0.0077,15.9898
52,TUA3-7,52,228,203813.8919,0.0513,0.0782,0.0269,0.0650,0.0075,14.8199
53,TUA3-8,53,214,191299.0038,0.0510,0.0779,0.0269,0.0641,0.0073,13.7246
54,TUA3-9,54,235,210071.3359,0.0495,0.0747,0.0252,0.0588,0.0069,13.8283
55,TUA3-10,55,225,201132.1301,0.0481,0.0742,0.0261,0.0586,0.0070,13.1847
56,TUA3-11,56,247,220798.3829,0.0467,0.0731,0.0264,0.0571,0.0072,14.1001
57,TUB3-2,57,10,8939.205784,0.0771,0.0779,0.0008,0.0774,0.0003,0.7735
58,TUB3-3,58,37,33075.0614,0.0753,0.0768,0.0015,0.0762,0.0004,2.8190
59,TUB3-4,59,60,53635.23471,0.0739,0.0760,0.0021,0.0750,0.0005,4.4975
60,TUB3-5,60,81,72407.56685,0.0727,0.0747,0.0020,0.0736,0.0005,5.9623
61,TUB3-6,61,77,68831.88454,0.0717,0.0733,0.0016,0.0724,0.0004,5.5730
62,TUB3-7,62,38,33968.98198,0.0706,0.0719,0.0012,0.0713,0.0003,2.7107
63,TUB3-8,63,122,109058.3106,0.0688,0.0720,0.0032,0.0702,0.0008,8.5657
64,TUB3-9,64,77,68831.88454,0.0672,0.0704,0.0031,0.0684,0.0007,5.2655
65,TUB3-10,65,129,115315.7546,0.0656,0.0713,0.0057,0.0672,0.0012,8.6737
66,TUB3-11,66,103,92073.81958,0.0642,0.0678,0.0036,0.0653,0.0007,6.7234
67,TUB3-12,67,107,95649.50189,0.0631,0.0665,0.0034,0.0641,0.0006,6.8552
68,TDA1-1,68,3508,3135873.389,0.0461,0.0554,0.0093,0.0519,0.0023,182.1929
69,TDA1-2,69,235,210071.3359,0.0446,0.0489,0.0042,0.0460,0.0008,10.8183
70,TDA1-3,70,222,198450.3684,0.0430,0.0478,0.0048,0.0447,0.0011,9.9267
71,TDA1-4,71,212,189511.1626,0.0418,0.0486,0.0069,0.0441,0.0018,9.3421
72,TDA1-5,72,255,227949.7475,0.0402,0.0493,0.0091,0.0432,0.0023,11.0097
73,TDA1-6,73,233,208283.4948,0.0382,0.0459,0.0077,0.0406,0.0016,9.4604
74,TDA1-7,74,231,206495.6536,0.0365,0.0474,0.0109,0.0393,0.0024,9.0866
75,TDA1-8,75,215,192192.9244,0.0347,0.0443,0.0096,0.0375,0.0022,8.0667
76,TDA1-9,76,207,185041.5597,0.0329,0.0439,0.0110,0.0362,0.0027,7.5009
77,TDA1-10,77,211,188617.242,0.0312,0.0444,0.0132,0.0350,0.0033,7.3927
78,TDA1-11,78,228,203813.8919,0.0292,0.0391,0.0099,0.0323,0.0023,7.3744
79,TDB1-1,79,846,756256.8093,0.0464,0.0517,0.0053,0.0492,0.0013,41.5840
80,TDB1-2,80,237,211859.1771,0.0449,0.0492,0.0043,0.0464,0.0009,10.9905
81,TDB1-3,81,241,215434.8594,0.0433,0.0481,0.0048,0.0449,0.0010,10.8306
82,TDB1-4,82,228,203813.8919,0.0415,0.0474,0.0059,0.0434,0.0012,9.9020
83,TDB1-5,83,148,132300.2456,0.0410,0.0474,0.0064,0.0435,0.0018,6.4422
84,TDB1-6,84,104,92967.74016,0.0407,0.0467,0.0060,0.0435,0.0017,4.5269
85,TDB1-7,85,130,116209.6752,0.0402,0.0459,0.0057,0.0426,0.0016,5.5359
86,TDB1-8,86,42,37544.66429,0.0415,0.0454,0.0039,0.0435,0.0011,1.8281
87,TDB1-9,87,82,73301.48743,0.0407,0.0448,0.0041,0.0427,0.0012,3.4981
88,TDB1-10,88,121,108164.39,0.0397,0.0440,0.0043,0.0413,0.0011,4.9929
89,TDA2-1,89,218,194874.6861,0.0271,0.0392,0.0121,0.0306,0.0027,6.6734
90,TDA2-2,90,219,195768.6067,0.0252,0.0398,0.0145,0.0292,0.0034,6.3977
91,TDA2-3,91,214,191299.0038,0.0233,0.0343,0.0110,0.0267,0.0026,5.7089
92,TDA2-4,92,187,167163.1482,0.0218,0.0373,0.0155,0.0265,0.0041,4.9570
93,TDA2-5,93,229,204707.8125,0.0196,0.0313,0.0118,0.0230,0.0026,5.2654
94,TDA2-6,94,240,214540.9388,0.0176,0.0351,0.0175,0.0223,0.0042,5.3484
95,TDA2-7,95,245,219010.5417,0.0159,0.0379,0.0220,0.0222,0.0057,5.4302
96,TDA2-8,96,218,194874.6861,0.0145,0.0383,0.0238,0.0207,0.0061,4.5232
97,TDA2-9,97,87,77771.09032,0.0139,0.0235,0.0096,0.0174,0.0026,1.5095
98,TDA2-10,98,166,148390.816,0.0130,0.0285,0.0155,0.0180,0.0042,2.9797
99,TDB2-1,99,362,323599.2494,0.0465,0.0506,0.0041,0.0484,0.0010,17.5284
100,TDB2-2,100,160,143027.2925,0.0449,0.0486,0.0037,0.0462,0.0008,7.3843
101,TDB2-3,101,129,115315.7546,0.0434,0.0466,0.0032,0.0445,0.0006,5.7370
102,TDB2-4,102,146,130512.4044,0.0417,0.0463,0.0046,0.0431,0.0009,6.2947
103,TDB2-5,103,213,190405.0832,0.0401,0.0472,0.0071,0.0424,0.0017,9.0326
104,TDB2-6,104,215,192192.9244,0.0382,0.0469,0.0087,0.0406,0.0018,8.7300
105,TDB2-7,105,242,216328.78,0.0364,0.0477,0.0113,0.0397,0.0027,9.5983
106,TDB2-8,106,225,201132.1301,0.0347,0.0471,0.0123,0.0381,0.0028,8.5706
107,TDB2-9,107,227,202919.9713,0.0327,0.0440,0.0112,0.0356,0.0022,8.0841
108,TDB2-10,108,235,210071.3359,0.0307,0.0407,0.0100,0.0338,0.0024,7.9507
109,TDA3-1,109,122,109058.3106,0.0415,0.0486,0.0070,0.0448,0.0020,5.4711
110,TDA3-2,110,159,142133.372,0.0404,0.0481,0.0077,0.0433,0.0021,6.8826
111,TDA3-3,111,182,162693.5453,0.0386,0.0453,0.0067,0.0404,0.0013,7.3542
112,TDA3-4,112,169,151072.5778,0.0368,0.0431,0.0062,0.0388,0.0012,6.5535
113,TDA3-5,113,186,166269.2276,0.0350,0.0403,0.0053,0.0372,0.0013,6.9124
114,TDA3-6,114,214,191299.0038,0.0331,0.0414,0.0082,0.0357,0.0018,7.6452
