OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
235,TTB2-4,235,37,33075.0614,0.6508,0.6558,0.0050,0.6535,0.0015,24.1794
236,TTB2-5,236,35,31287.2202,0.6528,0.6567,0.0039,0.6549,0.0012,22.9206
237,TTB2-6,237,35,31287.2202,0.6352,0.6467,0.0115,0.6413,0.0031,22.4446
238,TTB2-7,238,35,31287.2202,0.6040,0.6227,0.0187,0.6139,0.0051,21.4848
239,TTB2-8,239,34,30393.2997,0.5709,0.5945,0.0236,0.5831,0.0065,19.8258
240,TTB3-1,240,36,32181.1408,0.5929,0.6150,0.0221,0.6041,0.0061,21.7468
241,TTB3-2,241,35,31287.2202,0.5862,0.6095,0.0233,0.5982,0.0066,20.9366
242,TTB3-3,242,37,33075.0614,0.5790,0.6036,0.0246,0.5915,0.0067,21.8843
243,TTB3-4,243,36,32181.1408,0.5748,0.6000,0.0252,0.5879,0.0066,21.1638
244,TTB3-5,244,32,28605.4585,0.5585,0.5838,0.0253,0.5713,0.0069,18.2812
245,TTB3-6,245,37,33075.0614,0.5487,0.5773,0.0286,0.5631,0.0076,20.8360
246,TTB3-7,246,35,31287.2202,0.5336,0.5626,0.0291,0.5494,0.0085,19.2277
247,TTB3-8,247,35,31287.2202,0.5581,0.5842,0.0260,0.5715,0.0069,20.0024
248,TTB4-1,248,36,32181.1408,0.5490,0.5738,0.0249,0.5617,0.0068,20.2219
249,TTB4-2,249,32,28605.4585,0.5683,0.5851,0.0168,0.5768,0.0046,18.4582
250,TTB4-3,250,32,28605.4585,0.5730,0.5847,0.0117,0.5788,0.0036,18.5226
251,TTB4-4,251,37,33075.0614,0.5460,0.5625,0.0166,0.5543,0.0044,20.5104
252,TTB4-5,252,35,31287.2202,0.5128,0.5333,0.0205,0.5236,0.0054,18.3258
253,TTB4-6,253,32,28605.4585,0.4739,0.4975,0.0236,0.4860,0.0065,15.5518
254,TTB4-7,254,35,31287.2202,0.4246,0.4524,0.0278,0.4384,0.0077,15.3450
255,TTB4-8,255,37,33075.0614,0.3664,0.3991,0.0327,0.3830,0.0091,14.1702
256,TTB4-9,256,35,31287.2202,0.3069,0.3405,0.0336,0.3236,0.0092,11.3251
257,TTB5-1,257,32,28605.4585,0.7264,0.7721,0.0457,0.7494,0.0124,23.9796
258,TTB5-2,258,35,31287.2202,0.6353,0.6895,0.0542,0.6620,0.0142,23.1683
259,TTB5-3,259,37,33075.0614,0.5418,0.5968,0.0551,0.5693,0.0150,21.0624
260,TTB5-4,260,37,33075.0614,0.4568,0.5109,0.0541,0.4837,0.0147,17.8971
261,TTB5-5,261,36,32181.1408,0.3729,0.4238,0.0509,0.3972,0.0135,14.2991
262,TTB5-6,262,32,28605.4585,0.3003,0.3414,0.0411,0.3205,0.0115,10.2556
263,TTB5-7,263,35,31287.2202,0.2373,0.2797,0.0425,0.2590,0.0114,9.0650
264,TTB5-8,264,36,32181.1408,0.1844,0.2211,0.0367,0.2026,0.0103,7.2948
265,TTB5-9,265,36,32181.1408,0.1350,0.1630,0.0280,0.1491,0.0079,5.3662
266,TTB5-10,266,34,30393.2997,0.1057,0.1246,0.0189,0.1155,0.0052,3.9279
267,TTB6-1,267,35,31287.2202,0.8029,0.8452,0.0422,0.8243,0.0114,28.8495
268,TTB6-2,268,37,33075.0614,0.8709,0.9028,0.0319,0.8872,0.0091,32.8260
269,TTB6-3,269,36,32181.1408,0.9188,0.9431,0.0244,0.9311,0.0065,33.5201
270,TTB6-4,270,37,33075.0614,0.9461,0.9617,0.0156,0.9542,0.0043,35.3057
271,TTB6-5,271,36,32181.1408,0.9655,0.9720,0.0066,0.9693,0.0017,34.8934
272,TTB6-6,272,35,31287.2202,0.9546,0.9673,0.0127,0.9615,0.0033,33.6531
273,TTB6-7,273,35,31287.2202,0.9228,0.9457,0.0229,0.9348,0.0061,32.7175
274,TTB6-8,274,35,31287.2202,0.8886,0.9184,0.0298,0.9040,0.0080,31.6403
275,TTB6-9,275,36,32181.1408,0.8309,0.8681,0.0372,0.8495,0.0101,30.5824
276,TTB7-1,276,36,32181.1408,0.7615,0.8068,0.0453,0.7826,0.0122,28.1737
277,TTB7-2,277,36,32181.1408,0.7671,0.8135,0.0464,0.7904,0.0129,28.4532
278,TTB7-3,278,35,31287.2202,0.7219,0.7713,0.0493,0.7464,0.0134,26.1257
279,TTB7-4,279,36,32181.1408,0.7465,0.7911,0.0446,0.7695,0.0131,27.7021
280,TTB7-5,280,35,31287.2202,0.6917,0.7415,0.0499,0.7164,0.0141,25.0738
281,TTB7-6,281,37,33075.0614,0.6069,0.6641,0.0572,0.6355,0.0158,23.5153
282,TTB7-7,282,32,28605.4585,0.5462,0.6022,0.0559,0.5741,0.0153,18.3713
