OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,7911,7071805.696,0.0417,0.0822,0.0405,0.0617,0.0116,487.9779
2,TUA1-2,2,260,232419.3504,0.0449,0.0821,0.0372,0.0722,0.0097,18.7605
3,TUA1-3,3,340,303932.9967,0.0516,0.0820,0.0305,0.0736,0.0080,25.0193
4,TUA1-4,4,325,290524.188,0.0511,0.0817,0.0306,0.0730,0.0082,23.7408
5,TUA1-5,5,386,345053.3433,0.0499,0.0814,0.0314,0.0724,0.0085,27.9448
6,TUA1-6,6,372,332538.4552,0.0505,0.0808,0.0303,0.0723,0.0079,26.8846
7,TUA1-7,7,340,303932.9967,0.0495,0.0801,0.0305,0.0707,0.0086,24.0356
8,TUA1-8,8,331,295887.7115,0.0498,0.0793,0.0295,0.0697,0.0089,23.0570
9,TUA1-9,9,311,278009.2999,0.0583,0.0785,0.0202,0.0729,0.0048,22.6807
10,TUA1-10,10,339,303039.0761,0.0541,0.0774,0.0233,0.0705,0.0062,23.9133
11,TUA1-11,11,339,303039.0761,0.0552,0.0763,0.0211,0.0707,0.0049,23.9611
12,TUA1-12,12,347,310190.4407,0.0544,0.0749,0.0206,0.0693,0.0050,24.0593
13,TUB1-1,13,74,66150.1228,0.0414,0.0443,0.0028,0.0430,0.0008,3.1831
14,TUB1-2,14,535,478247.5095,0.0392,0.0464,0.0071,0.0416,0.0013,22.2707
15,TUB1-3,15,337,301251.2349,0.0378,0.0450,0.0072,0.0399,0.0014,13.4308
16,TUB1-4,16,298,266388.3324,0.0360,0.0497,0.0137,0.0386,0.0028,11.5137
17,TUB1-5,17,321,286948.5057,0.0341,0.0521,0.0180,0.0372,0.0034,11.9353
18,TUB1-6,18,341,304826.9172,0.0321,0.0491,0.0170,0.0351,0.0026,11.9528
19,TUB1-7,19,312,278903.2205,0.0304,0.0531,0.0228,0.0347,0.0052,10.8297
20,TUB1-8,20,328,293205.9497,0.0283,0.0448,0.0165,0.0314,0.0027,10.3053
21,TUB1-9,21,323,288736.3468,0.0264,0.0536,0.0272,0.0313,0.0058,10.1020
22,TUB1-10,22,320,286054.5851,0.0245,0.0404,0.0159,0.0280,0.0029,8.9455
23,TUB1-11,23,334,298569.4732,0.0225,0.0425,0.0201,0.0262,0.0033,8.7434
24,TUB1-12,24,334,298569.4732,0.0204,0.0472,0.0268,0.0249,0.0050,8.3226
25,TUB1-13,25,345,308402.5996,0.0184,0.0406,0.0222,0.0226,0.0038,7.7812
26,TUA2-1,26,191,170738.8305,0.0457,0.0546,0.0089,0.0492,0.0022,9.3993
27,TUA2-2,27,43,38438.58487,0.0469,0.0558,0.0089,0.0517,0.0026,2.2239
28,TUA2-3,28,55,49165.63181,0.0471,0.0584,0.0112,0.0528,0.0032,2.9041
29,TUA2-4,29,163,145709.0543,0.0457,0.0638,0.0181,0.0526,0.0051,8.5724
30,TUA2-5,30,167,149284.7366,0.0452,0.0688,0.0237,0.0560,0.0067,9.3455
31,TUA2-6,31,260,232419.3504,0.0441,0.0719,0.0278,0.0565,0.0084,14.6903
32,TUA2-7,32,251,224374.0652,0.0410,0.0664,0.0254,0.0468,0.0056,11.7450
33,TUA2-8,33,290,259236.9677,0.0376,0.0641,0.0265,0.0434,0.0051,12.5844
34,TUA2-9,34,258,230631.5092,0.0345,0.0564,0.0219,0.0398,0.0040,10.2690
35,TUA2-10,35,269,240464.6356,0.0331,0.0682,0.0351,0.0461,0.0103,12.4035
36,TUA2-11,36,163,145709.0543,0.0383,0.0722,0.0340,0.0590,0.0090,9.6190
37,TUA2-12,37,216,193086.8449,0.0367,0.0732,0.0365,0.0584,0.0103,12.6173
38,TUB2-1,38,27,24135.85562,0.0578,0.0627,0.0049,0.0605,0.0013,1.6329
39,TUB2-2,39,105,93861.66073,0.0541,0.0657,0.0116,0.0593,0.0029,6.2317
40,TUB2-3,40,163,145709.0543,0.0517,0.0689,0.0172,0.0593,0.0047,9.6679
