Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,877,784031.779934063204564,0,40,40,23.968072976054732,18.898308734525987,21020.000000000000000,4,0,40,38
2,TUA1-2,2,88,78671.375865675669047,0,40,40,25.715909090909090,18.495053923362839,2263.000000000000000,3,39,40,39
3,TUA1-3,3,115,102809.184369917071308,0,40,40,33.617391304347827,13.516227032523055,3866.000000000000000,3,39,40,39
4,TUA1-4,4,110,98339.219832094589947,0,40,40,36.927272727272729,8.872540981650880,4062.000000000000000,3,39,0,39
5,TUA1-5,5,126,112643.106353126524482,0,40,40,38.714285714285715,3.466064835252928,4878.000000000000000,3,39,0,39
6,TUA1-6,6,126,112643.106353126524482,39,40,1,39.007936507936506,0.088732856250322,4915.000000000000000,2,39,40,39
7,TUA1-7,7,112,100127.205647223585402,38,39,1,38.946428571428569,0.225170003802281,4362.000000000000000,2,39,38,39
8,TUA1-8,8,109,97445.226924530084943,38,39,1,38.688073394495412,0.463280043044219,4217.000000000000000,2,39,38,39
9,TUA1-9,9,109,97445.226924530084943,38,39,1,38.211009174311926,0.408024879962124,4165.000000000000000,2,38,39,38
10,TUA1-10,10,113,101021.198554788075853,38,39,1,38.008849557522126,0.093654913666186,4295.000000000000000,2,38,39,38
11,TUA1-11,11,115,102809.184369917071308,38,38,0,38.000000000000000,0.000000000000000,4370.000000000000000,1,38,38,38
12,TUA1-12,12,110,98339.219832094589947,38,38,0,38.000000000000000,0.000000000000000,4180.000000000000000,1,38,38,38
13,TUB1-1,13,26,23243.815596676900896,0,40,40,33.692307692307693,12.174276888237728,876.000000000000000,3,38,40,38
14,TUB1-2,14,180,160918.723361609329004,0,40,40,28.322222222222223,16.596068997592155,5098.000000000000000,3,38,40,38
15,TUB1-3,15,109,97445.226924530084943,0,38,38,32.770642201834860,13.090814082746910,3572.000000000000000,2,38,0,38
16,TUB1-4,16,105,93869.255294272108586,0,38,38,19.180952380952380,18.999138302455396,2014.000000000000000,2,38,0,38
17,TUB1-5,17,112,100127.205647223585402,0,40,40,24.678571428571427,18.405266271657478,2764.000000000000000,3,38,40,38
