Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,36,32183.74467,0,0,0,0,0,0,1,0,0,0
2,TUA1-2,2,17,15197.87943,0,39,39,9.176470588,16.54311762,156,2,0,39,0
3,TUA1-3,3,23,20561.83687,0,39,39,30.52173913,16.08636897,702,2,39,0,39
4,TUA1-4,4,19,16985.86524,39,39,0,39,0,741,1,39,39,39
5,TUA1-5,5,24,21455.82978,39,39,0,39,0,936,1,39,39,39
6,TUA1-6,6,24,21455.82978,39,39,0,39,0,936,1,39,39,39
7,TUA1-7,7,21,18773.85106,39,39,0,39,0,819,1,39,39,39
8,TUA1-8,8,21,18773.85106,39,39,0,39,0,819,1,39,39,39
9,TUA1-9,9,22,19667.84397,39,39,0,39,0,858,1,39,39,39
10,TUA1-10,10,23,20561.83687,39,39,0,39,0,897,1,39,39,39
11,TUA1-11,11,21,18773.85106,39,39,0,39,0,819,1,39,39,39
12,TUA1-12,12,23,20561.83687,39,39,0,39,0,897,1,39,39,39
13,TUB1-1,13,4,3575.97163,0,0,0,0,0,0,1,0,0,0
14,TUB1-2,14,31,27713.78013,0,38,38,19.61290323,18.99011189,608,2,38,0,38
15,TUB1-3,15,20,17879.85815,0,38,38,36.1,8.281907993,722,2,38,0,38
16,TUB1-4,16,24,21455.82978,0,38,38,25.33333333,17.91337179,608,2,38,0,38
17,TUB1-5,17,22,19667.84397,0,38,38,24.18181818,18.27973633,532,2,38,0,38
18,TUB1-6,18,19,16985.86524,0,38,38,34,11.66190379,646,2,38,0,38
19,TUB1-7,19,19,16985.86524,0,38,38,22,18.76166304,418,2,38,0,38
20,TUB1-8,20,25,22349.82269,0,38,38,28.88,16.22915894,722,2,38,0,38
21,TUB1-9,21,21,18773.85106,0,40,40,29.52380952,16.52593646,620,3,38,0,38
22,TUB1-10,22,20,17879.85815,38,40,2,38.6,0.916515139,772,2,38,40,38
23,TUB1-11,23,21,18773.85106,38,40,2,38.57142857,0.903507903,810,2,38,40,38
24,TUB1-12,24,24,21455.82978,38,40,2,38.91666667,0.996521729,934,2,38,40,38
25,TUB1-13,25,22,19667.84397,38,40,2,38.72727273,0.962091386,852,2,38,40,38
26,TUA2-1,26,28,25031.80141,39,39,0,39,0,1092,1,39,39,39
27,TUA2-2,27,19,16985.86524,39,39,0,39,0,741,1,39,39,39
28,TUA2-3,28,21,18773.85106,39,39,0,39,0,819,1,39,39,39
29,TUA2-4,29,22,19667.84397,39,39,0,39,0,858,1,39,39,39
30,TUA2-5,30,23,20561.83687,38,39,1,38.65217391,0.476280485,889,2,39,38,39
31,TUA2-6,31,21,18773.85106,38,38,0,38,0,798,1,38,38,38
32,TUA2-7,32,20,17879.85815,38,38,0,38,0,760,1,38,38,38
33,TUA2-8,33,22,19667.84397,38,38,0,38,0,836,1,38,38,38
34,TUA2-9,34,23,20561.83687,38,38,0,38,0,874,1,38,38,38
35,TUA2-10,35,21,18773.85106,38,38,0,38,0,798,1,38,38,38
36,TUA2-11,36,21,18773.85106,38,38,0,38,0,798,1,38,38,38
37,TUA2-12,37,22,19667.84397,38,38,0,38,0,836,1,38,38,38
38,TUB2-1,38,13,11621.9078,39,39,0,39,0,507,1,39,39,39
39,TUB2-2,39,23,20561.83687,39,39,0,39,0,897,1,39,39,39
40,TUB2-3,40,22,19667.84397,39,39,0,39,0,858,1,39,39,39
41,TUB2-4,41,22,19667.84397,38,39,1,38.68181818,0.465770489,851,2,39,38,39
42,TUB2-5,42,22,19667.84397,38,39,1,38.18181818,0.385694608,840,2,38,39,38
43,TUB2-6,43,21,18773.85106,38,38,0,38,0,798,1,38,38,38
44,TUB2-7,44,22,19667.84397,38,38,0,38,0,836,1,38,38,38
45,TUB2-8,45,22,19667.84397,38,38,0,38,0,836,1,38,38,38
46,TUA3-1,46,22,19667.84397,38,38,0,38,0,836,1,38,38,38
47,TUA3-2,47,26,23243.8156,38,38,0,38,0,988,1,38,38,38
48,TUA3-3,48,23,20561.83687,38,38,0,38,0,874,1,38,38,38
49,TUA3-4,49,19,16985.86524,38,38,0,38,0,722,1,38,38,38
50,TUA3-5,50,25,22349.82269,38,38,0,38,0,950,1,38,38,38
51,TUA3-6,51,22,19667.84397,38,38,0,38,0,836,1,38,38,38
52,TUA3-7,52,23,20561.83687,38,38,0,38,0,874,1,38,38,38
53,TUA3-8,53,23,20561.83687,38,39,1,38.17391304,0.379034691,878,2,38,39,38
54,TUA3-9,54,23,20561.83687,38,39,1,38.82608696,0.379034691,893,2,39,38,39
55,TUA3-10,55,22,19667.84397,39,39,0,39,0,858,1,39,39,39
56,TUA3-11,56,23,20561.83687,39,39,0,39,0,897,1,39,39,39
57,TUB3-1,57,23,20561.83687,38,39,1,38.47826087,0.499527187,885,2,38,39,38
58,TUB3-2,58,19,16985.86524,38,38,0,38,0,722,1,38,38,38
59,TUB3-3,59,24,21455.82978,38,38,0,38,0,912,1,38,38,38
60,TUB3-4,60,22,19667.84397,38,38,0,38,0,836,1,38,38,38
61,TUB3-5,61,22,19667.84397,38,38,0,38,0,836,1,38,38,38
62,TUB3-6,62,21,18773.85106,38,38,0,38,0,798,1,38,38,38
63,TUB3-7,63,22,19667.84397,38,38,0,38,0,836,1,38,38,38
64,TUB3-8,64,24,21455.82978,38,38,0,38,0,912,1,38,38,38
65,TUB3-9,65,20,17879.85815,38,38,0,38,0,760,1,38,38,38
66,TUB3-10,66,22,19667.84397,38,38,0,38,0,836,1,38,38,38
67,TUB3-11,67,22,19667.84397,38,38,0,38,0,836,1,38,38,38
68,TUB3-12,68,22,19667.84397,38,38,0,38,0,836,1,38,38,38
69,TDA1-1,69,35,31289.75176,39,39,0,39,0,1365,1,39,39,39
70,TDA1-2,70,21,18773.85106,39,39,0,39,0,819,1,39,39,39
71,TDA1-3,71,19,16985.86524,39,39,0,39,0,741,1,39,39,39
72,TDA1-4,72,21,18773.85106,39,39,0,39,0,819,1,39,39,39
73,TDA1-5,73,25,22349.82269,39,39,0,39,0,975,1,39,39,39
74,TDA1-6,74,21,18773.85106,39,39,0,39,0,819,1,39,39,39
75,TDA1-7,75,22,19667.84397,39,39,0,39,0,858,1,39,39,39
76,TDA1-8,76,22,19667.84397,39,39,0,39,0,858,1,39,39,39
77,TDA1-9,77,21,18773.85106,39,39,0,39,0,819,1,39,39,39
78,TDA1-10,78,18,16091.87234,39,39,0,39,0,702,1,39,39,39
79,TDA1-11,79,25,22349.82269,37,39,2,37.8,0.979795897,945,2,37,39,37
80,TDB1-1,80,35,31289.75176,39,39,0,39,0,1365,1,39,39,39
81,TDB1-2,81,23,20561.83687,39,39,0,39,0,897,1,39,39,39
82,TDB1-3,82,23,20561.83687,39,39,0,39,0,897,1,39,39,39
83,TDB1-4,83,21,18773.85106,39,39,0,39,0,819,1,39,39,39
84,TDB1-5,84,21,18773.85106,39,39,0,39,0,819,1,39,39,39
85,TDB1-6,85,21,18773.85106,0,39,39,20.42857143,19.47787861,429,2,39,0,39
86,TDB1-7,86,24,21455.82978,0,39,39,3.25,10.77903057,78,2,0,39,0
87,TDB1-8,87,22,19667.84397,0,39,39,14.18181818,18.76078202,312,2,0,39,0
88,TDB1-9,88,24,21455.82978,0,39,39,3.25,10.77903057,78,2,0,39,0
89,TDB1-10,89,22,19667.84397,0,0,0,0,0,0,1,0,0,0
90,TDA2-1,90,23,20561.83687,37,37,0,37,0,851,1,37,37,37
91,TDA2-2,91,22,19667.84397,37,37,0,37,0,814,1,37,37,37
92,TDA2-3,92,22,19667.84397,37,37,0,37,0,814,1,37,37,37
93,TDA2-4,93,21,18773.85106,37,37,0,37,0,777,1,37,37,37
94,TDA2-5,94,24,21455.82978,37,37,0,37,0,888,1,37,37,37
95,TDA2-6,95,22,19667.84397,37,37,0,37,0,814,1,37,37,37
96,TDA2-7,96,25,22349.82269,37,37,0,37,0,925,1,37,37,37
97,TDA2-8,97,22,19667.84397,37,38,1,37.72727273,0.445361771,830,2,38,37,38
98,TDA2-9,98,15,13409.89361,37,37,0,37,0,555,1,37,37,37
99,TDA2-10,99,19,16985.86524,37,37,0,37,0,703,1,37,37,37
100,TDB2-1,100,36,32183.74467,39,39,0,39,0,1404,1,39,39,39
101,TDB2-2,101,23,20561.83687,39,39,0,39,0,897,1,39,39,39
102,TDB2-3,102,24,21455.82978,39,39,0,39,0,936,1,39,39,39
103,TDB2-4,103,22,19667.84397,39,39,0,39,0,858,1,39,39,39
104,TDB2-5,104,24,21455.82978,39,39,0,39,0,936,1,39,39,39
105,TDB2-6,105,22,19667.84397,39,39,0,39,0,858,1,39,39,39
106,TDB2-7,106,25,22349.82269,39,39,0,39,0,975,1,39,39,39
107,TDB2-8,107,18,16091.87234,39,39,0,39,0,702,1,39,39,39
108,TDB2-9,108,23,20561.83687,39,39,0,39,0,897,1,39,39,39
