Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,7908,7069695.913020039908588,0,40,40,34.205488113302984,12.745252529489191,270497.000000000000000,4,38,0,39
2,TUA1-2,2,261,233332.148874333652202,38,40,2,38.394636015325673,0.594845323986941,10021.000000000000000,3,38,40,38
3,TUA1-3,3,342,305745.574387057858985,38,39,1,38.245614035087719,0.430450671803024,13080.000000000000000,2,38,39,38
4,TUA1-4,4,324,289653.702050896943547,38,39,1,38.222222222222221,0.415739709641549,12384.000000000000000,2,38,39,38
5,TUA1-5,5,388,346869.248135024739895,38,39,1,38.208762886597938,0.406424585596504,14825.000000000000000,2,38,39,38
6,TUA1-6,6,369,329883.382891299261246,38,39,1,38.154471544715449,0.361400175136278,14079.000000000000000,2,38,39,38
7,TUA1-7,7,338,302169.602756799897179,38,39,1,38.162721893491124,0.369111743066830,12899.000000000000000,2,38,39,38
8,TUA1-8,8,330,295017.659496283915360,38,39,1,38.172727272727272,0.378011325205288,12597.000000000000000,2,38,39,38
9,TUA1-9,9,316,282501.758790380961727,37,39,2,38.088607594936711,0.295102360173796,12036.000000000000000,3,38,37,38
10,TUA1-10,10,334,298593.631126541877165,37,39,2,38.158682634730539,0.411619484327453,12745.000000000000000,3,38,37,38
11,TUA1-11,11,345,308427.553109751373995,37,39,2,38.182608695652171,0.408232855454189,13173.000000000000000,3,38,37,38
12,TUA1-12,12,344,307533.560202186868992,37,39,2,38.267441860465119,0.461907536419508,13164.000000000000000,3,38,37,38
13,TUB1-1,13,73,65261.482252208261343,38,40,2,38.972602739726028,0.964757088310088,2845.000000000000000,3,38,39,39
14,TUB1-2,14,536,479180.198454570258036,38,40,2,38.958955223880594,0.970744650822093,20882.000000000000000,3,38,39,39
15,TUB1-3,15,340,303957.588571928907186,38,40,2,38.879411764705885,0.958024748472127,13219.000000000000000,3,38,39,38
16,TUB1-4,16,297,265515.893546655541286,0,40,40,34.747474747474747,12.317634098507549,10320.000000000000000,4,40,39,39
17,TUB1-5,17,322,287865.716235767933540,0,40,40,30.562111801242235,16.125406997027973,9841.000000000000000,4,40,39,39
18,TUB1-6,18,346,309321.546017315878998,0,40,40,27.841040462427745,17.515002423639483,9633.000000000000000,4,38,40,38
19,TUB1-7,19,304,271773.843899607018102,0,40,40,28.279605263157894,17.634187932953111,8597.000000000000000,5,39,34,39
20,TUB1-8,20,331,295911.652403848420363,0,40,40,25.404833836858007,18.206747551178090,8409.000000000000000,5,0,34,38
21,TUB1-9,21,323,288759.709143332438543,0,40,40,28.829721362229101,17.133209173377526,9312.000000000000000,5,39,38,39
22,TUB1-10,22,320,286077.730420638923533,0,40,40,25.362500000000001,17.921002866748275,8116.000000000000000,5,39,40,38
23,TUB1-11,23,336,300381.616941670887172,0,40,40,25.973214285714285,17.714061448513178,8727.000000000000000,5,39,40,38
24,TUB1-12,24,334,298593.631126541877165,0,40,40,27.389221556886227,17.462997767015629,9148.000000000000000,5,39,38,39
25,TUB1-13,25,340,303957.588571928907186,0,40,40,26.247058823529411,17.515979851924083,8924.000000000000000,5,39,38,38
26,TUA2-1,26,189,168964.659529689874034,37,39,2,38.915343915343918,0.402672964876794,7355.000000000000000,2,39,37,39
27,TUA2-2,27,43,38441.695025273358624,37,39,2,37.790697674418603,0.929069039787865,1625.000000000000000,3,37,38,37
28,TUA2-3,28,58,51851.588638740809984,37,39,2,37.775862068965516,0.720227537041554,2191.000000000000000,3,38,39,38
29,TUA2-4,29,160,143038.865210319461767,37,39,2,37.862499999999997,0.693609219950280,6058.000000000000000,3,38,39,38
30,TUA2-5,30,168,150190.808470835443586,37,39,2,38.017857142857146,0.685506540951307,6387.000000000000000,3,38,37,38
31,TUA2-6,31,259,231544.163059204642195,37,39,2,38.216216216216218,0.740165618250229,9898.000000000000000,3,38,37,38
32,TUA2-7,32,253,226180.205613817670383,37,39,2,37.944664031620555,0.841665242953750,9600.000000000000000,3,37,38,38
33,TUA2-8,33,290,259257.943193704035366,37,39,2,37.944827586206898,0.877137274239095,11004.000000000000000,3,37,38,38
34,TUA2-9,34,259,231544.163059204642195,37,40,3,38.038610038610038,0.957824714568105,9852.000000000000000,4,39,40,38
35,TUA2-10,35,270,241378.085042414109921,37,40,3,37.948148148148150,0.796459931507230,10246.000000000000000,4,38,40,38
36,TUA2-11,36,164,146614.836840577452676,38,39,1,38.725609756097562,0.446206496987188,6351.000000000000000,2,39,38,39
37,TUA2-12,37,215,192208.475126366800396,37,39,2,38.581395348837212,0.520847169457249,8295.000000000000000,3,39,37,39
38,TUB2-1,38,29,25925.794319370404992,38,39,1,38.827586206896555,0.377739694830943,1126.000000000000000,2,39,38,39
39,TUB2-2,39,102,91187.276571578666335,38,39,1,38.470588235294116,0.499134198484824,3924.000000000000000,2,38,39,38
40,TUB2-3,40,163,145720.843933012976777,38,40,2,38.282208588957054,0.476557214378909,6240.000000000000000,3,38,40,38
41,TUB2-4,41,202,180586.567328028322663,38,40,2,38.341584158415841,0.657894530463925,7745.000000000000000,3,38,40,38
42,TUB2-5,42,223,199360.418386882753111,38,40,2,38.399103139013455,0.785176055284879,8563.000000000000000,3,38,39,38
