covnames,sum.wgt,ER
und,1.1886,-6.30222693531283
water,1.1886,-6.30222693531283
ele,1.1886,-6.30222693531283
height100,0.5943,1.46487552378605
height500,0.5943,1.46487552378605
disturb100,0,0
disturb500,1.1886,-6.30222693531283
distRoad,0.8116,4.30785562632696
forest100,0,0
forest1500,1.1886,-6.30222693531283
forest500,0,0
forest1000,0,0
ndvi100,0,0
ndvi500,1.1886,-6.30222693531283
