covnames,sum.wgt,ER
und,0.3206,0.471886959081543
water,0.4221,0.730403183941858
ele,0.8129,4.34473543559594
height100,1.1131,-9.84173297966402
height500,0,0
disturb100,0,0
disturb500,0.8367,5.12369871402327
distRoad,0.5658,1.30308613542146
forest100,0,0
forest1500,0,0
forest500,0.3391,0.51308821304282
forest1000,0,0
ndvi100,0,0
ndvi500,0.3801,0.613163413453783
