covnames,sum.wgt,ER
und,0.5772,1.36518448438978
water,0.9304,13.367816091954
ele,1.0667,-15.9925037481259
height100,0.7387,2.82701875239189
height500,0,0
disturb100,0,0
disturb500,0.4382,0.77999288002848
distRoad,0.5511,1.22766763198931
forest100,0,0
forest1500,0,0
forest500,0.7823,3.59347726228755
forest1000,0,0
ndvi100,1.0787,-13.7064803049555
ndvi500,0,0
