Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P cloudCover)psi(forest1500 P ndvi100 P ele),4.49,0.0042,8,124.11,1.04,1
p(observer1)psi(disturb100 P forest1500 P und P water P ele P distRoad),4.5,0.0042,10,119.78,5.75,1
p(cloudCover)psi(disturb100 P forest1500 P und P water P ele),4.6,0.004,8,124.23,4.27,1
p(cloudCover)psi(disturb100 P und P water P ele P distRoad),4.69,0.0038,8,124.31,4.67,1
p(start)psi(disturb100 P forest1500 P water P ele P height100 P distRoad),4.73,0.0038,9,122.19,4.6,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P water P ele P height100 P distRoad),4.74,0.0037,11,117.82,0,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P und P water P ele P distRoad),4.74,0.0037,11,117.82,5.37,1
p()psi(disturb100 P forest1500 P und P ele P height100),4.76,0.0037,7,126.53,3.33,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P und P water P ele P height100),4.79,0.0036,11,117.87,0.43,1
p(start)psi(disturb100 P ele),4.83,0.0036,5,130.83,4.62,1
p()psi(disturb100 P ele P height100),4.85,0.0035,5,130.85,0,1
p()psi(disturb100 P ele P distRoad),4.85,0.0035,5,130.85,3.36,1
p(observer1)psi(disturb100 P forest1500 P ele P distRoad),4.9,0.0035,8,124.52,0,1
p(observer1)psi(forest1500 P ndvi100 P ele),4.91,0.0034,7,126.67,1.32,1
p(observer1)psi(disturb100 P forest1500 P und P water P ele P height100),4.97,0.0033,10,120.25,0,1
p(cloudCover)psi(disturb100 P forest1500 P water P ele P distRoad),4.97,0.0033,8,124.6,0,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ele P distRoad),5.1,0.0031,9,122.56,-0.32,1
p(cloudCover)psi(disturb100 P water P ele P height100),5.16,0.003,7,126.93,1.29,1
p(observer1 P cloudCover)psi(disturb100 P ele),5.21,0.003,7,126.98,0.81,1
p(observer1)psi(disturb100 P und P water P ele P distRoad),5.26,0.0029,9,122.73,0,1
p(observer1)psi(disturb100 P water P ele P height100),5.29,0.0028,8,124.92,1.83,1
p(observer1)psi(disturb100 P ele),5.32,0.0028,6,129.22,6,1
p()psi(disturb100 P und P ele),5.42,0.0027,5,131.42,2.25,1
p(observer1)psi(disturb100 P ele P height100),5.53,0.0025,7,127.3,2.35,1
p(cloudCover)psi(forest1500 P ndvi100 P ele P height100),5.56,0.0025,7,127.33,2.14,1
p(cloudCover)psi(forest1500 P ndvi100 P ele P distRoad),5.56,0.0025,7,127.33,0.67,1
p()psi(disturb100 P ndvi100 P und P water P ele P height100),5.56,0.0025,8,125.19,0,1
p()psi(disturb100 P ndvi100 P und P water P ele P distRoad),5.56,0.0025,8,125.19,2.3,1
p(cloudCover)psi(disturb100 P forest1500 P water P ele P height100),5.59,0.0025,8,125.21,5.81,1
p(observer1 P cloudCover)psi(disturb100 P ele P height100),5.64,0.0024,8,125.27,5,1
p(start)psi(disturb100 P forest1500 P und P ele P distRoad),5.66,0.0024,8,125.28,5.15,1
p(cloudCover)psi(disturb100 P ele P distRoad),5.69,0.0023,6,129.58,4.74,1
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele P height100),5.75,0.0023,9,123.22,3.76,1
p(observer1)psi(disturb100 P forest1500 P ele P height100 P distRoad),5.75,0.0023,9,123.22,1.59,1
p(cloudCover)psi(disturb100 P ele P height100),5.76,0.0022,6,129.65,4.47,1
p(cloudCover)psi(disturb100 P und P water P ele P height100),5.89,0.0021,8,125.52,5.26,1
p()psi(forest1500 P ndvi100 P und P ele),6.02,0.002,6,129.91,1.47,1
p()psi(disturb100 P ndvi100 P und P water P ele),6.05,0.0019,7,127.82,1.41,1
p(cloudCover)psi(disturb100 P forest1500 P und P ele P height100),6.06,0.0019,8,125.68,0,1
p(observer1 P cloudCover)psi(disturb100 P und P ele),6.08,0.0019,8,125.71,0.84,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P und P water P ele P height100 P distRoad),6.16,0.0018,12,117.02,0,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P water P ele P distRoad),6.17,0.0018,10,121.45,3.08,1
p()psi(disturb100 P water P ele P height100 P distRoad),6.18,0.0018,7,127.95,0,1
