Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,3522,3148388.277187037281692,2.460412502288818,4.454174995422363,1.993762493133545,3.491397713951466,0.498630773779114,12296.702748537063599
2,TUA1-2,2,170,151966.498331004055217,3.111312389373779,4.508432388305664,1.397119998931885,4.171224878816044,0.342565998568307,709.108229398727417
3,TUA1-3,3,231,206495.653614481998375,3.575966119766235,4.613485336303711,1.037519216537476,4.378252376209606,0.212445145201876,1011.376298904418945
4,TUA1-4,4,222,198450.368408722948516,3.789097309112549,4.708136081695557,0.919038772583008,4.497110062891299,0.187758573471479,998.358433961868286
5,TUA1-5,5,254,227055.826918088423554,3.895764827728271,4.827844619750977,0.932079792022705,4.594384604551661,0.198657431983781,1166.973689556121826
6,TUA1-6,6,243,217222.700555494055152,4.002493381500244,4.935064792633057,0.932571411132813,4.701807846257716,0.199897255719635,1142.539306640625000
7,TUA1-7,7,230,205601.733036064339103,4.148141384124756,5.041157245635986,0.893015861511230,4.813697365055914,0.189182942087574,1107.150393962860107
8,TUA1-8,8,219,195768.606673469941597,4.278412342071533,5.135584831237793,0.857172489166260,4.912129789726920,0.191858036190991,1075.756423950195313
9,TUA1-9,9,209,186829.400889293232467,4.109277248382568,5.216410636901855,1.107133388519287,4.900749916094912,0.290163295234060,1024.256732463836670
10,TUA1-10,10,221,197556.447830305289244,4.407368183135986,5.314369678497314,0.907001495361328,5.094223710746247,0.189377512377061,1125.823440074920654
11,TUA1-11,11,225,201132.130143975984538,4.235891342163086,5.407249927520752,1.171358585357666,5.129029343922933,0.267680820130139,1154.031602382659912
12,TUA1-12,12,242,216328.779977076366777,4.404730319976807,5.512039184570313,1.107308864593506,5.254668889952100,0.238900560176557,1271.629871368408203
13,TUB1-1,13,43,38438.584871959850716,2.433562040328979,3.607821702957153,1.174259662628174,2.718890844389450,0.317109012460758,116.912306308746338
14,TUB1-2,14,353,315553.964181437855586,2.286600351333618,3.573465585708618,1.286865234375000,2.633174887459947,0.282586947229478,929.510735273361206
15,TUB1-3,15,232,207389.574192899657646,2.180132150650024,3.539280652999878,1.359148502349854,2.541656534219610,0.318949901145369,589.664315938949585
16,TUB1-4,16,200,178784.115683534182608,2.099292516708374,3.320888280868530,1.221595764160156,2.493351577520370,0.333599321180592,498.670315504074097
17,TUB1-5,17,219,195768.606673469941597,2.019200801849365,3.363149881362915,1.343949079513550,2.405480022299780,0.354567020650156,526.800124883651733
18,TUB1-6,18,231,206495.653614481998375,1.912102341651917,3.234708786010742,1.322606444358826,2.259628715453210,0.307272689205359,521.974233269691467
19,TUB1-7,19,213,190405.083202963927761,1.845248937606812,3.405412197113037,1.560163259506226,2.412102494441287,0.455512177479841,513.777831315994263
20,TUB1-8,20,217,193980.765516634593951,1.751807451248169,3.151846885681152,1.400039434432983,2.087649919470334,0.309107310909636,453.020032525062561
21,TUB1-9,21,222,198450.368408722948516,1.687346220016479,3.404361963272095,1.717015743255615,2.323306195907765,0.500195589980586,515.773975491523743
22,TUB1-10,22,213,190405.083202963927761,1.594742655754089,2.993585348129272,1.398842692375183,1.965737807358934,0.338547880551002,418.702152967453003
23,TUB1-11,23,220,196662.527251887629973,1.509208202362061,3.074316740036011,1.565108537673950,1.958857533606616,0.409693285658526,430.948657393455505
24,TUB1-12,24,231,206495.653614481998375,1.435439586639404,3.155815124511719,1.720375537872314,2.011551818806371,0.489495622396920,464.668470144271851
25,TUB1-13,25,222,198450.368408722948516,1.352060556411743,3.021080732345581,1.669020175933838,1.856431077192495,0.445054140910264,412.127699136734009
26,TUA2-1,26,155,138557.689654738991521,3.905161380767822,4.935517787933350,1.030356407165527,4.434174042363320,0.273252877271242,687.296976566314697
27,TUA2-2,27,32,28605.458509365471400,4.576131820678711,5.058505535125732,0.482373714447021,4.877106174826622,0.131395245229478,156.067397594451904
28,TUA2-3,28,44,39332.505450377524539,4.677277088165283,5.252700328826904,0.575423240661621,5.017932198264382,0.145031431071512,220.789016723632813
29,TUA2-4,29,113,101013.025361196821905,4.504465103149414,5.421861171722412,0.917396068572998,5.090467326408993,0.232533591581175,575.222807884216309
30,TUA2-5,30,120,107270.469410120524117,4.663496017456055,5.525402545928955,0.861906528472900,5.318661856651306,0.194467054279605,638.239422798156738
31,TUA2-6,31,171,152860.418909421743592,4.692636489868164,5.631881237030029,0.939244747161865,5.421996738478454,0.213746407407029,927.161442279815674
32,TUA2-7,32,174,155542.180644674750511,4.368558883666992,5.661643028259277,1.293084144592285,5.151457931803561,0.361546645925601,896.353680133819580
33,TUA2-8,33,204,182359.797997204877902,4.239371776580811,5.685434341430664,1.446062564849854,5.119773528155158,0.411523064542341,1044.433799743652344
34,TUA2-9,34,184,164481.386428851459641,4.110473632812500,5.690856456756592,1.580382823944092,4.962707719077235,0.455545903422756,913.138220310211182
35,TUA2-10,35,177,158223.942379927757429,4.787496566772461,5.791518688201904,1.004022121429443,5.561874882649567,0.225511512560544,984.451854228973389
36,TUA2-11,36,121,108164.389988538183388,5.533162593841553,5.862928390502930,0.329765796661377,5.749706654509237,0.078723996433487,695.714505195617676
37,TUA2-12,37,158,141239.451389992027543,5.492299079895020,5.947698593139648,0.455399513244629,5.786780846269825,0.119135793248846,914.311373710632324
38,TUB2-1,38,26,23241.935038859446649,3.831327438354492,4.340229034423828,0.508901596069336,4.096309597675617,0.131099942120821,106.504049539566040
39,TUB2-2,39,83,74195.408008666694514,3.702709674835205,4.638124465942383,0.935414791107178,4.151001370096782,0.234578564529731,344.533113718032837
40,TUB2-3,40,131,117103.595772714892519,3.596281766891479,4.877398490905762,1.281116724014282,4.267280542213499,0.337299800022859,559.013751029968262
41,TUB2-4,41,167,149284.736595751048299,3.469515085220337,5.011010646820068,1.541495561599731,4.230373698080371,0.431367900022005,706.472407579421997
42,TUB2-5,42,179,160011.783536763105076,3.425956249237061,5.080370903015137,1.654414653778076,4.260564493733411,0.471807604835290,762.641044378280640
