Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,31,29882.862355543176818,560,597,37,574.774193548387075,8.852590936281711,17818.000000000000000,19,568,560,572
2,TUA1-2,2,15,14459.449526875730953,571,600,29,589.600000000000023,7.400900846066545,8844.000000000000000,14,598,571,590
3,TUA1-3,3,21,20243.229337626024062,582,610,28,596.619047619047592,8.538295750972079,12529.000000000000000,14,606,582,598
4,TUA1-4,4,19,18315.302734042590600,586,617,31,602.947368421052602,8.744764955529234,11456.000000000000000,16,598,586,601
5,TUA1-5,5,21,20243.229337626024062,594,636,42,620.142857142857110,10.502996009238842,13023.000000000000000,20,629,594,621
6,TUA1-6,6,21,20243.229337626024062,615,637,22,627.523809523809518,5.687237572126164,13178.000000000000000,15,625,615,627
7,TUA1-7,7,19,18315.302734042590600,610,624,14,617.052631578947398,4.173521600334161,11724.000000000000000,14,613,610,618
8,TUA1-8,8,21,20243.229337626024062,604,634,30,621.619047619047592,6.693822244116569,13054.000000000000000,12,622,604,622
9,TUA1-9,9,20,19279.266035834305512,601,637,36,620.649999999999977,11.433612727394490,12413.000000000000000,17,601,606,625
10,TUA1-10,10,18,17351.339432250875689,597,634,37,617.944444444444457,9.692335014054578,11123.000000000000000,17,621,597,617
11,TUA1-11,11,22,21207.192639417738974,590,616,26,605.909090909090878,6.119336646381145,13330.000000000000000,16,603,590,605
12,TUA1-12,12,20,19279.266035834305512,595,621,26,610.200000000000045,7.068238818826281,12204.000000000000000,15,607,595,611
13,TUB1-1,13,6,5783.779810750292199,558,569,11,562.833333333333371,4.017323597729707,3377.000000000000000,5,558,562,562
14,TUB1-2,14,30,28918.899053751461906,532,574,42,561.033333333333303,9.924660643512857,16831.000000000000000,20,556,532,563
15,TUB1-3,15,21,20243.229337626024062,510,560,50,536.571428571428555,15.342351680952776,11268.000000000000000,20,534,510,535
16,TUB1-4,16,20,19279.266035834305512,484,512,28,497.600000000000023,8.181686867632536,9952.000000000000000,17,492,484,495
17,TUB1-5,17,18,17351.339432250875689,477,499,22,489.888888888888914,5.363341504955370,8818.000000000000000,13,493,477,491
18,TUB1-6,18,20,19279.266035834305512,480,506,26,494.149999999999977,6.559535044497490,9883.000000000000000,14,499,480,495
19,TUB1-7,19,20,19279.266035834305512,487,532,45,508.399999999999977,14.249210504445175,10168.000000000000000,17,499,487,506
20,TUB1-8,20,20,19279.266035834305512,474,512,38,488.699999999999989,11.176314240392909,9774.000000000000000,16,476,474,485
21,TUB1-9,21,19,18315.302734042590600,454,510,56,478.947368421052659,16.794340162561440,9100.000000000000000,14,454,459,477
22,TUB1-10,22,20,19279.266035834305512,434,463,29,445.899999999999977,7.628237017818335,8918.000000000000000,15,434,440,444
23,TUB1-11,23,21,20243.229337626024062,428,451,23,436.571428571428555,6.036172143807340,9168.000000000000000,15,439,429,436
24,TUB1-12,24,18,17351.339432250875689,428,441,13,433.444444444444457,3.685138655950834,7802.000000000000000,12,433,428,433
25,TUB1-13,25,19,18315.302734042590600,432,455,23,436.052631578947341,5.114208115998359,8285.000000000000000,8,434,439,435
26,TUA2-1,26,27,26027.009148376313533,598,629,31,616.074074074074019,7.663892860180061,16634.000000000000000,15,622,598,616
27,TUA2-2,27,18,17351.339432250875689,602,635,33,618.333333333333371,9.463379711052260,11130.000000000000000,14,611,602,616
28,TUA2-3,28,18,17351.339432250875689,604,622,18,614.444444444444457,4.969039949997218,11060.000000000000000,13,614,604,614
29,TUA2-4,29,22,21207.192639417738974,570,607,37,584.590909090909122,10.969623723175948,12861.000000000000000,17,574,570,582
30,TUA2-5,30,20,19279.266035834305512,568,583,15,574.850000000000023,3.453621287864477,11497.000000000000000,11,573,568,574
31,TUA2-6,31,19,18315.302734042590600,570,585,15,578.263157894736878,3.836694098650868,10987.000000000000000,9,578,570,579
32,TUA2-7,32,20,19279.266035834305512,569,598,29,585.950000000000045,7.729650703619327,11719.000000000000000,16,580,569,586
33,TUA2-8,33,21,20243.229337626024062,584,621,37,603.619047619047592,9.569177655249929,12676.000000000000000,17,599,584,605
34,TUA2-9,34,19,18315.302734042590600,614,630,16,620.789473684210520,4.958553984554513,11795.000000000000000,11,622,616,621
35,TUA2-10,35,19,18315.302734042590600,589,618,29,607.210526315789480,9.219995132825201,11537.000000000000000,15,600,589,610
36,TUA2-11,36,19,18315.302734042590600,596,623,27,612.000000000000000,8.143450710459554,11628.000000000000000,13,605,596,611
37,TUA2-12,37,21,20243.229337626024062,602,625,23,612.952380952380963,7.147934703223306,12872.000000000000000,15,602,603,613
38,TUB2-1,38,13,12531.522923292299311,594,611,17,600.923076923076906,5.370310669447814,7812.000000000000000,10,594,597,601
39,TUB2-2,39,19,18315.302734042590600,576,596,20,588.052631578947398,4.273217501089046,11173.000000000000000,11,589,576,588
40,TUB2-3,40,19,18315.302734042590600,583,630,47,612.052631578947398,13.899919288710505,11629.000000000000000,14,622,583,618
41,TUB2-4,41,20,19279.266035834305512,596,625,29,609.500000000000000,7.978095010715277,12190.000000000000000,17,600,596,610
42,TUB2-5,42,20,19279.266035834305512,579,604,25,592.649999999999977,6.702797923254936,11853.000000000000000,12,597,584,593
43,TUB2-6,43,19,18315.302734042590600,589,613,24,601.000000000000000,7.056165650281357,11419.000000000000000,14,599,589,599
44,TUB2-7,44,22,21207.192639417738974,600,617,17,609.727272727272748,4.114075817810769,13414.000000000000000,13,611,600,610
45,TUB2-8,45,21,20243.229337626024062,593,614,21,603.380952380952408,5.195934220744713,12671.000000000000000,16,598,593,603
46,TUA3-1,46,20,19279.266035834305512,593,629,36,611.549999999999955,12.076733829972794,12231.000000000000000,17,604,593,610
47,TUA3-2,47,22,21207.192639417738974,587,624,37,603.590909090909122,12.055398982533283,13279.000000000000000,17,590,587,604
48,TUA3-3,48,21,20243.229337626024062,592,624,32,608.571428571428555,9.250850301053989,12780.000000000000000,17,594,592,611
49,TUA3-4,49,18,17351.339432250875689,587,626,39,606.833333333333371,11.823939933691964,10923.000000000000000,14,598,587,604
50,TUA3-5,50,22,21207.192639417738974,577,623,46,606.090909090909122,13.790342770177022,13334.000000000000000,19,598,577,609
51,TUA3-6,51,22,21207.192639417738974,576,638,62,614.000000000000000,14.619414240224289,13508.000000000000000,18,612,576,613
52,TUA3-7,52,20,19279.266035834305512,616,648,32,631.950000000000045,9.967321606126831,12639.000000000000000,15,616,620,629
53,TUA3-8,53,22,21207.192639417738974,611,660,49,637.136363636363626,14.191211923856507,14017.000000000000000,18,620,611,637
54,TUA3-9,54,19,18315.302734042590600,609,663,54,642.157894736842081,15.235910343295211,12201.000000000000000,15,656,609,644
55,TUA3-10,55,21,20243.229337626024062,618,662,44,638.714285714285666,15.062229194223113,13413.000000000000000,18,618,622,635
56,TUA3-11,56,21,20243.229337626024062,618,661,43,635.857142857142890,14.240404335770567,13353.000000000000000,17,622,618,633
57,TUB3-1,57,23,22171.155941209453886,596,637,41,620.739130434782624,10.879647497904843,14277.000000000000000,21,614,596,622
58,TUB3-2,58,19,18315.302734042590600,596,655,59,634.315789473684163,18.270057850221953,12052.000000000000000,14,630,596,643
59,TUB3-3,59,21,20243.229337626024062,613,660,47,643.190476190476147,13.221984029563730,13507.000000000000000,20,651,613,648
60,TUB3-4,60,19,18315.302734042590600,599,665,66,636.684210526315837,20.779677905357623,12097.000000000000000,19,599,599,645
61,TUB3-5,61,20,19279.266035834305512,610,664,54,650.750000000000000,13.578935893508003,13015.000000000000000,15,661,610,656
62,TUB3-6,62,21,20243.229337626024062,629,672,43,651.238095238095184,12.975819129680263,13676.000000000000000,18,660,629,654
63,TUB3-7,63,20,19279.266035834305512,602,670,68,646.299999999999955,19.652226336983027,12926.000000000000000,18,658,602,650
