Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,7329,7064887.038831496611238,423,660,237,550.183926865875264,49.056481917734878,4032298.000000000000000,234,587,423,560
2,TUA1-2,2,243,234243.082335387327475,506,665,159,588.559670781893033,37.600120653298710,143020.000000000000000,111,596,508,593
3,TUA1-3,3,316,304612.403366182697937,513,669,156,598.610759493670912,31.075811924468479,189161.000000000000000,113,592,513,597
4,TUA1-4,4,310,298828.623555432423018,536,694,158,606.358064516129048,30.885807098485461,187971.000000000000000,113,590,536,606
5,TUA1-5,5,355,342206.972136059659533,529,703,174,612.698591549295770,31.074954785448444,217508.000000000000000,125,623,529,612
6,TUA1-6,6,342,329675.449212767358404,543,708,165,622.564327485380090,31.739348021845540,212917.000000000000000,117,613,544,623
7,TUA1-7,7,312,300756.550159015809186,537,714,177,629.272435897435912,32.000593090894021,196333.000000000000000,114,650,537,630
8,TUA1-8,8,302,291116.917141098645516,538,715,177,637.963576158940441,32.983971590956905,192665.000000000000000,116,622,538,639
9,TUA1-9,9,292,281477.284123181481846,553,726,173,643.311643835616451,37.673372759895365,187847.000000000000000,122,656,553,646
10,TUA1-10,10,307,295936.733650057227351,593,735,142,655.114006514657945,33.067939627063453,201120.000000000000000,111,639,593,653
11,TUA1-11,11,318,306540.329969766142312,568,747,179,665.229559748427619,39.152107911251662,211543.000000000000000,134,625,575,665
12,TUA1-12,12,326,314252.036384099861607,590,748,158,673.174846625766918,34.634862828310958,219455.000000000000000,120,653,590,676
13,TUB1-1,13,76,73261.210936170522473,411,531,120,466.092105263157919,31.907010297020445,35423.000000000000000,60,437,411,456
14,TUB1-2,14,486,468486.164670774654951,360,540,180,469.201646090535007,37.892425127774963,228032.000000000000000,139,441,360,467
15,TUB1-3,15,326,314252.036384099861607,348,538,190,457.883435582822074,40.841590229706703,149270.000000000000000,131,458,348,461
16,TUB1-4,16,266,256414.238276596821379,390,542,152,491.398496240601503,33.994568307752374,130712.000000000000000,94,523,390,498
17,TUB1-5,17,307,295936.733650057227351,373,551,178,487.328990228013026,38.510617512516760,149610.000000000000000,122,508,373,498
18,TUB1-6,18,315,303648.440064391004853,340,549,209,472.774603174603158,48.282469026746355,148924.000000000000000,134,504,340,481
19,TUB1-7,19,287,276657.467614222900011,394,559,165,495.595818815331029,33.500487020359976,142236.000000000000000,102,439,394,504
20,TUB1-8,20,307,295936.733650057227351,339,558,219,471.941368078175913,47.208006850871669,144886.000000000000000,135,441,339,476
21,TUB1-9,21,295,284369.174028556619305,417,559,142,492.016949152542395,38.996606338841332,145145.000000000000000,114,536,417,499
22,TUB1-10,22,295,284369.174028556619305,337,555,218,468.294915254237310,44.220914691797724,138147.000000000000000,124,519,337,479
23,TUB1-11,23,312,300756.550159015809186,338,548,210,469.612179487179503,43.967064950688382,146519.000000000000000,126,413,345,478
24,TUB1-12,24,314,302684.476762599253561,401,545,144,471.945859872611493,39.956508187698191,148191.000000000000000,123,408,401,474
25,TUB1-13,25,307,295936.733650057227351,363,529,166,461.052117263843627,39.307074983082678,141543.000000000000000,109,406,363,465
26,TUA2-1,26,181,174477.357624300842872,471,668,197,591.292817679557970,52.930553932247030,107024.000000000000000,114,630,475,598
27,TUA2-2,27,34,32774.752260918394313,622,672,50,649.235294117647072,13.173187616227564,22074.000000000000000,28,648,622,648
28,TUA2-3,28,53,51090.054994961021293,627,707,80,657.018867924528308,16.836046869443489,34822.000000000000000,33,662,627,660
29,TUA2-4,29,149,143630.531966965907486,608,724,116,676.691275167785193,24.659533824487486,100827.000000000000000,75,664,608,675
30,TUA2-5,30,160,154234.128286674793344,626,736,110,694.024999999999977,24.140461366760107,111044.000000000000000,79,687,626,696
31,TUA2-6,31,231,222675.522713886719430,618,751,133,697.415584415584362,33.068478333460170,161103.000000000000000,103,729,623,704
32,TUA2-7,32,235,226531.375921053579077,569,753,184,701.914893617021221,43.193591815509997,164950.000000000000000,112,725,569,717
33,TUA2-8,33,261,251594.421767638239544,520,765,245,695.459770114942557,61.009792178875621,181515.000000000000000,118,730,520,724
34,TUA2-9,34,241,232315.155731803883100,475,779,304,669.796680497925308,84.892586203392341,161421.000000000000000,150,723,475,710
35,TUA2-10,35,253,243882.715353304491146,630,773,143,719.438735177865624,26.636500588808399,182018.000000000000000,98,724,630,723
36,TUA2-11,36,150,144594.495268757600570,632,771,139,698.006666666666661,41.213993847829542,104701.000000000000000,93,658,632,695
37,TUA2-12,37,202,194720.586961926921504,626,772,146,705.435643564356383,38.473320019186673,142498.000000000000000,106,717,626,707
38,TUB2-1,38,25,24099.082544792934641,516,580,64,547.759999999999991,14.574717836034456,13694.000000000000000,20,539,516,547
39,TUB2-2,39,98,94468.403575588308740,507,629,122,550.612244897959158,32.173519550502355,53960.000000000000000,62,514,507,543
40,TUB2-3,40,151,145558.458570549322758,505,704,199,569.072847682119232,55.271646964025180,85930.000000000000000,96,509,505,563
41,TUB2-4,41,190,183153.027340426313458,498,747,249,577.173684210526289,75.676015404348760,109663.000000000000000,115,508,498,546
42,TUB2-5,42,207,199540.403470885503339,498,749,251,568.246376811594246,76.239276106033358,117627.000000000000000,108,505,498,528
43,TUB2-6,43,112,107963.889800672346610,511,753,242,666.321428571428555,57.921778270001532,74628.000000000000000,85,680,511,679
44,TUB2-7,44,51,49162.128391377591470,668,752,84,702.352941176470608,21.589597648950591,35820.000000000000000,40,685,668,696
45,TUB2-8,45,57,54945.908202127895493,690,756,66,716.140350877192986,16.135868942933808,40820.000000000000000,35,702,690,714
46,TUA3-1,46,208,200504.366772677225526,627,815,188,715.802884615384642,44.206732337809044,148887.000000000000000,117,718,627,718
47,TUA3-2,47,263,253522.348371221683919,625,808,183,721.673003802281414,44.851672668555331,189800.000000000000000,130,732,625,726
48,TUA3-3,48,271,261234.054785555432318,631,809,178,727.453874538745367,44.207460150503920,197140.000000000000000,129,729,638,730
49,TUA3-4,49,250,240990.825447929353686,644,821,177,736.432000000000016,44.617814558761694,184108.000000000000000,129,696,644,738
50,TUA3-5,50,299,288225.027235723508056,656,834,178,746.785953177257511,45.799413653245168,223289.000000000000000,148,720,656,742
51,TUA3-6,51,327,315215.999685891612899,665,847,182,751.051987767584137,44.922022694442674,245594.000000000000000,139,735,666,743
52,TUA3-7,52,287,276657.467614222900011,667,856,189,751.484320557491287,41.059558994429736,215676.000000000000000,139,740,667,743
53,TUA3-8,53,295,284369.174028556619305,675,868,193,766.000000000000000,47.214332785066262,225970.000000000000000,138,747,675,754
54,TUA3-9,54,325,313288.073082308168523,681,882,201,780.695384615384569,51.135682049800515,253726.000000000000000,162,743,681,775
55,TUA3-10,55,308,296900.696951848978642,700,885,185,785.753246753246799,53.292967749380516,242012.000000000000000,152,832,701,779
56,TUA3-11,56,343,330639.412514559051488,702,884,182,793.183673469387713,51.298799665752753,272062.000000000000000,158,864,702,792
57,TUB3-3,57,19,18315.302734042630618,716,774,58,747.421052631578959,13.716358997747113,14201.000000000000000,18,746,716,746
58,TUB3-4,58,44,42414.385278835565259,688,803,115,742.954545454545496,31.426649479710679,32690.000000000000000,39,735,688,739
59,TUB3-5,59,73,70369.321030795370461,652,833,181,747.767123287671211,52.292779707458095,54587.000000000000000,59,749,652,749
